時刻,マイク (Realtek USB2.0 Audio)
2023/02/12 05:06:43.580,-84
2023/02/12 05:06:43.715,-48.35506513450332
2023/02/12 05:06:43.854,-55.197928937179796
2023/02/12 05:06:43.993,-48.0014024146033
2023/02/12 05:06:44.134,-53.31214326210508
2023/02/12 05:06:44.260,-48.27053997853418
2023/02/12 05:06:44.384,-51.72254469145556
2023/02/12 05:06:44.510,-31.309213212852352
2023/02/12 05:06:44.649,-20.93995819339436
2023/02/12 05:06:44.788,-23.02230621177658
2023/02/12 05:06:44.929,-17.96728089787756
2023/02/12 05:06:45.068,-42.307622519980356
2023/02/12 05:06:45.195,-22.4862416596753
2023/02/12 05:06:45.333,-37.130661452931584
2023/02/12 05:06:45.488,-41.5609789687176
2023/02/12 05:06:45.628,-23.1503086561844
2023/02/12 05:06:45.767,-44.407158740368615
2023/02/12 05:06:45.894,-27.406887495440905
2023/02/12 05:06:46.033,-41.872173299995964
2023/02/12 05:06:46.159,-23.976818298170336
2023/02/12 05:06:46.297,-22.166401867573718
2023/02/12 05:06:46.437,-39.98663839245716
2023/02/12 05:06:46.576,-39.314673742512575
2023/02/12 05:06:46.715,-28.963418543332473
2023/02/12 05:06:46.840,-34.98523870499958
2023/02/12 05:06:46.981,-32.59744125148022
2023/02/12 05:06:47.122,-24.51956852845804
2023/02/12 05:06:47.261,-25.844335265749123
2023/02/12 05:06:47.386,-33.42141136706333
2023/02/12 05:06:47.525,-18.62736532070886
2023/02/12 05:06:47.667,-49.415988001016835
2023/02/12 05:06:47.794,-50.41805375059781
2023/02/12 05:06:47.919,-21.668089386231244
2023/02/12 05:06:48.063,-18.367523154189485
2023/02/12 05:06:48.202,-23.539606466726116
2023/02/12 05:06:48.343,-27.360219158091926
2023/02/12 05:06:48.468,-39.88395921770015
2023/02/12 05:06:48.594,-20.12205497408642
2023/02/12 05:06:48.734,-30.606356670919848
2023/02/12 05:06:48.876,-34.753872228182495
2023/02/12 05:06:49.018,-30.893600488319272
2023/02/12 05:06:49.144,-28.954035684582106
2023/02/12 05:06:49.271,-36.05382335370076
2023/02/12 05:06:49.412,-41.54431217440394
2023/02/12 05:06:49.539,-55.82664638437406
2023/02/12 05:06:49.682,-19.5650430630737
2023/02/12 05:06:49.824,-24.013580178996037
2023/02/12 05:06:49.966,-23.750222509492495
2023/02/12 05:06:50.093,-41.116482705165645
2023/02/12 05:06:50.232,-52.968659317499586
2023/02/12 05:06:50.374,-55.756433876009844
2023/02/12 05:06:50.514,-52.99301617184981
2023/02/12 05:06:50.642,-49.58079499805565
2023/02/12 05:06:50.784,-49.61217966913856
2023/02/12 05:06:50.924,-45.071039275301395
2023/02/12 05:06:51.065,-50.08378125353513
2023/02/12 05:06:51.193,-58.71280424829099
2023/02/12 05:06:51.334,-46.51530581308158
2023/02/12 05:06:51.462,-53.837859997894746
2023/02/12 05:06:51.587,-41.77131350315939
2023/02/12 05:06:51.726,-54.282957687150066
2023/02/12 05:06:51.867,-20.3623132460787
2023/02/12 05:06:51.995,-21.271556174468934
2023/02/12 05:06:52.137,-37.54232587482169
2023/02/12 05:06:52.265,-27.84087173751999
2023/02/12 05:06:52.392,-46.33574130919948
2023/02/12 05:06:52.532,-55.68597272159006
2023/02/12 05:06:52.673,-47.636117919376744
2023/02/12 05:06:52.798,-47.8587317802329
2023/02/12 05:06:52.923,-50.333408841289796
2023/02/12 05:06:53.065,-51.680357469734666
2023/02/12 05:06:53.191,-50.637406796624454
2023/02/12 05:06:53.316,-57.91744519985734
2023/02/12 05:06:53.442,-60.01984578200073
2023/02/12 05:06:53.582,-53.63476214615134
2023/02/12 05:06:53.707,-49.950164058418665
2023/02/12 05:06:53.848,-57.80451570499564
2023/02/12 05:06:53.987,-58.66060081299441
2023/02/12 05:06:54.126,-48.32976031240433
2023/02/12 05:06:54.266,-48.606133416991185
2023/02/12 05:06:54.404,-53.04802430834157
2023/02/12 05:06:54.530,-54.39703201939583
2023/02/12 05:06:54.671,-51.11239003789432
2023/02/12 05:06:54.811,-53.338245307213924
2023/02/12 05:06:54.936,-44.92962457872735
2023/02/12 05:06:55.076,-55.80087445558511
2023/02/12 05:06:55.217,-55.93947544100131
2023/02/12 05:06:55.356,-60.21732719124839
2023/02/12 05:06:55.495,-57.94956881773502
2023/02/12 05:06:55.635,-49.75484380451542
2023/02/12 05:06:55.774,-55.10238141706368
2023/02/12 05:06:55.915,-61.09987236709978
2023/02/12 05:06:56.040,-56.313760732352776
2023/02/12 05:06:56.179,-60.629148770401706
2023/02/12 05:06:56.319,-55.98182836805581
2023/02/12 05:06:56.445,-49.339233427965034
2023/02/12 05:06:56.587,-59.72874896196008
