時刻,マイク (2- Logi USB Headset H340)
2023/02/12 05:08:10.438,-84
2023/02/12 05:08:10.576,-56.510728781558996
2023/02/12 05:08:10.702,-59.74304328150514
2023/02/12 05:08:10.842,-56.11504693220922
2023/02/12 05:08:10.967,-48.15301384516524
2023/02/12 05:08:11.107,-50.83307198457195
2023/02/12 05:08:11.247,-52.546058548198495
2023/02/12 05:08:11.389,-43.83496228746101
2023/02/12 05:08:11.516,-53.47980071486022
2023/02/12 05:08:11.656,-54.85185151604736
2023/02/12 05:08:11.783,-51.10003328317887
2023/02/12 05:08:11.926,-49.7333503812543
2023/02/12 05:08:12.051,-50.123752431549704
2023/02/12 05:08:12.177,-49.34765207923461
2023/02/12 05:08:12.302,-54.64232445021988
2023/02/12 05:08:12.442,-50.97693364758561
2023/02/12 05:08:12.597,-49.963435600738826
2023/02/12 05:08:12.737,-45.06512775395633
2023/02/12 05:08:12.878,-47.54466003658757
2023/02/12 05:08:13.011,-46.92216251479471
2023/02/12 05:08:13.144,-51.82732846157043
2023/02/12 05:08:13.309,-51.385599119538824
2023/02/12 05:08:13.444,-56.301158677409326
2023/02/12 05:08:13.584,-55.18572843200622
2023/02/12 05:08:13.725,-50.7402364629091
2023/02/12 05:08:13.865,-48.09723860391496
2023/02/12 05:08:13.992,-58.4884468863969
2023/02/12 05:08:14.131,-46.36591595626519
2023/02/12 05:08:14.256,-51.482916100401525
2023/02/12 05:08:14.397,-55.230489054802156
2023/02/12 05:08:14.537,-49.948939975371545
2023/02/12 05:08:14.675,-52.85738933040854
2023/02/12 05:08:14.800,-46.541092421319526
2023/02/12 05:08:14.940,-49.873944678545186
2023/02/12 05:08:15.080,-49.206041082964155
2023/02/12 05:08:15.221,-55.56879826819359
2023/02/12 05:08:15.361,-54.113234468112374
2023/02/12 05:08:15.503,-52.83261912940337
2023/02/12 05:08:15.645,-52.44617716289792
2023/02/12 05:08:15.782,-51.19135501885463
2023/02/12 05:08:15.926,-48.803617129574576
2023/02/12 05:08:16.052,-55.340812597272276
2023/02/12 05:08:16.178,-55.79741456523539
2023/02/12 05:08:16.321,-48.754243808815346
2023/02/12 05:08:16.446,-48.31839225591263
2023/02/12 05:08:16.587,-49.92133003945857
2023/02/12 05:08:16.726,-47.27370537641949
2023/02/12 05:08:16.851,-50.15904288758004
2023/02/12 05:08:16.976,-52.157439238947696
2023/02/12 05:08:17.116,-50.06705887923804
2023/02/12 05:08:17.253,-57.00871101118305
2023/02/12 05:08:17.392,-58.971116545134656
2023/02/12 05:08:17.531,-54.44205338831913
2023/02/12 05:08:17.655,-50.199700416238784
2023/02/12 05:08:17.795,-54.58415308715122
2023/02/12 05:08:17.936,-50.558737719123556
2023/02/12 05:08:18.078,-55.35737372532867
2023/02/12 05:08:18.203,-35.560856949426736
2023/02/12 05:08:18.328,-24.031685755220803
2023/02/12 05:08:18.467,-49.51472866208615
2023/02/12 05:08:18.607,-47.934475358135614
2023/02/12 05:08:18.748,-51.947231106059
2023/02/12 05:08:18.888,-45.84744652594246
2023/02/12 05:08:19.013,-49.12153877001889
2023/02/12 05:08:19.153,-44.60569629824047
2023/02/12 05:08:19.279,-56.55772743374298
2023/02/12 05:08:19.419,-48.671898542466366
2023/02/12 05:08:19.543,-49.12149472362388
2023/02/12 05:08:19.682,-44.959208555480714
2023/02/12 05:08:19.821,-43.42800068899368
2023/02/12 05:08:19.961,-47.6063463687518
2023/02/12 05:08:20.099,-54.38899748224769
2023/02/12 05:08:20.226,-47.55162572757417
2023/02/12 05:08:20.351,-56.32648583687197
2023/02/12 05:08:20.478,-56.69517259738519
2023/02/12 05:08:20.602,-50.24807733020375
2023/02/12 05:08:20.742,-45.71275262216549
2023/02/12 05:08:20.882,-53.20260676193847
2023/02/12 05:08:21.008,-53.23150863732829
2023/02/12 05:08:21.132,-53.64911604619502
2023/02/12 05:08:21.270,-55.376432706088224
2023/02/12 05:08:21.395,-50.6913749733655
2023/02/12 05:08:21.538,-50.38199935962113
2023/02/12 05:08:21.665,-50.002041935452596
2023/02/12 05:08:21.792,-56.225505017028
2023/02/12 05:08:21.931,-52.22867678225694
2023/02/12 05:08:22.072,-47.314807195515016
2023/02/12 05:08:22.212,-47.34020310295698
2023/02/12 05:08:22.352,-39.443790898572885
2023/02/12 05:08:22.492,-46.60425527132895
2023/02/12 05:08:22.633,-51.968434511180426
2023/02/12 05:08:22.760,-48.85426850722559
2023/02/12 05:08:22.898,-47.46090722082088
2023/02/12 05:08:23.037,-46.80742647123048
2023/02/12 05:08:23.163,-53.688622983808386
2023/02/12 05:08:23.302,-54.15394832779483
2023/02/12 05:08:23.428,-53.38375081132359
