時刻,マイク (2- Logi USB Headset H340)
2023/02/12 05:09:05.475,-84
2023/02/12 05:09:05.628,-45.987579277541315
2023/02/12 05:09:05.767,-54.30445793789694
2023/02/12 05:09:05.892,-52.03156323701574
2023/02/12 05:09:06.018,-49.273234327616635
2023/02/12 05:09:06.142,-46.64808531689394
2023/02/12 05:09:06.268,-48.95886088175005
2023/02/12 05:09:06.407,-49.14970947056625
2023/02/12 05:09:06.532,-51.32941650414591
2023/02/12 05:09:06.671,-52.90135031333143
2023/02/12 05:09:06.811,-48.82844222040401
2023/02/12 05:09:06.936,-47.91370960532491
2023/02/12 05:09:07.075,-50.09548306683509
2023/02/12 05:09:07.216,-54.422512160264695
2023/02/12 05:09:07.355,-57.615912215453406
2023/02/12 05:09:07.482,-52.98499698661401
2023/02/12 05:09:07.622,-57.89846596571842
2023/02/12 05:09:07.760,-46.92248039211635
2023/02/12 05:09:07.886,-53.66144700958855
2023/02/12 05:09:08.011,-51.66055079090813
2023/02/12 05:09:08.135,-51.82642919498121
2023/02/12 05:09:08.260,-52.79839963885925
2023/02/12 05:09:08.385,-52.47221317941069
2023/02/12 05:09:08.524,-47.663386181957236
2023/02/12 05:09:08.665,-56.731060652192426
2023/02/12 05:09:08.804,-47.65959009265862
2023/02/12 05:09:08.930,-49.346883480524426
2023/02/12 05:09:09.071,-49.93479548385831
2023/02/12 05:09:09.211,-48.123393600758924
2023/02/12 05:09:09.350,-58.19384399351557
2023/02/12 05:09:09.476,-49.892414984217446
2023/02/12 05:09:09.617,-46.54523719252971
2023/02/12 05:09:09.760,-48.858103334040024
2023/02/12 05:09:09.899,-49.44359548768304
2023/02/12 05:09:10.025,-51.97286653764568
2023/02/12 05:09:10.164,-54.13836654120237
2023/02/12 05:09:10.303,-53.841544596152175
2023/02/12 05:09:10.430,-52.90966621771556
2023/02/12 05:09:10.570,-50.22055770951521
2023/02/12 05:09:10.709,-54.90491723976389
2023/02/12 05:09:10.834,-53.30216506959398
2023/02/12 05:09:10.974,-52.977548620169166
2023/02/12 05:09:11.127,-46.006423552931324
2023/02/12 05:09:11.270,-51.41911756519634
2023/02/12 05:09:11.411,-44.85843827327163
2023/02/12 05:09:11.536,-47.5777459424629
2023/02/12 05:09:11.662,-52.23956914063911
2023/02/12 05:09:11.788,-55.87376730013357
2023/02/12 05:09:11.942,-41.443041679419835
2023/02/12 05:09:12.081,-50.023924205423626
2023/02/12 05:09:12.220,-51.01407581942735
2023/02/12 05:09:12.347,-48.35441050181352
2023/02/12 05:09:12.473,-52.65913312235238
2023/02/12 05:09:12.613,-39.69623130639198
2023/02/12 05:09:12.737,-45.13878918450704
2023/02/12 05:09:12.879,-51.93544423806279
2023/02/12 05:09:13.018,-49.719958619398525
2023/02/12 05:09:13.159,-47.77123831529543
2023/02/12 05:09:13.285,-53.520339562164565
2023/02/12 05:09:13.424,-54.26826007519142
2023/02/12 05:09:13.550,-49.28996928569423
2023/02/12 05:09:13.675,-47.45773035431267
2023/02/12 05:09:13.815,-40.353085693505825
2023/02/12 05:09:13.956,-46.799756013009464
2023/02/12 05:09:14.083,-43.228874844255785
2023/02/12 05:09:14.208,-38.33981006384404
2023/02/12 05:09:14.334,-48.25905006280736
2023/02/12 05:09:14.463,-43.34947131533785
2023/02/12 05:09:14.591,-36.10292529133452
2023/02/12 05:09:14.719,-39.345001992449916
2023/02/12 05:09:14.846,-49.69073386055775
2023/02/12 05:09:14.985,-50.37957683005894
2023/02/12 05:09:15.126,-53.89556486892659
2023/02/12 05:09:15.266,-55.21736052240335
2023/02/12 05:09:15.405,-45.511775912570855
2023/02/12 05:09:15.545,-51.61774356124781
2023/02/12 05:09:15.684,-52.602694008465235
2023/02/12 05:09:15.811,-52.94048796275514
2023/02/12 05:09:15.952,-48.69240617525946
2023/02/12 05:09:16.077,-51.34666548549628
2023/02/12 05:09:16.217,-48.81301753561067
2023/02/12 05:09:16.358,-49.73061636086516
2023/02/12 05:09:16.497,-53.49573535066963
2023/02/12 05:09:16.635,-47.39647269710651
2023/02/12 05:09:16.760,-52.38388468847083
2023/02/12 05:09:16.887,-58.60505400358378
2023/02/12 05:09:17.028,-50.55113504579424
2023/02/12 05:09:17.170,-51.71537884770264
2023/02/12 05:09:17.312,-49.13748599211711
2023/02/12 05:09:17.436,-43.23310393049546
2023/02/12 05:09:17.562,-54.622778522443056
2023/02/12 05:09:17.703,-49.06725333868572
2023/02/12 05:09:17.842,-56.814512519759774
2023/02/12 05:09:17.982,-53.980947266854365
2023/02/12 05:09:18.107,-51.920280846067726
2023/02/12 05:09:18.247,-52.950796662241295
2023/02/12 05:09:18.387,-50.187304931532395
2023/02/12 05:09:18.511,-53.351756474849815
