時刻,マイク (2- Logi USB Headset H340)
2023/02/12 05:10:17.467,-84
2023/02/12 05:10:17.607,-42.738418176615276
2023/02/12 05:10:17.747,-54.03002142189073
2023/02/12 05:10:17.872,-41.579146051576714
2023/02/12 05:10:17.998,-46.46868022667631
2023/02/12 05:10:18.124,-46.40105342539825
2023/02/12 05:10:18.265,-45.01407661245159
2023/02/12 05:10:18.406,-55.48585673769295
2023/02/12 05:10:18.532,-52.64494310712182
2023/02/12 05:10:18.672,-50.9152819192521
2023/02/12 05:10:18.811,-51.65595419160528
2023/02/12 05:10:18.950,-50.03924257627268
2023/02/12 05:10:19.076,-51.09551250698037
2023/02/12 05:10:19.215,-50.68458332693213
2023/02/12 05:10:19.341,-50.50247326393805
2023/02/12 05:10:19.480,-54.67686343531197
2023/02/12 05:10:19.620,-55.35194240075018
2023/02/12 05:10:19.762,-51.727429187802926
2023/02/12 05:10:19.887,-52.280084680740835
2023/02/12 05:10:20.027,-44.60748735399342
2023/02/12 05:10:20.166,-51.469156123934454
2023/02/12 05:10:20.292,-45.48047943581264
2023/02/12 05:10:20.430,-52.02955132233916
2023/02/12 05:10:20.555,-53.62265855153978
2023/02/12 05:10:20.681,-49.78619138426709
2023/02/12 05:10:20.820,-53.52421853919979
2023/02/12 05:10:20.959,-43.93251540143005
2023/02/12 05:10:21.084,-55.1870038697009
2023/02/12 05:10:21.211,-57.73908083019318
2023/02/12 05:10:21.353,-46.48230568449825
2023/02/12 05:10:21.477,-50.675990717645305
2023/02/12 05:10:21.620,-51.288788821303115
2023/02/12 05:10:21.759,-54.70005517273219
2023/02/12 05:10:21.897,-51.265059000932666
2023/02/12 05:10:22.023,-51.56806922192328
2023/02/12 05:10:22.162,-58.3615076298648
2023/02/12 05:10:22.301,-58.09110848197307
2023/02/12 05:10:22.425,-50.970755930109874
2023/02/12 05:10:22.566,-47.777221366979006
2023/02/12 05:10:22.692,-48.200762390214194
2023/02/12 05:10:22.817,-56.5764754764009
2023/02/12 05:10:22.958,-50.49761927684525
2023/02/12 05:10:23.099,-46.97933791329837
2023/02/12 05:10:23.237,-57.155353097068655
2023/02/12 05:10:23.377,-56.71600806713333
2023/02/12 05:10:23.517,-46.056692221716126
2023/02/12 05:10:23.643,-55.6059754619972
2023/02/12 05:10:23.769,-51.792984466153804
2023/02/12 05:10:23.908,-51.93179953915358
2023/02/12 05:10:24.046,-50.99682254206202
2023/02/12 05:10:24.173,-53.05877160919816
2023/02/12 05:10:24.298,-50.23092765974144
2023/02/12 05:10:24.423,-47.78442360354137
2023/02/12 05:10:24.561,-55.10867697622466
2023/02/12 05:10:24.704,-49.30348629749442
2023/02/12 05:10:24.844,-55.00716555154911
2023/02/12 05:10:24.982,-49.40039992319012
2023/02/12 05:10:25.122,-48.33978222027131
2023/02/12 05:10:25.263,-56.439691100517365
2023/02/12 05:10:25.389,-54.70517941701029
2023/02/12 05:10:25.529,-49.720974691648095
2023/02/12 05:10:25.654,-51.77675850799831
2023/02/12 05:10:25.795,-52.6451320852901
2023/02/12 05:10:25.920,-55.98144223646456
2023/02/12 05:10:26.059,-58.47272450441415
2023/02/12 05:10:26.200,-46.419156411414484
2023/02/12 05:10:26.326,-52.987275959703894
2023/02/12 05:10:26.465,-51.62012107568144
2023/02/12 05:10:26.606,-42.892818881221274
2023/02/12 05:10:26.732,-53.69612527267188
2023/02/12 05:10:26.870,-44.05751887586828
2023/02/12 05:10:27.011,-50.53506069209498
2023/02/12 05:10:27.150,-51.24801584936468
2023/02/12 05:10:27.290,-53.689137908020015
2023/02/12 05:10:27.415,-50.59471689619697
2023/02/12 05:10:27.541,-58.09932225388521
2023/02/12 05:10:27.680,-48.03560151912979
2023/02/12 05:10:27.821,-51.17872445738165
2023/02/12 05:10:27.961,-42.82860689977415
2023/02/12 05:10:28.099,-50.929637582141964
2023/02/12 05:10:28.225,-47.87188057821565
2023/02/12 05:10:28.378,-54.768824871388006
2023/02/12 05:10:28.516,-54.453909478130214
2023/02/12 05:10:28.655,-55.018310953337384
2023/02/12 05:10:28.780,-50.682119858164256
2023/02/12 05:10:28.920,-52.04199894695996
2023/02/12 05:10:29.059,-48.25035474628788
2023/02/12 05:10:29.201,-51.056661066681535
2023/02/12 05:10:29.340,-43.56254966470101
2023/02/12 05:10:29.479,-49.941518468407494
2023/02/12 05:10:29.619,-43.006605275222014
2023/02/12 05:10:29.758,-48.255492133954476
2023/02/12 05:10:29.883,-51.6624661386426
2023/02/12 05:10:30.023,-51.444598342568106
2023/02/12 05:10:30.149,-50.60990614440677
2023/02/12 05:10:30.290,-52.29582873043417
2023/02/12 05:10:30.428,-55.63221343714413
