時刻,マイク (2- Logi USB Headset H340)
2023/02/12 05:11:28.027,-84
2023/02/12 05:11:28.162,-59.68581953858781
2023/02/12 05:11:28.290,-54.01071402973326
2023/02/12 05:11:28.416,-57.83546482139258
2023/02/12 05:11:28.554,-52.33983993101144
2023/02/12 05:11:28.680,-42.1009232726032
2023/02/12 05:11:28.822,-46.88266527738208
2023/02/12 05:11:28.964,-47.4142589301149
2023/02/12 05:11:29.103,-48.8282216139876
2023/02/12 05:11:29.228,-55.30545807558059
2023/02/12 05:11:29.368,-55.4504159428225
2023/02/12 05:11:29.509,-55.510482252890434
2023/02/12 05:11:29.649,-49.91983048057303
2023/02/12 05:11:29.788,-51.271235983886825
2023/02/12 05:11:29.931,-52.358269331450614
2023/02/12 05:11:30.071,-45.29296828779892
2023/02/12 05:11:30.210,-47.77513255705364
2023/02/12 05:11:30.335,-49.372562482127776
2023/02/12 05:11:30.475,-55.66036031039001
2023/02/12 05:11:30.614,-53.06669359432809
2023/02/12 05:11:30.740,-55.46086514632932
2023/02/12 05:11:30.879,-43.74172227296384
2023/02/12 05:11:31.005,-50.42895588862258
2023/02/12 05:11:31.131,-50.02521971365242
2023/02/12 05:11:31.256,-55.69378156543125
2023/02/12 05:11:31.397,-54.88369313417969
2023/02/12 05:11:31.536,-56.448948688810525
2023/02/12 05:11:31.675,-50.56295029146703
2023/02/12 05:11:31.801,-51.759962826192236
2023/02/12 05:11:31.926,-49.91754550129216
2023/02/12 05:11:32.052,-49.18460234966603
2023/02/12 05:11:32.192,-54.62024141893714
2023/02/12 05:11:32.332,-48.16460701019318
2023/02/12 05:11:32.459,-49.820190568400974
2023/02/12 05:11:32.598,-54.13981916248747
2023/02/12 05:11:32.737,-51.02774623307126
2023/02/12 05:11:32.876,-53.07700725867445
2023/02/12 05:11:33.018,-44.577801693576724
2023/02/12 05:11:33.158,-52.28317258669136
2023/02/12 05:11:33.284,-48.36029487815118
2023/02/12 05:11:33.423,-55.83560369007452
2023/02/12 05:11:33.548,-46.792992758669584
2023/02/12 05:11:33.672,-47.09110529976699
2023/02/12 05:11:33.798,-54.62767739172013
2023/02/12 05:11:33.938,-53.671172412262855
2023/02/12 05:11:34.077,-51.53668997355052
2023/02/12 05:11:34.204,-56.464846109773966
2023/02/12 05:11:34.330,-46.58729880767409
2023/02/12 05:11:34.470,-47.99346878568653
2023/02/12 05:11:34.608,-54.31947643363344
2023/02/12 05:11:34.747,-46.05419342176414
2023/02/12 05:11:34.874,-50.130905819928095
2023/02/12 05:11:35.015,-53.44665458565893
2023/02/12 05:11:35.139,-51.721564840008874
2023/02/12 05:11:35.265,-51.791160722295615
2023/02/12 05:11:35.389,-52.99524003339812
2023/02/12 05:11:35.515,-50.30934187700191
2023/02/12 05:11:35.654,-53.14807581897655
2023/02/12 05:11:35.792,-46.559857853311144
2023/02/12 05:11:35.918,-55.357546506981166
2023/02/12 05:11:36.043,-53.714348900149574
2023/02/12 05:11:36.183,-52.26261693248415
2023/02/12 05:11:36.322,-56.620822198767115
2023/02/12 05:11:36.461,-55.28320108200421
2023/02/12 05:11:36.601,-50.82447059602431
2023/02/12 05:11:36.726,-53.19232008369747
2023/02/12 05:11:36.867,-51.17107910034739
2023/02/12 05:11:37.008,-46.218110908646246
2023/02/12 05:11:37.148,-54.686246235274155
2023/02/12 05:11:37.288,-49.54126857883271
2023/02/12 05:11:37.413,-50.61799379608029
2023/02/12 05:11:37.539,-48.668681915374705
2023/02/12 05:11:37.664,-51.04790412646017
2023/02/12 05:11:37.791,-46.70066350492472
2023/02/12 05:11:37.917,-50.84671629433792
2023/02/12 05:11:38.058,-57.200479701481484
2023/02/12 05:11:38.183,-50.32547808462509
2023/02/12 05:11:38.323,-50.20103917911502
2023/02/12 05:11:38.463,-55.33183749463902
2023/02/12 05:11:38.590,-54.031047393151
2023/02/12 05:11:38.731,-51.62071718163504
2023/02/12 05:11:38.857,-55.30852923688242
2023/02/12 05:11:38.982,-50.76308173774463
2023/02/12 05:11:39.122,-58.429721091975146
2023/02/12 05:11:39.265,-50.856714922070196
2023/02/12 05:11:39.391,-47.600308751113936
2023/02/12 05:11:39.517,-54.82764062278879
2023/02/12 05:11:39.642,-55.63419324959418
2023/02/12 05:11:39.783,-48.97322037114562
2023/02/12 05:11:39.910,-52.694944908617025
2023/02/12 05:11:40.037,-49.010479567117216
2023/02/12 05:11:40.177,-51.82322287259463
2023/02/12 05:11:40.319,-51.11300889757579
2023/02/12 05:11:40.459,-52.11066828171595
2023/02/12 05:11:40.585,-54.25953881254386
2023/02/12 05:11:40.726,-45.8286122989268
2023/02/12 05:11:40.865,-52.11592510377389
2023/02/12 05:11:41.006,-55.11478187069898
