時刻,マイク (2- Logi USB Headset H340)
2023/02/12 05:12:39.980,-84
2023/02/12 05:12:40.111,-49.61519559820981
2023/02/12 05:12:40.250,-52.51567821520525
2023/02/12 05:12:40.390,-53.480943373741276
2023/02/12 05:12:40.528,-52.46004633019109
2023/02/12 05:12:40.653,-46.79757344833348
2023/02/12 05:12:40.780,-47.22468354516196
2023/02/12 05:12:40.907,-44.17403488994565
2023/02/12 05:12:41.047,-26.803540290728158
2023/02/12 05:12:41.187,-17.977059436870707
2023/02/12 05:12:41.327,-18.92065632876606
2023/02/12 05:12:41.466,-19.193148263907666
2023/02/12 05:12:41.605,-39.523934307792715
2023/02/12 05:12:41.745,-23.533072522798115
2023/02/12 05:12:41.887,-33.33768872030011
2023/02/12 05:12:42.027,-40.62655749249554
2023/02/12 05:12:42.152,-35.051242490807724
2023/02/12 05:12:42.279,-35.91526943837816
2023/02/12 05:12:42.420,-28.352372844110832
2023/02/12 05:12:42.560,-47.41716150868898
2023/02/12 05:12:42.685,-49.45982694352931
2023/02/12 05:12:42.826,-24.46930173453516
2023/02/12 05:12:42.966,-40.26867700510834
2023/02/12 05:12:43.093,-27.522729452352447
2023/02/12 05:12:43.219,-20.042715518715276
2023/02/12 05:12:43.358,-27.559609448244153
2023/02/12 05:12:43.482,-30.29938359428424
2023/02/12 05:12:43.623,-53.828019844791726
2023/02/12 05:12:43.763,-47.78999618626348
2023/02/12 05:12:43.903,-24.771619956988822
2023/02/12 05:12:44.043,-35.28951258757541
2023/02/12 05:12:44.167,-38.82338532603332
2023/02/12 05:12:44.293,-26.909575071600106
2023/02/12 05:12:44.421,-29.61165291611248
2023/02/12 05:12:44.560,-56.53743310335696
2023/02/12 05:12:44.699,-22.7346946412884
2023/02/12 05:12:44.838,-50.865047946520015
2023/02/12 05:12:44.980,-42.73122700304163
2023/02/12 05:12:45.119,-18.149482170559526
2023/02/12 05:12:45.259,-20.050087170160214
2023/02/12 05:12:45.384,-45.98115720644401
2023/02/12 05:12:45.524,-24.831668064333098
2023/02/12 05:12:45.664,-36.745253267931105
2023/02/12 05:12:45.788,-23.212104452608962
2023/02/12 05:12:45.929,-29.530064125498843
2023/02/12 05:12:46.069,-41.87618535775384
2023/02/12 05:12:46.211,-32.245092421613734
2023/02/12 05:12:46.336,-41.19580377158968
2023/02/12 05:12:46.462,-38.86170161939915
2023/02/12 05:12:46.587,-52.78740739554719
2023/02/12 05:12:46.727,-41.693199515277975
2023/02/12 05:12:46.868,-44.38635475068932
2023/02/12 05:12:47.007,-19.58975384965546
2023/02/12 05:12:47.146,-27.52097708842023
2023/02/12 05:12:47.283,-20.55866371386781
2023/02/12 05:12:47.409,-30.777049517080897
2023/02/12 05:12:47.535,-32.1016063097055
2023/02/12 05:12:47.661,-51.12375506808285
2023/02/12 05:12:47.802,-54.19823650388648
2023/02/12 05:12:47.928,-50.60898780163021
2023/02/12 05:12:48.069,-49.889258421978006
2023/02/12 05:12:48.212,-51.967634943177856
2023/02/12 05:12:48.339,-56.14497619268187
2023/02/12 05:12:48.464,-50.582317282403714
2023/02/12 05:12:48.590,-46.34284741474089
2023/02/12 05:12:48.732,-52.90336675061426
2023/02/12 05:12:48.871,-50.30006770795529
2023/02/12 05:12:49.012,-52.51095231373511
2023/02/12 05:12:49.151,-48.07454161030927
2023/02/12 05:12:49.290,-46.69469501532633
2023/02/12 05:12:49.431,-51.263606167906026
2023/02/12 05:12:49.571,-15.885612995657834
2023/02/12 05:12:49.714,-20.848337399688347
2023/02/12 05:12:49.839,-41.79184482621723
2023/02/12 05:12:49.979,-49.99692127470617
2023/02/12 05:12:50.120,-46.82351890022382
2023/02/12 05:12:50.262,-56.473023622850526
2023/02/12 05:12:50.388,-49.25072200715174
2023/02/12 05:12:50.529,-51.54179404089979
2023/02/12 05:12:50.671,-47.584983916656654
2023/02/12 05:12:50.811,-54.13188281194327
2023/02/12 05:12:50.951,-47.945424960967564
2023/02/12 05:12:51.078,-51.578083267808964
2023/02/12 05:12:51.224,-46.58994692151951
2023/02/12 05:12:51.362,-55.412459275239925
2023/02/12 05:12:51.489,-51.18336945733995
2023/02/12 05:12:51.617,-54.14549316606976
2023/02/12 05:12:51.756,-48.13692738018324
2023/02/12 05:12:51.882,-47.36537662983544
2023/02/12 05:12:52.022,-48.932613554264314
2023/02/12 05:12:52.164,-51.08641202580302
2023/02/12 05:12:52.290,-50.8096495897458
2023/02/12 05:12:52.418,-49.859890441959095
2023/02/12 05:12:52.543,-47.146931288792366
2023/02/12 05:12:52.670,-53.4330928935392
2023/02/12 05:12:52.811,-53.324768490451326
2023/02/12 05:12:52.951,-56.53401620695875
