時刻,マイク (Logi USB Headset)
2023/02/12 05:15:49.424,-84
2023/02/12 05:15:49.550,-59.32148205954243
2023/02/12 05:15:49.675,-64.55203384379996
2023/02/12 05:15:49.814,-61.40174456420955
2023/02/12 05:15:49.957,-60.88554245287937
2023/02/12 05:15:50.083,-55.992045835156816
2023/02/12 05:15:50.223,-61.02954435658535
2023/02/12 05:15:50.348,-57.160569308392475
2023/02/12 05:15:50.476,-52.83403033100505
2023/02/12 05:15:50.616,-68.96930020095435
2023/02/12 05:15:50.754,-54.01526186143823
2023/02/12 05:15:50.880,-61.69665288629857
2023/02/12 05:15:51.005,-57.19625913101872
2023/02/12 05:15:51.145,-63.260135128151504
2023/02/12 05:15:51.273,-57.74999491598734
2023/02/12 05:15:51.413,-68.40218591589425
2023/02/12 05:15:51.539,-68.33576797551076
2023/02/12 05:15:51.679,-56.42653114535241
2023/02/12 05:15:51.804,-58.17914109543136
2023/02/12 05:15:51.944,-54.64775999230237
2023/02/12 05:15:52.085,-59.317248512768344
2023/02/12 05:15:52.227,-63.816557722270474
2023/02/12 05:15:52.368,-64.56674625883969
2023/02/12 05:15:52.509,-67.3942118621818
2023/02/12 05:15:52.635,-68.67612044606685
2023/02/12 05:15:52.761,-68.70939590214635
2023/02/12 05:15:52.887,-58.340548688750154
2023/02/12 05:15:53.027,-61.66258702664411
2023/02/12 05:15:53.166,-56.89413601359172
2023/02/12 05:15:53.306,-59.732382694517824
2023/02/12 05:15:53.433,-62.879062253414226
2023/02/12 05:15:53.558,-59.526500332647615
2023/02/12 05:15:53.697,-55.83385109021245
2023/02/12 05:15:53.822,-59.54539142211154
2023/02/12 05:15:53.962,-59.789413879191365
2023/02/12 05:15:54.101,-62.71527541502881
2023/02/12 05:15:54.227,-65.2693596472099
2023/02/12 05:15:54.353,-66.77972183136237
2023/02/12 05:15:54.480,-60.752186707281865
2023/02/12 05:15:54.620,-59.72780272979974
2023/02/12 05:15:54.760,-59.58587106319176
2023/02/12 05:15:54.900,-62.58830671344461
2023/02/12 05:15:55.039,-63.03168389948398
2023/02/12 05:15:55.178,-64.18032273499043
2023/02/12 05:15:55.304,-65.56066702905235
2023/02/12 05:15:55.444,-65.38219278773371
2023/02/12 05:15:55.569,-63.595544113549195
2023/02/12 05:15:55.708,-62.75246228081337
2023/02/12 05:15:55.863,-58.74509772361372
2023/02/12 05:15:56.003,-57.23680500585519
2023/02/12 05:15:56.127,-59.221671988916114
2023/02/12 05:15:56.268,-63.75709857907765
2023/02/12 05:15:56.406,-65.77994332969551
2023/02/12 05:15:56.547,-57.700301770870446
2023/02/12 05:15:56.686,-63.2059732888517
2023/02/12 05:15:56.827,-54.36079722594339
2023/02/12 05:15:56.967,-64.51850475763263
2023/02/12 05:15:57.093,-65.99969810882263
2023/02/12 05:15:57.231,-64.29124218680658
2023/02/12 05:15:57.357,-66.65003457314762
2023/02/12 05:15:57.483,-66.9980361415826
2023/02/12 05:15:57.624,-60.2698557424478
2023/02/12 05:15:57.763,-59.10345077072526
2023/02/12 05:15:57.902,-64.35833436722368
2023/02/12 05:15:58.027,-56.6613046584316
2023/02/12 05:15:58.166,-57.17803109307387
2023/02/12 05:15:58.305,-60.605008755824024
2023/02/12 05:15:58.431,-61.26043572170594
2023/02/12 05:15:58.556,-51.9967549906167
2023/02/12 05:15:58.696,-53.58965570269123
2023/02/12 05:15:58.835,-61.343453831687505
2023/02/12 05:15:58.975,-58.10777037264642
2023/02/12 05:15:59.115,-61.862220553151474
2023/02/12 05:15:59.256,-55.84399664263174
2023/02/12 05:15:59.381,-67.0050137249517
2023/02/12 05:15:59.535,-67.28503793414545
2023/02/12 05:15:59.674,-58.67534999056953
2023/02/12 05:15:59.800,-58.67534999056953
2023/02/12 05:15:59.924,-58.75996206290995
2023/02/12 05:16:00.064,-62.921156113516375
2023/02/12 05:16:00.203,-59.932289673767876
2023/02/12 05:16:00.343,-65.89398460912369
2023/02/12 05:16:00.485,-60.085813968109164
2023/02/12 05:16:00.626,-59.783534321974976
2023/02/12 05:16:00.765,-60.10215721292431
2023/02/12 05:16:00.890,-57.27471092221868
2023/02/12 05:16:01.016,-66.9693659912182
2023/02/12 05:16:01.141,-62.56607009664958
2023/02/12 05:16:01.279,-55.71798940336887
2023/02/12 05:16:01.405,-50.547429838556035
2023/02/12 05:16:01.544,-57.46997013739815
2023/02/12 05:16:01.671,-57.944668541116314
2023/02/12 05:16:01.810,-65.64053211771784
2023/02/12 05:16:01.949,-63.114665407113925
2023/02/12 05:16:02.088,-58.820631642263635
2023/02/12 05:16:02.228,-64.79396729924315
2023/02/12 05:16:02.353,-60.996045680841284
2023/02/12 05:16:02.479,-55.339677251772095
