時刻,マイク (Logi USB Headset)
2023/02/12 05:16:30.925,-84
2023/02/12 05:16:31.063,-54.80836936747215
2023/02/12 05:16:31.188,-54.24276962620109
2023/02/12 05:16:31.314,-65.6188083664528
2023/02/12 05:16:31.439,-51.664179857440196
2023/02/12 05:16:31.578,-47.30894295207068
2023/02/12 05:16:31.717,-50.3265682946094
2023/02/12 05:16:31.843,-48.48813354449341
2023/02/12 05:16:31.986,-35.66994574903826
2023/02/12 05:16:32.111,-21.984002176264493
2023/02/12 05:16:32.249,-31.213358812122117
2023/02/12 05:16:32.376,-30.26939049923189
2023/02/12 05:16:32.515,-26.812198519001413
2023/02/12 05:16:32.641,-30.604818253253157
2023/02/12 05:16:32.767,-32.3516951490007
2023/02/12 05:16:32.893,-32.79613377595304
2023/02/12 05:16:33.019,-39.53202918417689
2023/02/12 05:16:33.145,-45.51688020695301
2023/02/12 05:16:33.271,-26.245565478748254
2023/02/12 05:16:33.412,-37.45978702448288
2023/02/12 05:16:33.565,-28.854304556778935
2023/02/12 05:16:33.706,-41.76916507082381
2023/02/12 05:16:33.846,-27.86965483293705
2023/02/12 05:16:33.985,-21.88315696346194
2023/02/12 05:16:34.126,-43.55481239671148
2023/02/12 05:16:34.265,-30.12666768482554
2023/02/12 05:16:34.393,-30.4648105117211
2023/02/12 05:16:34.532,-68.7063398069831
2023/02/12 05:16:34.674,-25.09404283108808
2023/02/12 05:16:34.800,-44.883781643810636
2023/02/12 05:16:34.925,-31.67198356639963
2023/02/12 05:16:35.050,-26.776851655612923
2023/02/12 05:16:35.175,-35.02827291084002
2023/02/12 05:16:35.315,-42.451301343915226
2023/02/12 05:16:35.456,-23.448165091760576
2023/02/12 05:16:35.581,-29.712255064881788
2023/02/12 05:16:35.719,-56.80238611742688
2023/02/12 05:16:35.860,-63.30121626111142
2023/02/12 05:16:35.998,-28.511209087890492
2023/02/12 05:16:36.139,-24.466960847999935
2023/02/12 05:16:36.277,-30.36564441371924
2023/02/12 05:16:36.419,-30.18038892229584
2023/02/12 05:16:36.546,-43.341242714809674
2023/02/12 05:16:36.685,-26.455117424311116
2023/02/12 05:16:36.824,-32.957801257580016
2023/02/12 05:16:36.963,-37.834490833605756
2023/02/12 05:16:37.105,-36.326689972585584
2023/02/12 05:16:37.229,-34.087420724712075
2023/02/12 05:16:37.369,-41.89465671992344
2023/02/12 05:16:37.507,-48.65829922514724
2023/02/12 05:16:37.633,-53.986808419252334
2023/02/12 05:16:37.774,-59.336966234283565
2023/02/12 05:16:37.914,-45.67544205468329
2023/02/12 05:16:38.038,-27.490722364996905
2023/02/12 05:16:38.178,-32.286235996214685
2023/02/12 05:16:38.319,-28.614213372423514
2023/02/12 05:16:38.459,-56.85051587285936
2023/02/12 05:16:38.599,-50.743816259272585
2023/02/12 05:16:38.725,-56.43541598033866
2023/02/12 05:16:38.865,-57.86203188216889
2023/02/12 05:16:38.991,-55.85245046168821
2023/02/12 05:16:39.132,-53.268062933890945
2023/02/12 05:16:39.271,-56.88412249496868
2023/02/12 05:16:39.412,-56.447698195655214
2023/02/12 05:16:39.551,-50.779120378688354
2023/02/12 05:16:39.690,-55.542668862848494
2023/02/12 05:16:39.815,-46.220222465851904
2023/02/12 05:16:39.952,-63.330715543581064
2023/02/12 05:16:40.091,-43.1690205338157
2023/02/12 05:16:40.215,-44.340037634983844
2023/02/12 05:16:40.341,-51.496970405479665
2023/02/12 05:16:40.481,-43.112912788180104
2023/02/12 05:16:40.621,-54.215662565425234
2023/02/12 05:16:40.763,-54.366174430310295
2023/02/12 05:16:40.891,-49.62458970433772
2023/02/12 05:16:41.017,-61.19613254855896
2023/02/12 05:16:41.143,-54.51236589327709
2023/02/12 05:16:41.284,-57.51261322307145
2023/02/12 05:16:41.409,-55.96965824162162
2023/02/12 05:16:41.536,-63.25621806551179
2023/02/12 05:16:41.676,-62.27996583332262
2023/02/12 05:16:41.802,-50.82107624866444
2023/02/12 05:16:41.927,-64.40699006360957
2023/02/12 05:16:42.055,-32.23986119566859
2023/02/12 05:16:42.195,-22.332240322712508
2023/02/12 05:16:42.336,-37.101457530078015
2023/02/12 05:16:42.464,-32.645964146961454
2023/02/12 05:16:42.589,-52.90197049394932
2023/02/12 05:16:42.716,-52.817280818124104
2023/02/12 05:16:42.843,-44.18264196889158
2023/02/12 05:16:42.984,-52.89440240186471
2023/02/12 05:16:43.126,-49.548539715069715
2023/02/12 05:16:43.268,-50.945249094032896
2023/02/12 05:16:43.395,-57.89675270187647
2023/02/12 05:16:43.535,-53.93759101322576
2023/02/12 05:16:43.660,-55.7166509343927
2023/02/12 05:16:43.800,-62.97546498075956
2023/02/12 05:16:43.928,-49.750600267850814
