時刻,マイク (USB PnP Sound Device)
2023/02/12 05:19:26.520,-84
2023/02/12 05:19:26.646,-36.218789487429454
2023/02/12 05:19:26.771,-36.189373517459146
2023/02/12 05:19:26.912,-36.298964315214135
2023/02/12 05:19:27.051,-35.84763212623439
2023/02/12 05:19:27.190,-35.856492018887664
2023/02/12 05:19:27.330,-35.92799879353506
2023/02/12 05:19:27.472,-36.047166325254146
2023/02/12 05:19:27.612,-35.95867737817339
2023/02/12 05:19:27.752,-35.83550443175466
2023/02/12 05:19:27.891,-35.8559385079047
2023/02/12 05:19:28.016,-35.9268679806859
2023/02/12 05:19:28.156,-35.970298088547906
2023/02/12 05:19:28.283,-36.015250916533056
2023/02/12 05:19:28.407,-35.85937148915123
2023/02/12 05:19:28.547,-35.91145036971146
2023/02/12 05:19:28.672,-35.795394875999655
2023/02/12 05:19:28.814,-35.847600311330055
2023/02/12 05:19:28.939,-35.64031127181093
2023/02/12 05:19:29.080,-35.42122397247425
2023/02/12 05:19:29.218,-36.020788525559546
2023/02/12 05:19:29.356,-35.93318171242978
2023/02/12 05:19:29.481,-36.076191203401734
2023/02/12 05:19:29.621,-35.44471213788925
2023/02/12 05:19:29.762,-35.93633287516637
2023/02/12 05:19:29.887,-36.0641854641533
2023/02/12 05:19:30.027,-36.022296720641776
2023/02/12 05:19:30.165,-35.957604936252785
2023/02/12 05:19:30.303,-35.87201688621419
2023/02/12 05:19:30.427,-35.93322719574915
2023/02/12 05:19:30.566,-35.91583551351601
2023/02/12 05:19:30.705,-35.9650513031933
2023/02/12 05:19:30.843,-35.97113270435194
2023/02/12 05:19:30.982,-35.93214701184826
2023/02/12 05:19:31.108,-35.82905837266817
2023/02/12 05:19:31.234,-35.681218843083464
2023/02/12 05:19:31.373,-35.82305333007121
2023/02/12 05:19:31.515,-36.111146061524806
2023/02/12 05:19:31.653,-36.15509783294677
2023/02/12 05:19:31.778,-36.02283290130815
2023/02/12 05:19:31.903,-36.1402781127668
2023/02/12 05:19:32.043,-36.00739882453319
2023/02/12 05:19:32.183,-36.0120566689376
2023/02/12 05:19:32.309,-36.01242950858922
2023/02/12 05:19:32.447,-35.933738624995385
2023/02/12 05:19:32.586,-36.03735628265288
2023/02/12 05:19:32.724,-35.97627073659173
2023/02/12 05:19:32.864,-35.861277440742015
2023/02/12 05:19:33.003,-36.00035575029642
2023/02/12 05:19:33.140,-36.0840571768344
2023/02/12 05:19:33.281,-35.77019540869805
2023/02/12 05:19:33.421,-35.88280794980644
2023/02/12 05:19:33.561,-36.04498518491018
2023/02/12 05:19:33.685,-35.850768873636575
2023/02/12 05:19:33.826,-36.0265440346715
2023/02/12 05:19:33.966,-35.80372917352395
2023/02/12 05:19:34.103,-36.25953053840415
2023/02/12 05:19:34.243,-35.95989075533182
2023/02/12 05:19:34.370,-35.885779222894534
2023/02/12 05:19:34.495,-36.006316726454
2023/02/12 05:19:34.621,-35.90829190272836
2023/02/12 05:19:34.748,-35.89187803873298
2023/02/12 05:19:34.873,-36.00184412383119
2023/02/12 05:19:35.015,-36.12797518252005
2023/02/12 05:19:35.141,-36.12797518252005
2023/02/12 05:19:35.280,-36.10928945797615
2023/02/12 05:19:35.407,-36.116898358871026
2023/02/12 05:19:35.532,-36.06371910472083
2023/02/12 05:19:35.657,-35.964115689852804
2023/02/12 05:19:35.782,-35.838605438342
2023/02/12 05:19:35.924,-36.04355708048225
2023/02/12 05:19:36.049,-35.803352893901405
2023/02/12 05:19:36.174,-36.07004187949418
2023/02/12 05:19:36.299,-36.24070795589242
2023/02/12 05:19:36.425,-36.19704853205528
2023/02/12 05:19:36.565,-36.13837208405905
2023/02/12 05:19:36.704,-36.17624606412163
2023/02/12 05:19:36.828,-35.96808747501409
2023/02/12 05:19:36.966,-35.9417341963004
2023/02/12 05:19:37.091,-36.040025343863874
2023/02/12 05:19:37.217,-35.92935467844522
2023/02/12 05:19:37.342,-35.97026018655824
2023/02/12 05:19:37.484,-35.84625448060583
2023/02/12 05:19:37.609,-35.90441868991168
2023/02/12 05:19:37.747,-35.71762131525413
2023/02/12 05:19:37.887,-35.78842409761257
2023/02/12 05:19:38.028,-35.81974706913959
2023/02/12 05:19:38.168,-35.68535447666775
2023/02/12 05:19:38.292,-35.82762416348741
2023/02/12 05:19:38.433,-35.84214028014576
2023/02/12 05:19:38.559,-36.045374408057505
2023/02/12 05:19:38.701,-35.80968227169125
2023/02/12 05:19:38.840,-35.98991943114468
2023/02/12 05:19:38.980,-36.035916358148675
2023/02/12 05:19:39.120,-35.95971825126041
2023/02/12 05:19:39.262,-36.06872744737484
2023/02/12 05:19:39.402,-36.04677968969097
2023/02/12 05:19:39.541,-36.109064892488014
