時刻,マイク (USB PnP Sound Device)
2023/02/12 05:22:36.658,-84
2023/02/12 05:22:36.798,-35.76851537547472
2023/02/12 05:22:36.926,-36.19653730151616
2023/02/12 05:22:37.065,-36.19838460140694
2023/02/12 05:22:37.191,-36.06310240234367
2023/02/12 05:22:37.316,-35.89293091072401
2023/02/12 05:22:37.442,-36.03191614617759
2023/02/12 05:22:37.567,-36.07989248643775
2023/02/12 05:22:37.706,-35.93980864557938
2023/02/12 05:22:37.832,-35.46488006842706
2023/02/12 05:22:37.971,-35.59259325606769
2023/02/12 05:22:38.096,-35.74190594543374
2023/02/12 05:22:38.221,-35.5805167597836
2023/02/12 05:22:38.347,-35.64876199117623
2023/02/12 05:22:38.475,-35.63741605925592
2023/02/12 05:22:38.615,-35.559906277160835
2023/02/12 05:22:38.757,-35.65732277614074
2023/02/12 05:22:38.900,-35.739730815526556
2023/02/12 05:22:39.040,-35.91358669398821
2023/02/12 05:22:39.165,-36.13931106805515
2023/02/12 05:22:39.290,-35.940223862252594
2023/02/12 05:22:39.428,-35.823762204784046
2023/02/12 05:22:39.566,-35.76473693486453
2023/02/12 05:22:39.707,-35.757876515290874
2023/02/12 05:22:39.847,-35.90980254877799
2023/02/12 05:22:39.973,-35.68740546631459
2023/02/12 05:22:40.111,-35.81067175170321
2023/02/12 05:22:40.250,-35.872796615795984
2023/02/12 05:22:40.390,-35.89403231708795
2023/02/12 05:22:40.515,-35.89631254011981
2023/02/12 05:22:40.656,-35.83743750386784
2023/02/12 05:22:40.796,-35.96004970318948
2023/02/12 05:22:40.934,-35.86605104436891
2023/02/12 05:22:41.059,-35.882548658339424
2023/02/12 05:22:41.200,-35.974417540379406
2023/02/12 05:22:41.342,-35.71077159738929
2023/02/12 05:22:41.467,-35.84027899053594
2023/02/12 05:22:41.607,-35.8888982530451
2023/02/12 05:22:41.747,-35.91322764119304
2023/02/12 05:22:41.887,-35.81042096284242
2023/02/12 05:22:42.027,-35.86356451506945
2023/02/12 05:22:42.167,-35.9581590779888
2023/02/12 05:22:42.294,-35.974977936267635
2023/02/12 05:22:42.419,-35.95028676252776
2023/02/12 05:22:42.558,-36.02239869473997
2023/02/12 05:22:42.683,-35.94101138204044
2023/02/12 05:22:42.823,-35.9338764752068
2023/02/12 05:22:42.961,-35.953834878895094
2023/02/12 05:22:43.101,-36.04715143566095
2023/02/12 05:22:43.242,-36.31108782913706
2023/02/12 05:22:43.380,-36.34391655047414
2023/02/12 05:22:43.506,-36.069037419005014
2023/02/12 05:22:43.659,-36.07131769616935
2023/02/12 05:22:43.799,-36.05773484883613
2023/02/12 05:22:43.940,-35.89049855395055
2023/02/12 05:22:44.079,-35.87489322716122
2023/02/12 05:22:44.218,-35.77548221888406
2023/02/12 05:22:44.358,-35.94714704982158
2023/02/12 05:22:44.484,-36.00144037441363
2023/02/12 05:22:44.624,-36.32722930395216
2023/02/12 05:22:44.765,-35.99323970726566
2023/02/12 05:22:44.890,-35.56947469232892
2023/02/12 05:22:45.015,-35.48298034134483
2023/02/12 05:22:45.141,-35.62334068526034
2023/02/12 05:22:45.266,-35.69019058635294
2023/02/12 05:22:45.407,-35.57806333049208
2023/02/12 05:22:45.547,-35.607541594053174
2023/02/12 05:22:45.686,-35.9053336666311
2023/02/12 05:22:45.811,-35.88069870723495
2023/02/12 05:22:45.950,-36.00187305480684
2023/02/12 05:22:46.090,-36.017230543833215
2023/02/12 05:22:46.229,-35.84934851222006
2023/02/12 05:22:46.354,-35.95696623817386
2023/02/12 05:22:46.496,-35.762065868232334
2023/02/12 05:22:46.636,-36.00256567122096
2023/02/12 05:22:46.775,-35.87642666202383
2023/02/12 05:22:46.913,-36.06269164625101
2023/02/12 05:22:47.039,-36.14001276163325
2023/02/12 05:22:47.166,-35.80509904137025
2023/02/12 05:22:47.304,-35.854168464695164
2023/02/12 05:22:47.445,-36.04243598944309
2023/02/12 05:22:47.585,-35.9434151509905
2023/02/12 05:22:47.712,-36.00631947118967
2023/02/12 05:22:47.850,-35.97309456174094
2023/02/12 05:22:47.990,-35.80578093686344
2023/02/12 05:22:48.115,-35.78791598767723
2023/02/12 05:22:48.255,-35.92857406760346
2023/02/12 05:22:48.381,-35.838680241398684
2023/02/12 05:22:48.507,-35.8693598476082
2023/02/12 05:22:48.646,-35.573676770963004
2023/02/12 05:22:48.786,-35.914227580687296
2023/02/12 05:22:48.926,-36.09729462120668
2023/02/12 05:22:49.052,-35.75095839366974
2023/02/12 05:22:49.206,-36.00920149539312
2023/02/12 05:22:49.331,-35.90452678050929
2023/02/12 05:22:49.457,-35.72353800895592
2023/02/12 05:22:49.598,-35.82083067685608
2023/02/12 05:22:49.724,-36.07737051008262
