時刻,マイク (USB PnP Sound Device)
2023/02/12 05:23:35.518,-84
2023/02/12 05:23:35.651,-35.73875754051029
2023/02/12 05:23:35.780,-35.65193517947564
2023/02/12 05:23:35.915,-35.706348557919604
2023/02/12 05:23:36.055,-35.756514880301786
2023/02/12 05:23:36.194,-35.935418823358354
2023/02/12 05:23:36.333,-34.666106702747264
2023/02/12 05:23:36.473,-18.138784500881307
2023/02/12 05:23:36.613,-18.426531286981067
2023/02/12 05:23:36.753,-23.0183390377507
2023/02/12 05:23:36.879,-16.79372301137661
2023/02/12 05:23:37.017,-24.84184220353278
2023/02/12 05:23:37.143,-27.631157011768668
2023/02/12 05:23:37.268,-32.765534159302725
2023/02/12 05:23:37.392,-36.14890957095545
2023/02/12 05:23:37.518,-26.15987816647989
2023/02/12 05:23:37.644,-27.748178941428286
2023/02/12 05:23:37.784,-36.3323820195833
2023/02/12 05:23:37.922,-22.216547730900686
2023/02/12 05:23:38.049,-25.65624996157657
2023/02/12 05:23:38.174,-19.6923070461581
2023/02/12 05:23:38.313,-9.141914432335128
2023/02/12 05:23:38.454,-28.214526305926057
2023/02/12 05:23:38.594,-29.89585842437704
2023/02/12 05:23:38.732,-25.217488188005795
2023/02/12 05:23:38.872,-36.11450481474401
2023/02/12 05:23:39.013,-24.071603487034274
2023/02/12 05:23:39.138,-24.071603487034274
2023/02/12 05:23:39.277,-34.144194318671026
2023/02/12 05:23:39.417,-35.887106027222956
2023/02/12 05:23:39.543,-23.880175124339473
2023/02/12 05:23:39.683,-20.461390597737235
2023/02/12 05:23:39.822,-22.1755661367291
2023/02/12 05:23:39.964,-36.02155733576284
2023/02/12 05:23:40.091,-35.74901090712715
2023/02/12 05:23:40.218,-35.701631343029746
2023/02/12 05:23:40.343,-36.015821598602194
2023/02/12 05:23:40.482,-17.249134710310408
2023/02/12 05:23:40.607,-20.220728967482625
2023/02/12 05:23:40.748,-27.60468782180338
2023/02/12 05:23:40.888,-35.9692323591858
2023/02/12 05:23:41.014,-36.299016499010726
2023/02/12 05:23:41.152,-19.571737676070587
2023/02/12 05:23:41.292,-22.541635586543993
2023/02/12 05:23:41.432,-29.188530715693744
2023/02/12 05:23:41.573,-31.93517577094422
2023/02/12 05:23:41.699,-28.433744449901653
2023/02/12 05:23:41.838,-29.265690184595556
2023/02/12 05:23:41.963,-36.506594575027584
2023/02/12 05:23:42.089,-36.127775427261994
2023/02/12 05:23:42.214,-35.94444471576383
2023/02/12 05:23:42.354,-36.33592143633499
2023/02/12 05:23:42.494,-35.98828607116019
2023/02/12 05:23:42.633,-26.9316072584418
2023/02/12 05:23:42.773,-15.909550637689367
2023/02/12 05:23:42.900,-27.499140536536547
2023/02/12 05:23:43.040,-25.10541142412931
2023/02/12 05:23:43.179,-35.81964672638013
2023/02/12 05:23:43.318,-36.17642110072762
2023/02/12 05:23:43.459,-35.90879484722896
2023/02/12 05:23:43.600,-35.94393417394386
2023/02/12 05:23:43.726,-36.09089355375082
2023/02/12 05:23:43.865,-35.938662059391106
2023/02/12 05:23:44.019,-36.2774652590549
2023/02/12 05:23:44.158,-36.16348691852208
2023/02/12 05:23:44.299,-36.31144357252078
2023/02/12 05:23:44.425,-36.312093792409804
2023/02/12 05:23:44.552,-36.00513100822712
2023/02/12 05:23:44.676,-36.10925996321583
2023/02/12 05:23:44.801,-35.939293123731645
2023/02/12 05:23:44.926,-36.232798722218135
2023/02/12 05:23:45.067,-36.30033750668595
2023/02/12 05:23:45.207,-36.203374577032335
2023/02/12 05:23:45.346,-36.308447495504794
2023/02/12 05:23:45.485,-36.06632805539307
2023/02/12 05:23:45.610,-36.324668312696794
2023/02/12 05:23:45.751,-36.972898280268495
2023/02/12 05:23:45.876,-36.623077430942594
2023/02/12 05:23:46.016,-36.255098439842264
2023/02/12 05:23:46.156,-18.642069454090354
2023/02/12 05:23:46.294,-20.80984345173835
2023/02/12 05:23:46.419,-29.936550636160998
2023/02/12 05:23:46.544,-26.577588435136057
2023/02/12 05:23:46.672,-36.1521243269368
2023/02/12 05:23:46.811,-36.05202947314663
2023/02/12 05:23:46.951,-35.84144534988442
2023/02/12 05:23:47.076,-36.123172173351136
2023/02/12 05:23:47.202,-36.22182694140171
2023/02/12 05:23:47.328,-36.2099569709506
2023/02/12 05:23:47.468,-35.999916029499474
2023/02/12 05:23:47.607,-35.95727312246205
2023/02/12 05:23:47.746,-36.14579325496343
2023/02/12 05:23:47.872,-35.73581198045486
2023/02/12 05:23:48.010,-36.122810865144
2023/02/12 05:23:48.148,-36.44807019329604
2023/02/12 05:23:48.287,-36.55128561064083
2023/02/12 05:23:48.426,-36.132613521715996
