時刻,マイク (Realtek USB2.0 Audio)
2023/02/12 05:25:29.890,-84
2023/02/12 05:25:30.025,-59.53885624339624
2023/02/12 05:25:30.149,-62.4887349661153
2023/02/12 05:25:30.277,-59.74077693217811
2023/02/12 05:25:30.402,-49.67782013664621
2023/02/12 05:25:30.545,-55.01674633708624
2023/02/12 05:25:30.673,-65.5114741478276
2023/02/12 05:25:30.798,-62.568415175359426
2023/02/12 05:25:30.925,-55.46936833270786
2023/02/12 05:25:31.049,-64.7004070593266
2023/02/12 05:25:31.175,-68.2804760242662
2023/02/12 05:25:31.301,-61.06748921703869
2023/02/12 05:25:31.426,-62.80531310745047
2023/02/12 05:25:31.553,-63.29985673073524
2023/02/12 05:25:31.693,-70.95941892317386
2023/02/12 05:25:31.850,-57.19615653615563
2023/02/12 05:25:31.992,-58.603369645491995
2023/02/12 05:25:32.133,-59.89440909730437
2023/02/12 05:25:32.273,-59.530491993640105
2023/02/12 05:25:32.400,-57.22845353949816
2023/02/12 05:25:32.537,-58.42598720437675
2023/02/12 05:25:32.662,-68.40017302099744
2023/02/12 05:25:32.799,-64.8285919928375
2023/02/12 05:25:32.926,-54.01478070711371
2023/02/12 05:25:33.066,-59.201392279425775
2023/02/12 05:25:33.206,-64.62379121098445
2023/02/12 05:25:33.346,-61.2806537550903
2023/02/12 05:25:33.473,-54.115094922517535
2023/02/12 05:25:33.598,-60.64817454417066
2023/02/12 05:25:33.740,-70.12531844473747
2023/02/12 05:25:33.880,-58.61637857273722
2023/02/12 05:25:34.035,-61.88294421125648
2023/02/12 05:25:34.173,-57.92709794688445
2023/02/12 05:25:34.301,-65.56341556217865
2023/02/12 05:25:34.427,-56.22530423920237
2023/02/12 05:25:34.553,-56.52585582263801
2023/02/12 05:25:34.694,-65.42634616292366
2023/02/12 05:25:34.836,-63.24450054170163
2023/02/12 05:25:34.961,-70.30474197855457
2023/02/12 05:25:35.085,-58.418826637978
2023/02/12 05:25:35.224,-65.87087485195477
2023/02/12 05:25:35.364,-61.16752211208287
2023/02/12 05:25:35.503,-56.43873695193402
2023/02/12 05:25:35.645,-61.06047542875484
2023/02/12 05:25:35.771,-64.9468805789183
2023/02/12 05:25:35.925,-68.69472353051027
2023/02/12 05:25:36.050,-54.77758593531892
2023/02/12 05:25:36.192,-55.53043546564116
2023/02/12 05:25:36.331,-62.09983824640558
2023/02/12 05:25:36.471,-57.49198421166716
2023/02/12 05:25:36.596,-57.88005962816677
2023/02/12 05:25:36.737,-54.58374546677098
2023/02/12 05:25:36.880,-57.40155286928793
2023/02/12 05:25:37.019,-57.97085776091674
2023/02/12 05:25:37.158,-64.20018914842483
2023/02/12 05:25:37.298,-58.09309980065951
2023/02/12 05:25:37.439,-70.37965797442762
2023/02/12 05:25:37.579,-70.07527040260644
2023/02/12 05:25:37.704,-65.17800348688
2023/02/12 05:25:37.844,-61.119642463911255
2023/02/12 05:25:37.968,-52.76856832744439
2023/02/12 05:25:38.108,-56.891983787182554
2023/02/12 05:25:38.247,-57.937032664146805
2023/02/12 05:25:38.388,-62.9797645217062
2023/02/12 05:25:38.528,-60.3975184254604
2023/02/12 05:25:38.653,-73.46570898612566
2023/02/12 05:25:38.793,-58.31142656810276
2023/02/12 05:25:38.935,-59.38508435292281
2023/02/12 05:25:39.076,-57.01522857138652
2023/02/12 05:25:39.202,-59.053228126878835
2023/02/12 05:25:39.340,-58.57069339415219
2023/02/12 05:25:39.480,-59.52667537520115
2023/02/12 05:25:39.620,-64.18472639804327
2023/02/12 05:25:39.760,-54.28682249165864
2023/02/12 05:25:39.885,-65.25837435171647
2023/02/12 05:25:40.024,-55.07705332286672
2023/02/12 05:25:40.149,-56.77224931013634
2023/02/12 05:25:40.290,-53.52740518730621
2023/02/12 05:25:40.430,-59.25138193086749
2023/02/12 05:25:40.557,-62.914914702325774
2023/02/12 05:25:40.698,-65.74464040586277
2023/02/12 05:25:40.836,-55.461949993729604
2023/02/12 05:25:40.976,-53.955620903985036
2023/02/12 05:25:41.102,-57.25703108420277
2023/02/12 05:25:41.227,-59.10242524765353
2023/02/12 05:25:41.353,-58.145813434564985
2023/02/12 05:25:41.480,-53.112811117171745
2023/02/12 05:25:41.619,-57.32088191274852
2023/02/12 05:25:41.744,-58.74911074074922
2023/02/12 05:25:41.869,-61.162493131367555
2023/02/12 05:25:41.994,-57.43664434241654
2023/02/12 05:25:42.135,-55.50645905678721
2023/02/12 05:25:42.276,-64.19389748110524
2023/02/12 05:25:42.401,-68.43362474022904
2023/02/12 05:25:42.540,-56.523254353607804
2023/02/12 05:25:42.677,-56.40236341473621
2023/02/12 05:25:42.832,-56.722151337347235
