時刻,マイク (Realtek USB2.0 Audio)
2023/02/12 05:26:33.855,-84
2023/02/12 05:26:33.992,-71.27891220892647
2023/02/12 05:26:34.132,-63.658398422156644
2023/02/12 05:26:34.258,-69.49137880017696
2023/02/12 05:26:34.386,-61.10234028957982
2023/02/12 05:26:34.512,-57.019377520602426
2023/02/12 05:26:34.638,-57.77601285461537
2023/02/12 05:26:34.765,-58.776748455934126
2023/02/12 05:26:34.893,-68.68374668681467
2023/02/12 05:26:35.034,-64.35595423762318
2023/02/12 05:26:35.159,-61.781638230932444
2023/02/12 05:26:35.286,-57.91228873714748
2023/02/12 05:26:35.412,-55.650356153426216
2023/02/12 05:26:35.538,-61.43552962987047
2023/02/12 05:26:35.666,-65.37446460887514
2023/02/12 05:26:35.793,-61.916295718577544
2023/02/12 05:26:35.935,-55.83911607701913
2023/02/12 05:26:36.063,-57.24217195349527
2023/02/12 05:26:36.204,-55.46658086753837
2023/02/12 05:26:36.344,-54.184424964443764
2023/02/12 05:26:36.485,-56.841786779492026
2023/02/12 05:26:36.611,-66.10337541889558
2023/02/12 05:26:36.739,-64.45876014193307
2023/02/12 05:26:36.865,-60.772993400751005
2023/02/12 05:26:37.005,-72.25190214509824
2023/02/12 05:26:37.131,-58.31578320504333
2023/02/12 05:26:37.271,-64.17129198941585
2023/02/12 05:26:37.413,-59.52577640377521
2023/02/12 05:26:37.538,-65.18240459974425
2023/02/12 05:26:37.664,-67.33087682089474
2023/02/12 05:26:37.807,-71.77975165151844
2023/02/12 05:26:37.946,-67.88910653130571
2023/02/12 05:26:38.089,-59.856329956929784
2023/02/12 05:26:38.217,-63.99885844233712
2023/02/12 05:26:38.342,-61.21169603834435
2023/02/12 05:26:38.467,-61.97479403606833
2023/02/12 05:26:38.609,-71.70654730393312
2023/02/12 05:26:38.749,-61.81712543748982
2023/02/12 05:26:38.890,-51.61692254369564
2023/02/12 05:26:39.016,-64.44414685749747
2023/02/12 05:26:39.144,-63.918378191417446
2023/02/12 05:26:39.284,-59.043162397757754
2023/02/12 05:26:39.426,-57.68015358438614
2023/02/12 05:26:39.551,-64.72591428113157
2023/02/12 05:26:39.691,-56.921582214463065
2023/02/12 05:26:39.817,-57.32577394625034
2023/02/12 05:26:39.957,-60.2425077025745
2023/02/12 05:26:40.097,-62.29200620319276
2023/02/12 05:26:40.236,-51.84747950687999
2023/02/12 05:26:40.361,-60.01463986970302
2023/02/12 05:26:40.504,-58.02434893617381
2023/02/12 05:26:40.643,-57.77439495644459
2023/02/12 05:26:40.782,-57.224393313112216
2023/02/12 05:26:40.908,-60.08114208767955
2023/02/12 05:26:41.049,-51.374269246240104
2023/02/12 05:26:41.189,-54.34933932392373
2023/02/12 05:26:41.328,-53.2061167365204
2023/02/12 05:26:41.467,-66.67537748934161
2023/02/12 05:26:41.594,-59.68901244631179
2023/02/12 05:26:41.734,-60.25312703394092
2023/02/12 05:26:41.861,-57.841962603549185
2023/02/12 05:26:42.001,-68.88992091219382
2023/02/12 05:26:42.127,-68.01595492747839
2023/02/12 05:26:42.255,-63.40860892802681
2023/02/12 05:26:42.395,-53.99461885704676
2023/02/12 05:26:42.522,-55.13177427604775
2023/02/12 05:26:42.662,-63.33943632179338
2023/02/12 05:26:42.790,-72.59389631072739
2023/02/12 05:26:42.915,-58.94028275867443
2023/02/12 05:26:43.042,-53.245712857508394
2023/02/12 05:26:43.168,-59.66102078045886
2023/02/12 05:26:43.310,-54.28821655335368
2023/02/12 05:26:43.447,-59.08585627638032
2023/02/12 05:26:43.574,-70.1697466408092
2023/02/12 05:26:43.714,-58.144972825223874
2023/02/12 05:26:43.839,-55.033781272167005
2023/02/12 05:26:43.963,-57.24745688902062
2023/02/12 05:26:44.102,-56.00539057661146
2023/02/12 05:26:44.241,-66.14040106445913
2023/02/12 05:26:44.368,-55.96738978033548
2023/02/12 05:26:44.509,-58.46734923572269
2023/02/12 05:26:44.648,-63.38207472206585
2023/02/12 05:26:44.791,-51.76660497175198
2023/02/12 05:26:44.930,-62.44268677205163
2023/02/12 05:26:45.071,-62.866422834593365
2023/02/12 05:26:45.209,-59.89392919683215
2023/02/12 05:26:45.348,-53.580615395436766
2023/02/12 05:26:45.474,-57.075280067025886
2023/02/12 05:26:45.613,-59.566096875902716
2023/02/12 05:26:45.751,-53.51553027325998
2023/02/12 05:26:45.877,-57.88614586439508
2023/02/12 05:26:46.017,-59.555098086170226
2023/02/12 05:26:46.158,-52.09120286404715
2023/02/12 05:26:46.299,-53.98642596447645
2023/02/12 05:26:46.438,-58.09146759495678
2023/02/12 05:26:46.577,-64.2839905916454
2023/02/12 05:26:46.716,-65.7728543761428
2023/02/12 05:26:46.843,-65.13431765731836
