時刻,マイク (Realtek USB2.0 Audio)
2023/02/12 05:27:02.965,-84
2023/02/12 05:27:03.109,-56.348745426549044
2023/02/12 05:27:03.249,-62.232568023204266
2023/02/12 05:27:03.373,-68.26763794678948
2023/02/12 05:27:03.499,-60.04911026204389
2023/02/12 05:27:03.624,-60.639039083815405
2023/02/12 05:27:03.765,-58.76032714720701
2023/02/12 05:27:03.903,-66.82656939356391
2023/02/12 05:27:04.041,-66.38896446446262
2023/02/12 05:27:04.180,-59.665976848940886
2023/02/12 05:27:04.306,-57.785565783802085
2023/02/12 05:27:04.446,-66.60528745756261
2023/02/12 05:27:04.574,-55.96203855200202
2023/02/12 05:27:04.713,-66.76982374267823
2023/02/12 05:27:04.852,-57.752407112796945
2023/02/12 05:27:04.994,-54.97428041725837
2023/02/12 05:27:05.120,-65.99691217420734
2023/02/12 05:27:05.260,-55.11810212429573
2023/02/12 05:27:05.398,-59.20482070377073
2023/02/12 05:27:05.538,-56.233898414227134
2023/02/12 05:27:05.664,-55.772341601818326
2023/02/12 05:27:05.805,-56.681451559353334
2023/02/12 05:27:05.944,-65.75715456943568
2023/02/12 05:27:06.070,-60.316697728097274
2023/02/12 05:27:06.210,-56.20693586397307
2023/02/12 05:27:06.349,-66.78855183521561
2023/02/12 05:27:06.474,-59.14810122633852
2023/02/12 05:27:06.599,-70.66526787116844
2023/02/12 05:27:06.753,-57.62066811715033
2023/02/12 05:27:06.895,-54.79526060718503
2023/02/12 05:27:07.033,-54.04493557457652
2023/02/12 05:27:07.172,-54.16218967212131
2023/02/12 05:27:07.310,-56.84109349502101
2023/02/12 05:27:07.450,-59.78303252762679
2023/02/12 05:27:07.575,-61.06382866767434
2023/02/12 05:27:07.717,-64.81121969728625
2023/02/12 05:27:07.858,-67.03684870439285
2023/02/12 05:27:07.997,-59.05156277432649
2023/02/12 05:27:08.136,-56.88874996291949
2023/02/12 05:27:08.263,-57.513808413312766
2023/02/12 05:27:08.402,-50.118379233267625
2023/02/12 05:27:08.541,-69.17337370089868
2023/02/12 05:27:08.680,-65.4004716389935
2023/02/12 05:27:08.806,-51.01456344110608
2023/02/12 05:27:08.946,-56.249504052962045
2023/02/12 05:27:09.085,-61.01178198524159
2023/02/12 05:27:09.211,-53.54019333772932
2023/02/12 05:27:09.337,-57.02015763370646
2023/02/12 05:27:09.462,-54.25009030721144
2023/02/12 05:27:09.587,-57.902667054511284
2023/02/12 05:27:09.714,-62.273081548763116
2023/02/12 05:27:09.840,-60.420045835678124
2023/02/12 05:27:09.966,-55.70045730099778
2023/02/12 05:27:10.104,-56.49671957806082
2023/02/12 05:27:10.245,-52.98916912761775
2023/02/12 05:27:10.369,-56.14069588823581
2023/02/12 05:27:10.495,-53.682405837868856
2023/02/12 05:27:10.620,-59.315547622095465
2023/02/12 05:27:10.759,-58.24726941759765
2023/02/12 05:27:10.886,-55.36137003318856
2023/02/12 05:27:11.026,-57.277163871071586
2023/02/12 05:27:11.152,-66.64075039299681
2023/02/12 05:27:11.294,-62.863494374950434
2023/02/12 05:27:11.433,-57.60387197578217
2023/02/12 05:27:11.573,-74.00748989799223
2023/02/12 05:27:11.713,-71.07519965464047
2023/02/12 05:27:11.853,-59.72808306025605
2023/02/12 05:27:11.994,-58.330461631503915
2023/02/12 05:27:12.120,-54.86525040427467
2023/02/12 05:27:12.263,-59.3625260127761
2023/02/12 05:27:12.389,-52.55972722922105
2023/02/12 05:27:12.516,-55.76698468155666
2023/02/12 05:27:12.656,-50.90969762022867
2023/02/12 05:27:12.797,-55.94372241111646
2023/02/12 05:27:12.923,-53.16424381437823
2023/02/12 05:27:13.060,-56.92793001664964
2023/02/12 05:27:13.187,-54.50627881905519
2023/02/12 05:27:13.313,-60.62115073538007
2023/02/12 05:27:13.451,-69.30391566340434
2023/02/12 05:27:13.589,-53.35671851208107
2023/02/12 05:27:13.729,-64.36816213607655
2023/02/12 05:27:13.869,-67.4085072390417
2023/02/12 05:27:13.995,-52.49240920882638
2023/02/12 05:27:14.133,-53.55362563992526
2023/02/12 05:27:14.274,-61.19124061027754
2023/02/12 05:27:14.415,-60.27300619759066
2023/02/12 05:27:14.557,-59.44836275307751
2023/02/12 05:27:14.697,-59.841841499770936
2023/02/12 05:27:14.824,-60.13920022578507
2023/02/12 05:27:14.951,-63.766596293214306
2023/02/12 05:27:15.093,-54.58981417095416
2023/02/12 05:27:15.219,-63.45577358243836
2023/02/12 05:27:15.359,-59.75174544216787
2023/02/12 05:27:15.500,-56.35623275080019
2023/02/12 05:27:15.625,-62.842950254556584
2023/02/12 05:27:15.765,-64.60229811349878
2023/02/12 05:27:15.892,-62.61444136415109
