時刻,マイク (Realtek USB2.0 Audio)
2023/02/12 05:27:38.575,-84
2023/02/12 05:27:38.712,-59.26085558886827
2023/02/12 05:27:38.837,-63.039855267214335
2023/02/12 05:27:38.979,-55.914743049906896
2023/02/12 05:27:39.119,-63.42036744135423
2023/02/12 05:27:39.258,-64.56315031042487
2023/02/12 05:27:39.382,-56.19189963632494
2023/02/12 05:27:39.508,-65.5710809467458
2023/02/12 05:27:39.648,-61.03386780360164
2023/02/12 05:27:39.773,-61.84838660445244
2023/02/12 05:27:39.914,-57.87303530410877
2023/02/12 05:27:40.054,-61.986227092793044
2023/02/12 05:27:40.178,-60.117992617998006
2023/02/12 05:27:40.318,-69.50282316953971
2023/02/12 05:27:40.459,-60.473880712858765
2023/02/12 05:27:40.585,-56.668374216207894
2023/02/12 05:27:40.727,-56.237422445614705
2023/02/12 05:27:40.870,-62.74192141294865
2023/02/12 05:27:41.012,-60.930737144983624
2023/02/12 05:27:41.138,-62.47688977525542
2023/02/12 05:27:41.279,-60.41769680139194
2023/02/12 05:27:41.421,-52.98979366536634
2023/02/12 05:27:41.561,-59.60679301456694
2023/02/12 05:27:41.702,-56.41789038466779
2023/02/12 05:27:41.829,-58.80539973371137
2023/02/12 05:27:41.971,-60.44722201279904
2023/02/12 05:27:42.112,-66.52558388967012
2023/02/12 05:27:42.239,-56.532058666640935
2023/02/12 05:27:42.366,-53.02551153009855
2023/02/12 05:27:42.505,-61.93614086901082
2023/02/12 05:27:42.632,-70.00753041462092
2023/02/12 05:27:42.774,-64.19253622454153
2023/02/12 05:27:42.915,-68.54323418146302
2023/02/12 05:27:43.042,-63.98873318808324
2023/02/12 05:27:43.168,-59.902409103064535
2023/02/12 05:27:43.307,-58.17471051589469
2023/02/12 05:27:43.432,-65.05982984051877
2023/02/12 05:27:43.572,-56.40611804156215
2023/02/12 05:27:43.714,-63.64062430442974
2023/02/12 05:27:43.841,-52.589821845946105
2023/02/12 05:27:43.984,-56.75421854390103
2023/02/12 05:27:44.123,-62.72302706322969
2023/02/12 05:27:44.263,-74.9621811562125
2023/02/12 05:27:44.390,-56.261110955588336
2023/02/12 05:27:44.518,-66.15425027603504
2023/02/12 05:27:44.643,-64.09891131619857
2023/02/12 05:27:44.783,-57.211481871781544
2023/02/12 05:27:44.910,-58.67603404021712
2023/02/12 05:27:45.036,-58.12083911457958
2023/02/12 05:27:45.162,-60.997949875177014
2023/02/12 05:27:45.301,-64.19696351525985
2023/02/12 05:27:45.426,-58.024923195901714
2023/02/12 05:27:45.552,-49.9486216934886
2023/02/12 05:27:45.678,-60.12123806505717
2023/02/12 05:27:45.816,-65.07083324876346
2023/02/12 05:27:45.955,-60.63647516662588
2023/02/12 05:27:46.081,-56.054118508208916
2023/02/12 05:27:46.223,-63.52953663019059
2023/02/12 05:27:46.362,-56.200016854077354
2023/02/12 05:27:46.488,-59.73449402882268
2023/02/12 05:27:46.614,-64.96270769686606
2023/02/12 05:27:46.740,-61.27225713828915
2023/02/12 05:27:46.865,-56.0303866736768
2023/02/12 05:27:47.020,-54.51577890103455
2023/02/12 05:27:47.158,-58.59691148937785
2023/02/12 05:27:47.297,-65.81508145686327
2023/02/12 05:27:47.423,-51.245513002842394
2023/02/12 05:27:47.562,-58.813405559634475
2023/02/12 05:27:47.702,-63.27617775189176
2023/02/12 05:27:47.842,-58.38880185031441
2023/02/12 05:27:47.967,-63.44814563206462
2023/02/12 05:27:48.108,-55.057845820673705
2023/02/12 05:27:48.234,-53.66503100952669
2023/02/12 05:27:48.373,-57.83172936001121
2023/02/12 05:27:48.512,-77.08333149724493
2023/02/12 05:27:48.652,-60.08993222631632
2023/02/12 05:27:48.790,-60.13945839363408
2023/02/12 05:27:48.930,-57.492359704578476
2023/02/12 05:27:49.069,-65.80949229139841
2023/02/12 05:27:49.207,-54.576123309648096
2023/02/12 05:27:49.347,-62.23102925598696
2023/02/12 05:27:49.487,-55.50566880137047
2023/02/12 05:27:49.626,-60.57393115437657
2023/02/12 05:27:49.766,-68.43712102374559
2023/02/12 05:27:49.908,-57.134480702468906
2023/02/12 05:27:50.033,-60.78135789980807
2023/02/12 05:27:50.171,-56.37563601485779
2023/02/12 05:27:50.297,-62.0354839272168
2023/02/12 05:27:50.423,-66.09056934884303
2023/02/12 05:27:50.547,-65.35925997739344
2023/02/12 05:27:50.673,-52.81381983383436
2023/02/12 05:27:50.799,-58.663037893859276
2023/02/12 05:27:50.938,-62.360167565737285
2023/02/12 05:27:51.063,-59.11448189431418
2023/02/12 05:27:51.202,-60.0545499695309
2023/02/12 05:27:51.329,-59.600062848127145
2023/02/12 05:27:51.469,-65.16196614602644
