時刻,ヘッドセット マイク (Jabra EVOLVE 20 SE MS)
2023/02/12 05:30:46.808,-84
2023/02/12 05:30:46.947,-57.80324120168736
2023/02/12 05:30:47.090,-52.33655757692641
2023/02/12 05:30:47.216,-52.472805213376844
2023/02/12 05:30:47.355,-59.66133934522668
2023/02/12 05:30:47.494,-54.036645459255304
2023/02/12 05:30:47.634,-62.20662087556175
2023/02/12 05:30:47.759,-56.8267886657216
2023/02/12 05:30:47.898,-55.9690777243448
2023/02/12 05:30:48.039,-62.530648123744754
2023/02/12 05:30:48.177,-61.32955953248299
2023/02/12 05:30:48.316,-53.86492411754591
2023/02/12 05:30:48.444,-62.39935427005278
2023/02/12 05:30:48.569,-62.3463924292614
2023/02/12 05:30:48.707,-62.57430270979495
2023/02/12 05:30:48.849,-62.35309985076947
2023/02/12 05:30:48.990,-52.277912818607405
2023/02/12 05:30:49.144,-52.24266703778337
2023/02/12 05:30:49.269,-62.4116493270651
2023/02/12 05:30:49.395,-55.5775952213865
2023/02/12 05:30:49.535,-52.422442174584916
2023/02/12 05:30:49.661,-62.267398517905804
2023/02/12 05:30:49.787,-60.33975242803948
2023/02/12 05:30:49.926,-62.45096068774754
2023/02/12 05:30:50.065,-62.523343641317275
2023/02/12 05:30:50.204,-51.47774008075896
2023/02/12 05:30:50.343,-52.576059687616706
2023/02/12 05:30:50.482,-52.19859533514199
2023/02/12 05:30:50.622,-52.55522645417673
2023/02/12 05:30:50.763,-52.22778156485498
2023/02/12 05:30:50.902,-52.24018095570791
2023/02/12 05:30:51.041,-55.802320317871434
2023/02/12 05:30:51.183,-59.46328873218911
2023/02/12 05:30:51.308,-62.412365311503244
2023/02/12 05:30:51.432,-62.08215288617741
2023/02/12 05:30:51.572,-62.34713211707745
2023/02/12 05:30:51.708,-63.038956279784486
2023/02/12 05:30:51.833,-62.08835883437743
2023/02/12 05:30:51.974,-62.29205109781459
2023/02/12 05:30:52.099,-62.55816992584705
2023/02/12 05:30:52.239,-62.33318271337549
2023/02/12 05:30:52.377,-58.81152119678093
2023/02/12 05:30:52.518,-62.23517695350296
2023/02/12 05:30:52.658,-62.265790215283744
2023/02/12 05:30:52.797,-62.43801609672975
2023/02/12 05:30:52.937,-51.9893117888698
2023/02/12 05:30:53.075,-52.35499790528226
2023/02/12 05:30:53.212,-52.559231327173414
2023/02/12 05:30:53.338,-55.719968400393036
2023/02/12 05:30:53.462,-60.531468536901095
2023/02/12 05:30:53.602,-52.40926732385495
2023/02/12 05:30:53.742,-61.23612992330422
2023/02/12 05:30:53.881,-62.09949821030426
2023/02/12 05:30:54.023,-62.138931241022675
2023/02/12 05:30:54.165,-58.57587860397754
2023/02/12 05:30:54.306,-58.454112433306506
2023/02/12 05:30:54.445,-62.703637168113104
2023/02/12 05:30:54.584,-62.2918051822547
2023/02/12 05:30:54.724,-62.225963153688724
2023/02/12 05:30:54.864,-62.49433693251822
2023/02/12 05:30:55.005,-62.294588182355035
2023/02/12 05:30:55.145,-62.47070088649359
2023/02/12 05:30:55.284,-62.5242323074713
2023/02/12 05:30:55.424,-62.34334834177112
2023/02/12 05:30:55.551,-61.73531687559824
2023/02/12 05:30:55.691,-52.08203286580263
2023/02/12 05:30:55.817,-53.8511559919874
2023/02/12 05:30:55.942,-51.9750693424372
2023/02/12 05:30:56.081,-62.289352759938524
2023/02/12 05:30:56.220,-45.507273840761215
2023/02/12 05:30:56.357,-54.79844111860472
2023/02/12 05:30:56.499,-62.1195889019628
2023/02/12 05:30:56.638,-62.53627226881741
2023/02/12 05:30:56.763,-62.31988127204011
2023/02/12 05:30:56.888,-62.32237640623448
2023/02/12 05:30:57.013,-62.38940153090104
2023/02/12 05:30:57.152,-62.31116898671531
2023/02/12 05:30:57.291,-62.49305912802243
2023/02/12 05:30:57.418,-62.543324750592014
2023/02/12 05:30:57.543,-62.42389413129957
2023/02/12 05:30:57.681,-62.026992141893956
2023/02/12 05:30:57.822,-62.72694886117486
2023/02/12 05:30:57.964,-62.32863492581884
2023/02/12 05:30:58.090,-59.797855905970316
2023/02/12 05:30:58.230,-62.50901853861882
2023/02/12 05:30:58.370,-59.65803313643471
2023/02/12 05:30:58.510,-52.522868866979465
2023/02/12 05:30:58.651,-55.828135564575064
2023/02/12 05:30:58.793,-52.64879431834295
2023/02/12 05:30:58.920,-62.41528875981311
2023/02/12 05:30:59.063,-56.171546907224226
2023/02/12 05:30:59.204,-62.646052704225156
2023/02/12 05:30:59.347,-60.138399110435984
2023/02/12 05:30:59.472,-52.25834490022714
2023/02/12 05:30:59.613,-52.45406151276204
2023/02/12 05:30:59.742,-52.00372731970246
