時刻,ヘッドセット マイク (Jabra EVOLVE 20 SE MS)
2023/02/12 05:31:20.192,-84
2023/02/12 05:31:20.328,-62.27588612264565
2023/02/12 05:31:20.467,-52.06011502797641
2023/02/12 05:31:20.594,-52.51482996817634
2023/02/12 05:31:20.735,-61.05346464996592
2023/02/12 05:31:20.876,-55.72201946800263
2023/02/12 05:31:21.016,-62.99492586617174
2023/02/12 05:31:21.155,-60.75942641557635
2023/02/12 05:31:21.294,-61.20918736965025
2023/02/12 05:31:21.435,-56.799708135754585
2023/02/12 05:31:21.573,-52.411516366101125
2023/02/12 05:31:21.699,-58.24415568651135
2023/02/12 05:31:21.839,-62.20633451157261
2023/02/12 05:31:21.979,-62.52052417689793
2023/02/12 05:31:22.119,-62.33983364335187
2023/02/12 05:31:22.245,-62.22991555502788
2023/02/12 05:31:22.386,-52.18246737212097
2023/02/12 05:31:22.525,-62.27780214869483
2023/02/12 05:31:22.651,-57.34195035861357
2023/02/12 05:31:22.791,-60.58422572750192
2023/02/12 05:31:22.918,-62.31602632289288
2023/02/12 05:31:23.045,-62.13980943567526
2023/02/12 05:31:23.182,-62.5117218066527
2023/02/12 05:31:23.322,-62.016438583673676
2023/02/12 05:31:23.459,-52.78438060999627
2023/02/12 05:31:23.599,-52.0824633601616
2023/02/12 05:31:23.738,-52.33787043885517
2023/02/12 05:31:23.879,-52.638964951382945
2023/02/12 05:31:24.005,-52.06855888546301
2023/02/12 05:31:24.145,-52.49983099112279
2023/02/12 05:31:24.284,-52.2912125476133
2023/02/12 05:31:24.427,-52.405394978661086
2023/02/12 05:31:24.567,-62.53781110489852
2023/02/12 05:31:24.692,-62.48831767110297
2023/02/12 05:31:24.831,-59.470917117337564
2023/02/12 05:31:24.971,-62.25913664367512
2023/02/12 05:31:25.097,-62.52097760214851
2023/02/12 05:31:25.235,-61.91566763108112
2023/02/12 05:31:25.375,-62.578387361400196
2023/02/12 05:31:25.515,-62.18067179003104
2023/02/12 05:31:25.640,-62.4727470904413
2023/02/12 05:31:25.766,-62.40945425489882
2023/02/12 05:31:25.907,-62.632594559059825
2023/02/12 05:31:26.047,-62.33896080530792
2023/02/12 05:31:26.174,-62.19979727701748
2023/02/12 05:31:26.313,-53.26715764292099
2023/02/12 05:31:26.438,-51.84640421045977
2023/02/12 05:31:26.578,-55.80639739040329
2023/02/12 05:31:26.703,-61.23046940265102
2023/02/12 05:31:26.842,-59.74970749057286
2023/02/12 05:31:26.983,-62.60863725823999
2023/02/12 05:31:27.123,-62.069490792817696
2023/02/12 05:31:27.263,-62.46341292395701
2023/02/12 05:31:27.388,-57.32013074492744
2023/02/12 05:31:27.515,-52.35686840166049
2023/02/12 05:31:27.653,-62.64337595776276
2023/02/12 05:31:27.791,-56.28387969866778
2023/02/12 05:31:27.930,-62.312211275996745
2023/02/12 05:31:28.072,-62.25869245619006
2023/02/12 05:31:28.211,-62.354560990786254
2023/02/12 05:31:28.350,-62.70146504057309
2023/02/12 05:31:28.491,-52.81568860908814
2023/02/12 05:31:28.631,-62.087654940503484
2023/02/12 05:31:28.756,-62.47886372817441
2023/02/12 05:31:28.898,-62.08094982455385
2023/02/12 05:31:29.036,-51.693820421918915
2023/02/12 05:31:29.177,-52.662254624249165
2023/02/12 05:31:29.316,-51.48290199931941
2023/02/12 05:31:29.456,-58.12771798609572
2023/02/12 05:31:29.595,-52.41432371510494
2023/02/12 05:31:29.733,-54.47781463013161
2023/02/12 05:31:29.873,-59.66781690358005
2023/02/12 05:31:29.999,-62.35186138713387
2023/02/12 05:31:30.124,-62.32642487493127
2023/02/12 05:31:30.251,-62.42607530409142
2023/02/12 05:31:30.390,-62.432994862744174
2023/02/12 05:31:30.529,-61.842082246312266
2023/02/12 05:31:30.669,-62.825862189980185
2023/02/12 05:31:30.794,-62.16405229081249
2023/02/12 05:31:30.919,-63.280673013523405
2023/02/12 05:31:31.060,-61.845170409052706
2023/02/12 05:31:31.186,-62.21080639794383
2023/02/12 05:31:31.327,-61.52908304199599
2023/02/12 05:31:31.466,-62.85453021736123
2023/02/12 05:31:31.605,-61.73623531989069
2023/02/12 05:31:31.745,-58.48494725851759
2023/02/12 05:31:31.872,-52.41372493835391
2023/02/12 05:31:32.012,-60.66074321312961
2023/02/12 05:31:32.150,-55.283021828879654
2023/02/12 05:31:32.291,-62.33457466941725
2023/02/12 05:31:32.416,-56.922832219751115
2023/02/12 05:31:32.542,-61.32729235533234
2023/02/12 05:31:32.680,-62.15633915591489
2023/02/12 05:31:32.821,-52.501525068064694
2023/02/12 05:31:32.962,-52.386050950821925
2023/02/12 05:31:33.088,-52.68218853125834
2023/02/12 05:31:33.227,-57.56094405794641
