時刻,ヘッドセット マイク (Jabra EVOLVE 20 SE MS)
2023/02/12 05:31:49.785,-84
2023/02/12 05:31:49.912,-84
2023/02/12 05:31:50.052,-51.69410191733236
2023/02/12 05:31:50.191,-52.79750444992453
2023/02/12 05:31:50.330,-59.17782396680332
2023/02/12 05:31:50.469,-52.745179198477
2023/02/12 05:31:50.594,-53.819827818194746
2023/02/12 05:31:50.719,-55.204159558386
2023/02/12 05:31:50.860,-55.03121267966825
2023/02/12 05:31:50.998,-61.948046361636685
2023/02/12 05:31:51.139,-57.417916958445645
2023/02/12 05:31:51.279,-51.95141435467598
2023/02/12 05:31:51.417,-61.73467985066384
2023/02/12 05:31:51.556,-58.64914496047729
2023/02/12 05:31:51.695,-61.66715190682766
2023/02/12 05:31:51.836,-62.79340102535636
2023/02/12 05:31:51.974,-52.25218852311243
2023/02/12 05:31:52.115,-52.813120752558575
2023/02/12 05:31:52.242,-62.45465196495815
2023/02/12 05:31:52.384,-51.8256078608612
2023/02/12 05:31:52.522,-58.52138288077658
2023/02/12 05:31:52.648,-62.29101005602043
2023/02/12 05:31:52.774,-60.442640523594505
2023/02/12 05:31:52.913,-62.21730942262671
2023/02/12 05:31:53.054,-62.733579949614025
2023/02/12 05:31:53.193,-52.19768321808229
2023/02/12 05:31:53.335,-52.142375930976655
2023/02/12 05:31:53.474,-52.073323696499614
2023/02/12 05:31:53.629,-52.12879635341373
2023/02/12 05:31:53.755,-52.27481299535135
2023/02/12 05:31:53.896,-53.55311489181893
2023/02/12 05:31:54.036,-59.622440884856076
2023/02/12 05:31:54.175,-62.31509841018954
2023/02/12 05:31:54.302,-57.213641399340446
2023/02/12 05:31:54.442,-62.327525325533244
2023/02/12 05:31:54.567,-62.59815156339026
2023/02/12 05:31:54.693,-62.30492252836764
2023/02/12 05:31:54.848,-57.757204417404836
2023/02/12 05:31:54.973,-62.523910144102466
2023/02/12 05:31:55.112,-62.51033494971473
2023/02/12 05:31:55.237,-61.210452202430204
2023/02/12 05:31:55.376,-62.463269551216115
2023/02/12 05:31:55.517,-62.20255019029976
2023/02/12 05:31:55.641,-62.49651001622258
2023/02/12 05:31:55.768,-62.33011875492672
2023/02/12 05:31:55.895,-62.39864740911382
2023/02/12 05:31:56.020,-61.6253031564138
2023/02/12 05:31:56.147,-52.2806181442041
2023/02/12 05:31:56.272,-54.36501197187853
2023/02/12 05:31:56.411,-59.10655539457828
2023/02/12 05:31:56.536,-62.453730459228154
2023/02/12 05:31:56.676,-62.550504556398224
2023/02/12 05:31:56.802,-58.574337922321334
2023/02/12 05:31:56.942,-55.08196998346516
2023/02/12 05:31:57.081,-62.1703275860359
2023/02/12 05:31:57.221,-56.19818652216145
2023/02/12 05:31:57.362,-61.11029253261988
2023/02/12 05:31:57.488,-62.4500574306755
2023/02/12 05:31:57.628,-62.549549594369765
2023/02/12 05:31:57.768,-62.344341090976855
2023/02/12 05:31:57.894,-62.135140029110104
2023/02/12 05:31:58.033,-52.32464141473115
2023/02/12 05:31:58.174,-51.9758607359882
2023/02/12 05:31:58.312,-62.35965812702048
2023/02/12 05:31:58.437,-62.32921032829666
2023/02/12 05:31:58.577,-62.5439706492201
2023/02/12 05:31:58.717,-52.52943012202029
2023/02/12 05:31:58.843,-52.309330071423716
2023/02/12 05:31:58.968,-54.953279074641024
2023/02/12 05:31:59.106,-51.085850258718786
2023/02/12 05:31:59.233,-46.15913975696063
2023/02/12 05:31:59.372,-59.794686970199336
2023/02/12 05:31:59.497,-62.17054705089044
2023/02/12 05:31:59.637,-58.26728820451329
2023/02/12 05:31:59.776,-61.840132748613364
2023/02/12 05:31:59.916,-62.42680347548
2023/02/12 05:32:00.041,-62.296650894783845
2023/02/12 05:32:00.166,-62.34814869773088
2023/02/12 05:32:00.292,-62.52041677528928
2023/02/12 05:32:00.432,-62.38666497610923
2023/02/12 05:32:00.572,-58.0348971054149
2023/02/12 05:32:00.697,-62.32426030543632
2023/02/12 05:32:00.838,-56.80674690770669
2023/02/12 05:32:00.977,-62.20160424876886
2023/02/12 05:32:01.102,-56.835127853055674
2023/02/12 05:32:01.253,-62.275207520764226
2023/02/12 05:32:01.395,-62.19013329949735
2023/02/12 05:32:01.535,-56.13745142339578
2023/02/12 05:32:01.675,-52.256493141906695
2023/02/12 05:32:01.799,-58.444627405881945
2023/02/12 05:32:01.940,-54.93757423470056
2023/02/12 05:32:02.079,-53.74982950295562
2023/02/12 05:32:02.220,-62.22366296587735
2023/02/12 05:32:02.346,-55.471527358993555
2023/02/12 05:32:02.471,-52.55391417962645
2023/02/12 05:32:02.596,-52.205215910450214
2023/02/12 05:32:02.735,-52.17143400546368
