時刻,ヘッドセット マイク (Jabra EVOLVE 20 SE MS)
2023/02/12 05:33:33.958,-84
2023/02/12 05:33:34.084,-62.341440741075516
2023/02/12 05:33:34.210,-62.22340198677585
2023/02/12 05:33:34.352,-62.61923714216371
2023/02/12 05:33:34.492,-58.67780749618734
2023/02/12 05:33:34.619,-57.40281667704739
2023/02/12 05:33:34.762,-58.62506636812089
2023/02/12 05:33:34.902,-58.40985260373243
2023/02/12 05:33:35.044,-56.358653397472224
2023/02/12 05:33:35.170,-49.72605617814847
2023/02/12 05:33:35.312,-22.677951996332737
2023/02/12 05:33:35.453,-23.43562209589548
2023/02/12 05:33:35.591,-16.15756006416514
2023/02/12 05:33:35.716,-37.726327679729096
2023/02/12 05:33:35.857,-28.11615099183312
2023/02/12 05:33:35.998,-36.03519110254656
2023/02/12 05:33:36.140,-44.20797922932074
2023/02/12 05:33:36.279,-34.9235171179587
2023/02/12 05:33:36.419,-36.99406608131038
2023/02/12 05:33:36.560,-26.691834308823545
2023/02/12 05:33:36.698,-54.459035128477026
2023/02/12 05:33:36.840,-28.268162110472026
2023/02/12 05:33:36.966,-39.45262719476074
2023/02/12 05:33:37.108,-21.980588334939956
2023/02/12 05:33:37.249,-51.68716088039065
2023/02/12 05:33:37.390,-20.769401540861256
2023/02/12 05:33:37.529,-29.352957362236335
2023/02/12 05:33:37.671,-42.47756619102421
2023/02/12 05:33:37.798,-23.534741817304248
2023/02/12 05:33:37.938,-38.49643711276281
2023/02/12 05:33:38.064,-30.18083015132655
2023/02/12 05:33:38.205,-34.24445867296876
2023/02/12 05:33:38.347,-28.132791932264162
2023/02/12 05:33:38.474,-53.269695516256874
2023/02/12 05:33:38.614,-29.743136255709608
2023/02/12 05:33:38.757,-29.492257184872074
2023/02/12 05:33:38.882,-17.713853105015826
2023/02/12 05:33:39.008,-62.723314840699985
2023/02/12 05:33:39.133,-62.394449932268884
2023/02/12 05:33:39.258,-62.35135308574784
2023/02/12 05:33:39.384,-36.49375764715643
2023/02/12 05:33:39.509,-28.817673036131556
2023/02/12 05:33:39.648,-25.134517993803946
2023/02/12 05:33:39.790,-29.440783643256925
2023/02/12 05:33:39.915,-53.39415442452679
2023/02/12 05:33:40.057,-22.862210070963517
2023/02/12 05:33:40.199,-23.91640511577977
2023/02/12 05:33:40.326,-32.712313588783076
2023/02/12 05:33:40.469,-37.8564958204397
2023/02/12 05:33:40.610,-41.52168309861578
2023/02/12 05:33:40.753,-29.840949493529763
2023/02/12 05:33:40.893,-41.425164260740964
2023/02/12 05:33:41.033,-36.217908694473905
2023/02/12 05:33:41.158,-56.032273588857436
2023/02/12 05:33:41.298,-55.743810646857874
2023/02/12 05:33:41.437,-61.9119701464347
2023/02/12 05:33:41.562,-58.18601944242659
2023/02/12 05:33:41.700,-61.61081534449285
2023/02/12 05:33:41.838,-29.81608719361033
2023/02/12 05:33:41.964,-16.326480752012007
2023/02/12 05:33:42.104,-25.335111137117234
2023/02/12 05:33:42.244,-31.16118837805693
2023/02/12 05:33:42.368,-62.50627761464615
2023/02/12 05:33:42.507,-57.725397215643916
2023/02/12 05:33:42.646,-57.4754956865486
2023/02/12 05:33:42.787,-63.04966413749186
2023/02/12 05:33:42.914,-61.33963213978498
2023/02/12 05:33:43.054,-63.68400975496779
2023/02/12 05:33:43.195,-64.31470512428162
2023/02/12 05:33:43.320,-62.16214573005951
2023/02/12 05:33:43.444,-57.97156545049636
2023/02/12 05:33:43.583,-59.044197527372674
2023/02/12 05:33:43.723,-62.312178677052316
2023/02/12 05:33:43.863,-62.81718379000508
2023/02/12 05:33:44.002,-56.197272508372805
2023/02/12 05:33:44.141,-62.73570340726846
2023/02/12 05:33:44.281,-62.67095052761118
2023/02/12 05:33:44.410,-62.56602044220607
2023/02/12 05:33:44.547,-62.65456475186752
2023/02/12 05:33:44.673,-61.632927408629754
2023/02/12 05:33:44.812,-62.25231406724767
2023/02/12 05:33:44.951,-61.62605814867929
2023/02/12 05:33:45.089,-62.34297129439754
2023/02/12 05:33:45.228,-62.869678043602065
2023/02/12 05:33:45.368,-59.36993568957231
2023/02/12 05:33:45.508,-38.76509662017381
2023/02/12 05:33:45.648,-15.804249970086277
2023/02/12 05:33:45.787,-42.1406683276626
2023/02/12 05:33:45.942,-38.07236205860481
2023/02/12 05:33:46.068,-41.64484944250092
2023/02/12 05:33:46.208,-58.85388220107798
2023/02/12 05:33:46.336,-58.30486476843896
2023/02/12 05:33:46.461,-58.039258858834444
2023/02/12 05:33:46.587,-64.32462691325837
2023/02/12 05:33:46.727,-64.56593687085062
2023/02/12 05:33:46.866,-61.400772778992945
