時刻,Microphone (Jabra Evolve2 30)
2023/02/12 05:34:59.527,-84
2023/02/12 05:34:59.674,-84
2023/02/12 05:34:59.799,-84
2023/02/12 05:34:59.926,-84
2023/02/12 05:35:00.066,-59.84316989986742
2023/02/12 05:35:00.207,-56.62256614531289
2023/02/12 05:35:00.333,-64.98179457373064
2023/02/12 05:35:00.459,-57.09591821302135
2023/02/12 05:35:00.584,-55.48613673831595
2023/02/12 05:35:00.726,-78.72085027601692
2023/02/12 05:35:00.865,-84
2023/02/12 05:35:01.007,-84
2023/02/12 05:35:01.133,-68.95115355134406
2023/02/12 05:35:01.258,-68.79510431434079
2023/02/12 05:35:01.383,-64.80716733065769
2023/02/12 05:35:01.522,-70.05305093607161
2023/02/12 05:35:01.675,-78.83036740424168
2023/02/12 05:35:01.813,-80.46150549434039
2023/02/12 05:35:01.938,-63.31454615312489
2023/02/12 05:35:02.063,-59.49091921322797
2023/02/12 05:35:02.203,-60.28885511193976
2023/02/12 05:35:02.329,-61.9209052476278
2023/02/12 05:35:02.454,-71.9155248892819
2023/02/12 05:35:02.593,-84
2023/02/12 05:35:02.732,-84
2023/02/12 05:35:02.858,-84
2023/02/12 05:35:02.998,-84
2023/02/12 05:35:03.140,-84
2023/02/12 05:35:03.280,-84
2023/02/12 05:35:03.421,-77.58387277356846
2023/02/12 05:35:03.546,-71.84741433610503
2023/02/12 05:35:03.685,-67.13046164385064
2023/02/12 05:35:03.824,-65.02067178840531
2023/02/12 05:35:03.964,-62.87371129069135
2023/02/12 05:35:04.103,-60.10062093307016
2023/02/12 05:35:04.228,-66.25414563491914
2023/02/12 05:35:04.371,-74.25974603706182
2023/02/12 05:35:04.511,-65.79955194666303
2023/02/12 05:35:04.638,-76.96250077924472
2023/02/12 05:35:04.777,-70.07243794166747
2023/02/12 05:35:04.917,-79.5156123521319
2023/02/12 05:35:05.056,-82.94287727783001
2023/02/12 05:35:05.181,-66.39248778885249
2023/02/12 05:35:05.320,-71.03838129140244
2023/02/12 05:35:05.462,-83.456356841522
2023/02/12 05:35:05.586,-84
2023/02/12 05:35:05.726,-84
2023/02/12 05:35:05.867,-84
2023/02/12 05:35:05.993,-55.12256391927679
2023/02/12 05:35:06.132,-59.60827376019517
2023/02/12 05:35:06.273,-56.42024354267785
2023/02/12 05:35:06.412,-74.33381732254331
2023/02/12 05:35:06.538,-70.58353913768032
2023/02/12 05:35:06.677,-61.41149454979529
2023/02/12 05:35:06.818,-59.63823671909226
2023/02/12 05:35:06.958,-70.14721848523833
2023/02/12 05:35:07.083,-61.210105140792585
2023/02/12 05:35:07.210,-70.51151932461967
2023/02/12 05:35:07.334,-72.73604341749699
2023/02/12 05:35:07.475,-70.62142481769591
2023/02/12 05:35:07.629,-65.41298121821073
2023/02/12 05:35:07.766,-84
2023/02/12 05:35:07.904,-78.30740310385832
2023/02/12 05:35:08.042,-77.23051533704906
2023/02/12 05:35:08.182,-84
2023/02/12 05:35:08.324,-84
2023/02/12 05:35:08.464,-84
2023/02/12 05:35:08.589,-55.34503776652723
2023/02/12 05:35:08.715,-53.213588114447255
2023/02/12 05:35:08.840,-62.32348707978879
2023/02/12 05:35:08.980,-49.41616021570166
2023/02/12 05:35:09.120,-53.390208055021766
2023/02/12 05:35:09.262,-68.02183874792847
2023/02/12 05:35:09.402,-74.23103941150023
2023/02/12 05:35:09.541,-72.50008231462856
2023/02/12 05:35:09.681,-69.1538839996283
2023/02/12 05:35:09.822,-65.84230055196421
2023/02/12 05:35:09.961,-73.70321795453962
2023/02/12 05:35:10.100,-71.1719918006681
2023/02/12 05:35:10.241,-82.72485510082468
2023/02/12 05:35:10.380,-65.24547186026999
2023/02/12 05:35:10.507,-79.05208683446423
2023/02/12 05:35:10.634,-70.82716430459145
2023/02/12 05:35:10.774,-72.51725187962612
2023/02/12 05:35:10.913,-63.50625241202896
2023/02/12 05:35:11.053,-84
2023/02/12 05:35:11.178,-84
2023/02/12 05:35:11.319,-60.41813839273339
2023/02/12 05:35:11.472,-54.448499754546226
2023/02/12 05:35:11.612,-62.215822346013034
2023/02/12 05:35:11.737,-57.63324153501843
2023/02/12 05:35:11.863,-59.989386924454436
2023/02/12 05:35:12.003,-65.39815571967578
2023/02/12 05:35:12.129,-84
2023/02/12 05:35:12.268,-71.46044138696712
2023/02/12 05:35:12.395,-71.83752433834778
2023/02/12 05:35:12.519,-75.22723725155186
