時刻,Microphone (Jabra Evolve2 30)
2023/02/12 05:36:52.544,-84
2023/02/12 05:36:52.671,-84
2023/02/12 05:36:52.797,-83.63873120602656
2023/02/12 05:36:52.938,-73.17812802053479
2023/02/12 05:36:53.078,-70.7587532186751
2023/02/12 05:36:53.205,-71.9956153803478
2023/02/12 05:36:53.345,-84
2023/02/12 05:36:53.484,-78.1535735849941
2023/02/12 05:36:53.623,-77.95678902826036
2023/02/12 05:36:53.763,-84
2023/02/12 05:36:53.905,-84
2023/02/12 05:36:54.045,-82.90322220478626
2023/02/12 05:36:54.184,-82.04358841968937
2023/02/12 05:36:54.324,-81.45256815069858
2023/02/12 05:36:54.461,-80.15780679315056
2023/02/12 05:36:54.587,-84
2023/02/12 05:36:54.727,-84
2023/02/12 05:36:54.853,-72.7081172646678
2023/02/12 05:36:54.993,-69.44580696630466
2023/02/12 05:36:55.133,-81.56410432893492
2023/02/12 05:36:55.259,-83.56884113558408
2023/02/12 05:36:55.384,-79.40416903644582
2023/02/12 05:36:55.524,-83.92270160557513
2023/02/12 05:36:55.664,-84
2023/02/12 05:36:55.803,-84
2023/02/12 05:36:55.928,-81.9783991218459
2023/02/12 05:36:56.054,-84
2023/02/12 05:36:56.195,-84
2023/02/12 05:36:56.321,-84
2023/02/12 05:36:56.446,-84
2023/02/12 05:36:56.585,-81.4299563033714
2023/02/12 05:36:56.725,-82.56186212879007
2023/02/12 05:36:56.880,-76.93287792420259
2023/02/12 05:36:57.006,-83.56427181102723
2023/02/12 05:36:57.146,-80.80399423919062
2023/02/12 05:36:57.286,-83.22574935799479
2023/02/12 05:36:57.412,-84
2023/02/12 05:36:57.538,-80.89699361943775
2023/02/12 05:36:57.664,-84
2023/02/12 05:36:57.792,-84
2023/02/12 05:36:57.919,-80.64263449418577
2023/02/12 05:36:58.044,-84
2023/02/12 05:36:58.169,-84
2023/02/12 05:36:58.294,-83.0284230147903
2023/02/12 05:36:58.434,-84
2023/02/12 05:36:58.574,-80.53818298612222
2023/02/12 05:36:58.715,-84
2023/02/12 05:36:58.853,-84
2023/02/12 05:36:58.993,-84
2023/02/12 05:36:59.136,-70.09803244780365
2023/02/12 05:36:59.262,-82.59377655809459
2023/02/12 05:36:59.401,-84
2023/02/12 05:36:59.527,-84
2023/02/12 05:36:59.652,-84
2023/02/12 05:36:59.779,-84
2023/02/12 05:36:59.916,-84
2023/02/12 05:37:00.055,-83.58946714576419
2023/02/12 05:37:00.195,-84
2023/02/12 05:37:00.336,-81.74985177021301
2023/02/12 05:37:00.462,-84
2023/02/12 05:37:00.587,-78.98350881519863
2023/02/12 05:37:00.713,-77.47249871540131
2023/02/12 05:37:00.838,-84
2023/02/12 05:37:00.978,-84
2023/02/12 05:37:01.118,-84
2023/02/12 05:37:01.244,-84
2023/02/12 05:37:01.386,-84
2023/02/12 05:37:01.512,-84
2023/02/12 05:37:01.638,-84
2023/02/12 05:37:01.778,-83.85880758410798
2023/02/12 05:37:01.905,-69.20046670258252
2023/02/12 05:37:02.045,-74.56476342591061
2023/02/12 05:37:02.172,-68.5174344238126
2023/02/12 05:37:02.311,-83.22651670650455
2023/02/12 05:37:02.451,-84
2023/02/12 05:37:02.591,-83.71158582434538
2023/02/12 05:37:02.716,-81.15532365035271
2023/02/12 05:37:02.856,-84
2023/02/12 05:37:02.996,-79.35106550218117
2023/02/12 05:37:03.135,-76.62839322177489
2023/02/12 05:37:03.273,-83.13003355688653
2023/02/12 05:37:03.399,-84
2023/02/12 05:37:03.526,-84
2023/02/12 05:37:03.651,-84
2023/02/12 05:37:03.779,-84
2023/02/12 05:37:03.904,-81.15315556009253
2023/02/12 05:37:04.042,-82.61144383142272
2023/02/12 05:37:04.167,-84
2023/02/12 05:37:04.294,-84
2023/02/12 05:37:04.434,-74.80030919048123
2023/02/12 05:37:04.573,-75.72353137286304
2023/02/12 05:37:04.712,-82.78469182666036
2023/02/12 05:37:04.851,-77.3894667710544
2023/02/12 05:37:04.992,-77.69194995372342
2023/02/12 05:37:05.117,-82.37640661620176
2023/02/12 05:37:05.258,-84
2023/02/12 05:37:05.413,-84
2023/02/12 05:37:05.553,-84
