時刻,Microphone (Jabra Evolve2 30)
2023/02/12 05:37:30.157,-84
2023/02/12 05:37:30.289,-77.36318789272369
2023/02/12 05:37:30.415,-57.351208802558446
2023/02/12 05:37:30.555,-57.085798649745996
2023/02/12 05:37:30.697,-66.02191679394559
2023/02/12 05:37:30.822,-67.75779649161292
2023/02/12 05:37:30.964,-69.29732393966458
2023/02/12 05:37:31.102,-77.57357407814942
2023/02/12 05:37:31.242,-74.14203197455693
2023/02/12 05:37:31.382,-84
2023/02/12 05:37:31.508,-84
2023/02/12 05:37:31.662,-84
2023/02/12 05:37:31.789,-84
2023/02/12 05:37:31.915,-84
2023/02/12 05:37:32.055,-84
2023/02/12 05:37:32.195,-84
2023/02/12 05:37:32.334,-84
2023/02/12 05:37:32.460,-84
2023/02/12 05:37:32.600,-80.27107934964489
2023/02/12 05:37:32.739,-78.54806837061966
2023/02/12 05:37:32.878,-82.00832294990138
2023/02/12 05:37:33.018,-84
2023/02/12 05:37:33.158,-66.32256617361095
2023/02/12 05:37:33.300,-68.84116518592351
2023/02/12 05:37:33.426,-84
2023/02/12 05:37:33.567,-84
2023/02/12 05:37:33.693,-84
2023/02/12 05:37:33.819,-83.915549628622
2023/02/12 05:37:33.958,-76.72483443961389
2023/02/12 05:37:34.097,-83.80409164209473
2023/02/12 05:37:34.236,-77.18971535067253
2023/02/12 05:37:34.363,-83.57284871642548
2023/02/12 05:37:34.504,-84
2023/02/12 05:37:34.643,-84
2023/02/12 05:37:34.770,-84
2023/02/12 05:37:34.897,-84
2023/02/12 05:37:35.039,-84
2023/02/12 05:37:35.166,-84
2023/02/12 05:37:35.293,-84
2023/02/12 05:37:35.420,-83.51397595846363
2023/02/12 05:37:35.546,-84
2023/02/12 05:37:35.674,-84
2023/02/12 05:37:35.800,-84
2023/02/12 05:37:35.927,-84
2023/02/12 05:37:36.054,-84
2023/02/12 05:37:36.195,-84
2023/02/12 05:37:36.337,-84
2023/02/12 05:37:36.462,-84
2023/02/12 05:37:36.603,-84
2023/02/12 05:37:36.745,-76.01387702183662
2023/02/12 05:37:36.888,-81.41815681561333
2023/02/12 05:37:37.014,-84
2023/02/12 05:37:37.141,-84
2023/02/12 05:37:37.269,-84
2023/02/12 05:37:37.396,-83.33002460759832
2023/02/12 05:37:37.521,-78.5122714097153
2023/02/12 05:37:37.649,-80.14463876731071
2023/02/12 05:37:37.790,-82.61197642694714
2023/02/12 05:37:37.930,-84
2023/02/12 05:37:38.057,-84
2023/02/12 05:37:38.199,-84
2023/02/12 05:37:38.340,-84
2023/02/12 05:37:38.466,-84
2023/02/12 05:37:38.593,-84
2023/02/12 05:37:38.719,-84
2023/02/12 05:37:38.859,-84
2023/02/12 05:37:39.000,-84
2023/02/12 05:37:39.126,-84
2023/02/12 05:37:39.268,-84
2023/02/12 05:37:39.394,-76.26281927834674
2023/02/12 05:37:39.519,-75.2276524373062
2023/02/12 05:37:39.659,-83.55339736522588
2023/02/12 05:37:39.798,-84
2023/02/12 05:37:39.924,-84
2023/02/12 05:37:40.065,-84
2023/02/12 05:37:40.205,-84
2023/02/12 05:37:40.344,-84
2023/02/12 05:37:40.484,-84
2023/02/12 05:37:40.610,-84
2023/02/12 05:37:40.749,-84
2023/02/12 05:37:40.889,-84
2023/02/12 05:37:41.015,-84
2023/02/12 05:37:41.156,-84
2023/02/12 05:37:41.297,-84
2023/02/12 05:37:41.422,-84
2023/02/12 05:37:41.562,-84
2023/02/12 05:37:41.700,-84
2023/02/12 05:37:41.842,-84
2023/02/12 05:37:41.982,-78.4128327427745
2023/02/12 05:37:42.107,-75.38230023907487
2023/02/12 05:37:42.245,-80.97497885532788
2023/02/12 05:37:42.371,-83.21087528807068
2023/02/12 05:37:42.511,-82.08664615936478
2023/02/12 05:37:42.648,-84
2023/02/12 05:37:42.801,-84
2023/02/12 05:37:42.927,-84
2023/02/12 05:37:43.067,-72.39722259960416
2023/02/12 05:37:43.207,-74.23946411399851
