時刻,マイク (Anker Soundsync)
2023/02/12 05:39:58.527,-84
2023/02/12 05:39:58.662,-84
2023/02/12 05:39:58.803,-84
2023/02/12 05:39:58.942,-84
2023/02/12 05:39:59.082,-84
2023/02/12 05:39:59.208,-74.31173412360651
2023/02/12 05:39:59.334,-70.00155584134609
2023/02/12 05:39:59.473,-84
2023/02/12 05:39:59.613,-66.09925985806173
2023/02/12 05:39:59.754,-79.49395126546617
2023/02/12 05:39:59.894,-84
2023/02/12 05:40:00.034,-76.21961092764627
2023/02/12 05:40:00.175,-70.52373762363796
2023/02/12 05:40:00.299,-72.43258025695975
2023/02/12 05:40:00.424,-84
2023/02/12 05:40:00.565,-84
2023/02/12 05:40:00.706,-84
2023/02/12 05:40:00.831,-84
2023/02/12 05:40:00.971,-77.41308133504997
2023/02/12 05:40:01.099,-64.78577202079808
2023/02/12 05:40:01.225,-59.60356799080773
2023/02/12 05:40:01.366,-72.9032637449327
2023/02/12 05:40:01.507,-74.2751856765843
2023/02/12 05:40:01.632,-84
2023/02/12 05:40:01.771,-84
2023/02/12 05:40:01.897,-84
2023/02/12 05:40:02.022,-84
2023/02/12 05:40:02.148,-84
2023/02/12 05:40:02.287,-84
2023/02/12 05:40:02.411,-84
2023/02/12 05:40:02.553,-84
2023/02/12 05:40:02.678,-84
2023/02/12 05:40:02.817,-60.09655249932549
2023/02/12 05:40:02.958,-69.1829694054428
2023/02/12 05:40:03.083,-70.50693609455755
2023/02/12 05:40:03.225,-70.82216610820694
2023/02/12 05:40:03.351,-67.34867278708191
2023/02/12 05:40:03.477,-83.02056353640387
2023/02/12 05:40:03.632,-84
2023/02/12 05:40:03.772,-81.86634421756563
2023/02/12 05:40:03.912,-76.27674496390662
2023/02/12 05:40:04.049,-70.88324783743063
2023/02/12 05:40:04.188,-84
2023/02/12 05:40:04.314,-67.5970216939845
2023/02/12 05:40:04.457,-73.27726483722827
2023/02/12 05:40:04.595,-84
2023/02/12 05:40:04.735,-84
2023/02/12 05:40:04.861,-84
2023/02/12 05:40:05.002,-84
2023/02/12 05:40:05.140,-84
2023/02/12 05:40:05.280,-75.25875489016074
2023/02/12 05:40:05.419,-68.58777185464956
2023/02/12 05:40:05.560,-67.11125071272879
2023/02/12 05:40:05.685,-83.4537448857349
2023/02/12 05:40:05.812,-67.759148907886
2023/02/12 05:40:05.951,-63.31484448637505
2023/02/12 05:40:06.077,-80.35535733892667
2023/02/12 05:40:06.216,-71.40133737956624
2023/02/12 05:40:06.356,-67.10184550403098
2023/02/12 05:40:06.496,-81.79320848873249
2023/02/12 05:40:06.635,-75.06763824196243
2023/02/12 05:40:06.774,-84
2023/02/12 05:40:06.917,-84
2023/02/12 05:40:07.057,-76.03149632917096
2023/02/12 05:40:07.196,-78.04837679193282
2023/02/12 05:40:07.321,-84
2023/02/12 05:40:07.477,-84
2023/02/12 05:40:07.602,-84
2023/02/12 05:40:07.758,-84
2023/02/12 05:40:07.883,-67.31666951934294
2023/02/12 05:40:08.023,-46.16584294144985
2023/02/12 05:40:08.160,-46.44580691469103
2023/02/12 05:40:08.298,-63.22035654163503
2023/02/12 05:40:08.424,-63.249485719405556
2023/02/12 05:40:08.550,-63.6299687173123
2023/02/12 05:40:08.674,-77.40973206605979
2023/02/12 05:40:08.812,-84
2023/02/12 05:40:08.951,-84
2023/02/12 05:40:09.077,-84
2023/02/12 05:40:09.216,-84
2023/02/12 05:40:09.358,-81.41660498244504
2023/02/12 05:40:09.497,-84
2023/02/12 05:40:09.636,-84
2023/02/12 05:40:09.763,-84
2023/02/12 05:40:09.904,-79.60414553560075
2023/02/12 05:40:10.043,-81.55984692378696
2023/02/12 05:40:10.183,-84
2023/02/12 05:40:10.309,-84
2023/02/12 05:40:10.435,-84
2023/02/12 05:40:10.574,-73.34441870492249
2023/02/12 05:40:10.714,-69.55024440606007
2023/02/12 05:40:10.854,-77.49681346301684
2023/02/12 05:40:10.979,-70.58403328712896
2023/02/12 05:40:11.120,-77.09492997167133
2023/02/12 05:40:11.260,-84
2023/02/12 05:40:11.385,-84
2023/02/12 05:40:11.525,-84
