時刻,マイク (Anker Soundsync)
2023/02/12 05:40:32.628,-84
2023/02/12 05:40:32.768,-84
2023/02/12 05:40:32.906,-84
2023/02/12 05:40:33.031,-84
2023/02/12 05:40:33.171,-84
2023/02/12 05:40:33.297,-68.61460036286492
2023/02/12 05:40:33.436,-67.27150337928234
2023/02/12 05:40:33.575,-83.46548080078811
2023/02/12 05:40:33.713,-61.806923388422476
2023/02/12 05:40:33.839,-65.52280106378541
2023/02/12 05:40:33.964,-84
2023/02/12 05:40:34.103,-84
2023/02/12 05:40:34.229,-55.902729049729814
2023/02/12 05:40:34.369,-66.01730440846903
2023/02/12 05:40:34.510,-84
2023/02/12 05:40:34.650,-84
2023/02/12 05:40:34.789,-84
2023/02/12 05:40:34.917,-84
2023/02/12 05:40:35.057,-84
2023/02/12 05:40:35.194,-47.56870554873622
2023/02/12 05:40:35.320,-44.98781805900241
2023/02/12 05:40:35.460,-67.37071592841075
2023/02/12 05:40:35.585,-70.599516881146
2023/02/12 05:40:35.725,-84
2023/02/12 05:40:35.850,-84
2023/02/12 05:40:35.977,-84
2023/02/12 05:40:36.117,-84
2023/02/12 05:40:36.255,-84
2023/02/12 05:40:36.396,-84
2023/02/12 05:40:36.538,-84
2023/02/12 05:40:36.677,-84
2023/02/12 05:40:36.816,-63.077300958618224
2023/02/12 05:40:36.957,-74.97530254816921
2023/02/12 05:40:37.083,-74.57405732493203
2023/02/12 05:40:37.223,-82.89832792945415
2023/02/12 05:40:37.363,-71.19705109614237
2023/02/12 05:40:37.489,-76.23721080197589
2023/02/12 05:40:37.628,-84
2023/02/12 05:40:37.768,-79.60755705200673
2023/02/12 05:40:37.894,-71.60087600929808
2023/02/12 05:40:38.019,-71.47162640971169
2023/02/12 05:40:38.159,-84
2023/02/12 05:40:38.283,-66.53107638452394
2023/02/12 05:40:38.424,-78.15072675350122
2023/02/12 05:40:38.550,-84
2023/02/12 05:40:38.687,-84
2023/02/12 05:40:38.829,-84
2023/02/12 05:40:38.968,-84
2023/02/12 05:40:39.104,-84
2023/02/12 05:40:39.245,-60.55907291124016
2023/02/12 05:40:39.386,-69.45648930721693
2023/02/12 05:40:39.525,-70.12249282425452
2023/02/12 05:40:39.666,-77.86897029373934
2023/02/12 05:40:39.792,-74.14956810677053
2023/02/12 05:40:39.933,-72.38592083577143
2023/02/12 05:40:40.074,-84
2023/02/12 05:40:40.214,-82.63123231209546
2023/02/12 05:40:40.342,-76.84060770116079
2023/02/12 05:40:40.484,-69.36334278208464
2023/02/12 05:40:40.626,-80.11404517697622
2023/02/12 05:40:40.764,-84
2023/02/12 05:40:40.892,-84
2023/02/12 05:40:41.031,-83.22666903015576
2023/02/12 05:40:41.158,-71.82625542245268
2023/02/12 05:40:41.296,-84
2023/02/12 05:40:41.436,-84
2023/02/12 05:40:41.576,-84
2023/02/12 05:40:41.713,-84
2023/02/12 05:40:41.838,-70.47739219569527
2023/02/12 05:40:41.978,-63.89295121319036
2023/02/12 05:40:42.119,-79.26161065455508
2023/02/12 05:40:42.258,-82.05509006122483
2023/02/12 05:40:42.399,-84
2023/02/12 05:40:42.525,-84
2023/02/12 05:40:42.666,-84
2023/02/12 05:40:42.804,-84
2023/02/12 05:40:42.944,-84
2023/02/12 05:40:43.085,-84
2023/02/12 05:40:43.225,-76.94927753968834
2023/02/12 05:40:43.365,-84
2023/02/12 05:40:43.506,-81.34205388934885
2023/02/12 05:40:43.645,-84
2023/02/12 05:40:43.786,-78.38058710778354
2023/02/12 05:40:43.926,-84
2023/02/12 05:40:44.067,-84
2023/02/12 05:40:44.206,-84
2023/02/12 05:40:44.331,-84
2023/02/12 05:40:44.471,-84
2023/02/12 05:40:44.611,-78.72948676187045
2023/02/12 05:40:44.736,-72.80412413434628
2023/02/12 05:40:44.862,-68.72923323253504
2023/02/12 05:40:44.987,-71.94921960369464
2023/02/12 05:40:45.112,-84
2023/02/12 05:40:45.237,-84
2023/02/12 05:40:45.376,-84
2023/02/12 05:40:45.515,-84
