時刻,マイク (Anker Soundsync)
2023/02/12 05:41:07.303,-84
2023/02/12 05:41:07.440,-84
2023/02/12 05:41:07.566,-84
2023/02/12 05:41:07.705,-84
2023/02/12 05:41:07.845,-84
2023/02/12 05:41:07.971,-73.30138700965529
2023/02/12 05:41:08.111,-72.79037175117593
2023/02/12 05:41:08.252,-84
2023/02/12 05:41:08.391,-73.29921276556294
2023/02/12 05:41:08.516,-73.69891977442164
2023/02/12 05:41:08.654,-84
2023/02/12 05:41:08.795,-84
2023/02/12 05:41:08.936,-63.53724150013608
2023/02/12 05:41:09.062,-72.86342297427083
2023/02/12 05:41:09.201,-74.48550811145556
2023/02/12 05:41:09.342,-84
2023/02/12 05:41:09.482,-84
2023/02/12 05:41:09.620,-83.46991963797714
2023/02/12 05:41:09.774,-79.84085056489958
2023/02/12 05:41:09.915,-74.33070235036189
2023/02/12 05:41:10.041,-77.54964812292525
2023/02/12 05:41:10.181,-84
2023/02/12 05:41:10.306,-84
2023/02/12 05:41:10.447,-84
2023/02/12 05:41:10.589,-84
2023/02/12 05:41:10.742,-84
2023/02/12 05:41:10.880,-84
2023/02/12 05:41:11.005,-84
2023/02/12 05:41:11.146,-84
2023/02/12 05:41:11.283,-84
2023/02/12 05:41:11.408,-84
2023/02/12 05:41:11.535,-84
2023/02/12 05:41:11.675,-70.19042493566695
2023/02/12 05:41:11.815,-78.9662605865023
2023/02/12 05:41:11.956,-80.83587812108489
2023/02/12 05:41:12.097,-84
2023/02/12 05:41:12.237,-84
2023/02/12 05:41:12.363,-84
2023/02/12 05:41:12.503,-72.78354980191952
2023/02/12 05:41:12.643,-84
2023/02/12 05:41:12.782,-83.35243195025951
2023/02/12 05:41:12.924,-84
2023/02/12 05:41:13.063,-84
2023/02/12 05:41:13.204,-84
2023/02/12 05:41:13.341,-84
2023/02/12 05:41:13.466,-84
2023/02/12 05:41:13.608,-84
2023/02/12 05:41:13.747,-84
2023/02/12 05:41:13.886,-60.14020126814465
2023/02/12 05:41:14.013,-78.60379229412543
2023/02/12 05:41:14.152,-80.9780211720566
2023/02/12 05:41:14.294,-78.63042887334474
2023/02/12 05:41:14.436,-65.64174953047194
2023/02/12 05:41:14.562,-71.96115987875072
2023/02/12 05:41:14.701,-83.84620209314251
2023/02/12 05:41:14.844,-72.46771078665093
2023/02/12 05:41:14.982,-76.7450818950191
2023/02/12 05:41:15.108,-84
2023/02/12 05:41:15.247,-77.79305057150316
2023/02/12 05:41:15.387,-82.99440957169404
2023/02/12 05:41:15.528,-84
2023/02/12 05:41:15.653,-84
2023/02/12 05:41:15.795,-84
2023/02/12 05:41:15.935,-84
2023/02/12 05:41:16.060,-84
2023/02/12 05:41:16.199,-84
2023/02/12 05:41:16.324,-84
2023/02/12 05:41:16.464,-84
2023/02/12 05:41:16.603,-72.58072265104988
2023/02/12 05:41:16.744,-47.30134581490988
2023/02/12 05:41:16.900,-55.24462615887651
2023/02/12 05:41:17.041,-55.68760649405867
2023/02/12 05:41:17.168,-70.86832483642323
2023/02/12 05:41:17.307,-79.05824979608232
2023/02/12 05:41:17.448,-84
2023/02/12 05:41:17.587,-84
2023/02/12 05:41:17.727,-84
2023/02/12 05:41:17.852,-84
2023/02/12 05:41:17.978,-84
2023/02/12 05:41:18.116,-84
2023/02/12 05:41:18.257,-84
2023/02/12 05:41:18.395,-77.22468977695641
2023/02/12 05:41:18.536,-84
2023/02/12 05:41:18.675,-77.664715488597
2023/02/12 05:41:18.815,-84
2023/02/12 05:41:18.956,-84
2023/02/12 05:41:19.098,-84
2023/02/12 05:41:19.224,-84
2023/02/12 05:41:19.349,-70.49105099460567
2023/02/12 05:41:19.475,-72.13674422206118
2023/02/12 05:41:19.615,-83.4614365080209
2023/02/12 05:41:19.754,-71.69829948563144
2023/02/12 05:41:19.894,-82.27430968266276
2023/02/12 05:41:20.020,-84
2023/02/12 05:41:20.145,-84
2023/02/12 05:41:20.270,-84
