時刻,マイク (Anker Soundsync)
2023/02/12 05:42:43.484,-84
2023/02/12 05:42:43.619,-84
2023/02/12 05:42:43.744,-84
2023/02/12 05:42:43.884,-84
2023/02/12 05:42:44.025,-84
2023/02/12 05:42:44.164,-84
2023/02/12 05:42:44.291,-84
2023/02/12 05:42:44.416,-84
2023/02/12 05:42:44.554,-83.3802721687144
2023/02/12 05:42:44.680,-83.60637349899227
2023/02/12 05:42:44.805,-84
2023/02/12 05:42:44.946,-84
2023/02/12 05:42:45.072,-84
2023/02/12 05:42:45.198,-71.06125968547795
2023/02/12 05:42:45.339,-74.50428260151637
2023/02/12 05:42:45.493,-84
2023/02/12 05:42:45.619,-84
2023/02/12 05:42:45.773,-84
2023/02/12 05:42:45.914,-84
2023/02/12 05:42:46.040,-84
2023/02/12 05:42:46.180,-82.39612850163182
2023/02/12 05:42:46.318,-78.79910112542262
2023/02/12 05:42:46.458,-84
2023/02/12 05:42:46.583,-84
2023/02/12 05:42:46.723,-84
2023/02/12 05:42:46.863,-84
2023/02/12 05:42:47.003,-84
2023/02/12 05:42:47.142,-84
2023/02/12 05:42:47.267,-84
2023/02/12 05:42:47.391,-84
2023/02/12 05:42:47.531,-84
2023/02/12 05:42:47.671,-76.39137494311953
2023/02/12 05:42:47.812,-76.06865195890434
2023/02/12 05:42:47.936,-83.72843707449469
2023/02/12 05:42:48.076,-75.17468147798971
2023/02/12 05:42:48.214,-73.84533838356244
2023/02/12 05:42:48.338,-81.15340080514099
2023/02/12 05:42:48.493,-84
2023/02/12 05:42:48.618,-84
2023/02/12 05:42:48.743,-84
2023/02/12 05:42:48.883,-84
2023/02/12 05:42:49.022,-84
2023/02/12 05:42:49.160,-77.98223756457435
2023/02/12 05:42:49.299,-78.29840320327507
2023/02/12 05:42:49.440,-84
2023/02/12 05:42:49.580,-84
2023/02/12 05:42:49.720,-84
2023/02/12 05:42:49.860,-84
2023/02/12 05:42:50.001,-73.73172330416052
2023/02/12 05:42:50.128,-71.74971051710263
2023/02/12 05:42:50.269,-74.87872812721136
2023/02/12 05:42:50.409,-75.11822717992968
2023/02/12 05:42:50.549,-84
2023/02/12 05:42:50.676,-84
2023/02/12 05:42:50.818,-74.44231636790485
2023/02/12 05:42:50.956,-75.09854681290241
2023/02/12 05:42:51.082,-84
2023/02/12 05:42:51.226,-84
2023/02/12 05:42:51.366,-84
2023/02/12 05:42:51.491,-84
2023/02/12 05:42:51.619,-84
2023/02/12 05:42:51.744,-84
2023/02/12 05:42:51.870,-84
2023/02/12 05:42:52.014,-84
2023/02/12 05:42:52.155,-84
2023/02/12 05:42:52.281,-84
2023/02/12 05:42:52.407,-84
2023/02/12 05:42:52.534,-84
2023/02/12 05:42:52.675,-84
2023/02/12 05:42:52.801,-70.47771086552837
2023/02/12 05:42:52.940,-80.47361012748013
2023/02/12 05:42:53.079,-74.60021594993128
2023/02/12 05:42:53.219,-77.25196616861147
2023/02/12 05:42:53.357,-84
2023/02/12 05:42:53.484,-84
2023/02/12 05:42:53.625,-84
2023/02/12 05:42:53.768,-84
2023/02/12 05:42:53.893,-84
2023/02/12 05:42:54.020,-84
2023/02/12 05:42:54.159,-84
2023/02/12 05:42:54.286,-84
2023/02/12 05:42:54.427,-84
2023/02/12 05:42:54.553,-84
2023/02/12 05:42:54.692,-84
2023/02/12 05:42:54.833,-84
2023/02/12 05:42:54.960,-82.95281964330997
2023/02/12 05:42:55.089,-84
2023/02/12 05:42:55.229,-84
2023/02/12 05:42:55.368,-74.99526061731541
2023/02/12 05:42:55.495,-79.82334360490576
2023/02/12 05:42:55.637,-84
2023/02/12 05:42:55.774,-84
2023/02/12 05:42:55.915,-84
2023/02/12 05:42:56.041,-84
2023/02/12 05:42:56.180,-84
2023/02/12 05:42:56.320,-84
2023/02/12 05:42:56.459,-84
