時刻,マイク (Anker Soundsync)
2023/02/12 05:43:28.778,-84
2023/02/12 05:43:28.918,-84
2023/02/12 05:43:29.072,-84
2023/02/12 05:43:29.212,-84
2023/02/12 05:43:29.339,-84
2023/02/12 05:43:29.464,-77.92265438414532
2023/02/12 05:43:29.589,-79.62378802142877
2023/02/12 05:43:29.728,-79.37546003122553
2023/02/12 05:43:29.866,-42.112041739549895
2023/02/12 05:43:30.005,-22.65789583052576
2023/02/12 05:43:30.131,-18.824888199148003
2023/02/12 05:43:30.268,-18.290713257467257
2023/02/12 05:43:30.409,-33.22914228413844
2023/02/12 05:43:30.549,-24.762404254721595
2023/02/12 05:43:30.688,-25.83267281102004
2023/02/12 05:43:30.828,-40.02973495386718
2023/02/12 05:43:30.966,-42.40301501702291
2023/02/12 05:43:31.105,-23.2081354307582
2023/02/12 05:43:31.230,-36.22523472809269
2023/02/12 05:43:31.369,-61.853538884373485
2023/02/12 05:43:31.509,-70.99436189517037
2023/02/12 05:43:31.634,-20.523456694069143
2023/02/12 05:43:31.771,-43.41755712518271
2023/02/12 05:43:31.898,-27.12686576946687
2023/02/12 05:43:32.039,-20.089363431302036
2023/02/12 05:43:32.181,-25.994603317272606
2023/02/12 05:43:32.321,-42.62413318836424
2023/02/12 05:43:32.462,-25.61918331947373
2023/02/12 05:43:32.602,-36.32390522839287
2023/02/12 05:43:32.742,-84
2023/02/12 05:43:32.884,-81.77705057765222
2023/02/12 05:43:33.023,-84
2023/02/12 05:43:33.162,-40.8744651434175
2023/02/12 05:43:33.303,-29.091267844280022
2023/02/12 05:43:33.429,-22.843302729238705
2023/02/12 05:43:33.569,-23.886139563407042
2023/02/12 05:43:33.710,-60.98168773021311
2023/02/12 05:43:33.850,-19.57864347031686
2023/02/12 05:43:33.990,-43.95548420641943
2023/02/12 05:43:34.129,-71.01007898923861
2023/02/12 05:43:34.255,-81.34384867825334
2023/02/12 05:43:34.382,-84
2023/02/12 05:43:34.521,-18.87243274470496
2023/02/12 05:43:34.646,-17.172988465996756
2023/02/12 05:43:34.772,-22.386262512259428
2023/02/12 05:43:34.897,-32.21072855897447
2023/02/12 05:43:35.023,-31.22871755666592
2023/02/12 05:43:35.150,-22.714668157328816
2023/02/12 05:43:35.291,-25.11452975967327
2023/02/12 05:43:35.417,-43.52077448183711
2023/02/12 05:43:35.558,-27.81281884158464
2023/02/12 05:43:35.698,-43.18579106179573
2023/02/12 05:43:35.823,-31.213325165439592
2023/02/12 05:43:35.950,-47.435912122678346
2023/02/12 05:43:36.090,-57.19079457581935
2023/02/12 05:43:36.216,-76.6525903273961
2023/02/12 05:43:36.357,-70.55194635051322
2023/02/12 05:43:36.496,-27.51496109565489
2023/02/12 05:43:36.634,-18.113366349865043
2023/02/12 05:43:36.774,-19.849045669754943
2023/02/12 05:43:36.900,-30.105853004910415
2023/02/12 05:43:37.040,-64.4543009844918
2023/02/12 05:43:37.179,-67.04328957654037
2023/02/12 05:43:37.319,-67.33306908635376
2023/02/12 05:43:37.461,-82.343887408664
2023/02/12 05:43:37.586,-84
2023/02/12 05:43:37.726,-78.538024516621
2023/02/12 05:43:37.850,-84
2023/02/12 05:43:37.989,-55.75863701776409
2023/02/12 05:43:38.127,-43.61018020111217
2023/02/12 05:43:38.265,-55.9294483898921
2023/02/12 05:43:38.405,-65.37872459646768
2023/02/12 05:43:38.532,-68.58129375078633
2023/02/12 05:43:38.657,-64.7747094492376
2023/02/12 05:43:38.797,-75.16628537681912
2023/02/12 05:43:38.939,-84
2023/02/12 05:43:39.063,-84
2023/02/12 05:43:39.189,-84
2023/02/12 05:43:39.314,-77.25818363510287
2023/02/12 05:43:39.438,-84
2023/02/12 05:43:39.577,-84
2023/02/12 05:43:39.717,-72.9920686904345
2023/02/12 05:43:39.858,-84
2023/02/12 05:43:39.999,-81.8741523618322
2023/02/12 05:43:40.139,-80.15090689624336
2023/02/12 05:43:40.281,-29.20478302667692
2023/02/12 05:43:40.421,-16.028009066868517
2023/02/12 05:43:40.560,-37.03000360859893
2023/02/12 05:43:40.686,-32.199864543585676
2023/02/12 05:43:40.826,-48.729702625792896
2023/02/12 05:43:40.967,-69.1046175955011
2023/02/12 05:43:41.106,-84
2023/02/12 05:43:41.232,-84
2023/02/12 05:43:41.373,-84
2023/02/12 05:43:41.512,-84
2023/02/12 05:43:41.637,-84
2023/02/12 05:43:41.776,-82.44799046962682
