時刻,ヘッドセット (Soundcore Liberty Air 2 Pro Hands-Free AG Audio)
2023/02/12 05:49:23.838,-84
2023/02/12 05:49:23.975,-84
2023/02/12 05:49:24.107,-84
2023/02/12 05:49:24.233,-84
2023/02/12 05:49:24.359,-74.82795027678182
2023/02/12 05:49:24.497,-74.03282774157435
2023/02/12 05:49:24.623,-80.47713251177942
2023/02/12 05:49:24.763,-75.62935864727552
2023/02/12 05:49:24.891,-77.56088767546896
2023/02/12 05:49:25.032,-84
2023/02/12 05:49:25.158,-84
2023/02/12 05:49:25.294,-84
2023/02/12 05:49:25.420,-77.6546125521977
2023/02/12 05:49:25.549,-80.14961201888065
2023/02/12 05:49:25.688,-81.92628442645744
2023/02/12 05:49:25.826,-84
2023/02/12 05:49:25.953,-84
2023/02/12 05:49:26.081,-84
2023/02/12 05:49:26.217,-81.87927493954598
2023/02/12 05:49:26.357,-77.123945290705
2023/02/12 05:49:26.483,-55.962525906688214
2023/02/12 05:49:26.611,-73.22073192774762
2023/02/12 05:49:26.748,-79.81275060432415
2023/02/12 05:49:26.880,-84
2023/02/12 05:49:27.015,-84
2023/02/12 05:49:27.145,-84
2023/02/12 05:49:27.280,-84
2023/02/12 05:49:27.413,-84
2023/02/12 05:49:27.550,-84
2023/02/12 05:49:27.685,-84
2023/02/12 05:49:27.816,-84
2023/02/12 05:49:27.956,-80.34545068683627
2023/02/12 05:49:28.092,-77.92154526790686
2023/02/12 05:49:28.218,-76.85422066216678
2023/02/12 05:49:28.344,-83.67040519405698
2023/02/12 05:49:28.482,-77.8263870254136
2023/02/12 05:49:28.611,-81.91966160931864
2023/02/12 05:49:28.748,-84
2023/02/12 05:49:28.874,-82.51298263940676
2023/02/12 05:49:29.009,-84
2023/02/12 05:49:29.144,-84
2023/02/12 05:49:29.284,-78.25040572391374
2023/02/12 05:49:29.412,-84
2023/02/12 05:49:29.551,-78.53813257901189
2023/02/12 05:49:29.678,-84
2023/02/12 05:49:29.811,-84
2023/02/12 05:49:29.951,-84
2023/02/12 05:49:30.083,-84
2023/02/12 05:49:30.221,-84
2023/02/12 05:49:30.356,-79.44638972383675
2023/02/12 05:49:30.483,-68.67818468131344
2023/02/12 05:49:30.612,-75.19130526641335
2023/02/12 05:49:30.748,-84
2023/02/12 05:49:30.877,-81.56787886459648
2023/02/12 05:49:31.013,-83.05383800953821
2023/02/12 05:49:31.146,-69.56230960486495
2023/02/12 05:49:31.279,-73.82443557636091
2023/02/12 05:49:31.414,-83.33501731189038
2023/02/12 05:49:31.549,-76.74064199649588
2023/02/12 05:49:31.680,-84
2023/02/12 05:49:31.813,-76.27278026729572
2023/02/12 05:49:31.951,-84
2023/02/12 05:49:32.080,-84
2023/02/12 05:49:32.221,-84
2023/02/12 05:49:32.359,-81.72467805352731
2023/02/12 05:49:32.486,-84
2023/02/12 05:49:32.623,-84
2023/02/12 05:49:32.752,-84
2023/02/12 05:49:32.890,-79.68159786227321
2023/02/12 05:49:33.030,-57.84472594680096
2023/02/12 05:49:33.155,-59.09298639521453
2023/02/12 05:49:33.280,-62.29944353693014
2023/02/12 05:49:33.411,-61.85493267354694
2023/02/12 05:49:33.551,-79.9643994991166
2023/02/12 05:49:33.680,-84
2023/02/12 05:49:33.814,-76.30887529155804
2023/02/12 05:49:33.950,-84
2023/02/12 05:49:34.076,-84
2023/02/12 05:49:34.202,-84
2023/02/12 05:49:34.332,-84
2023/02/12 05:49:34.466,-84
2023/02/12 05:49:34.594,-84
2023/02/12 05:49:34.732,-76.8427043091708
2023/02/12 05:49:34.859,-84
2023/02/12 05:49:34.984,-78.18228648406692
2023/02/12 05:49:35.110,-83.63631096599732
2023/02/12 05:49:35.237,-78.41798052015422
2023/02/12 05:49:35.362,-84
2023/02/12 05:49:35.497,-84
2023/02/12 05:49:35.625,-84
2023/02/12 05:49:35.764,-79.64122580743958
2023/02/12 05:49:35.894,-71.98344080629438
2023/02/12 05:49:36.032,-74.47818818206596
2023/02/12 05:49:36.159,-81.10897451454831
2023/02/12 05:49:36.295,-79.31939239268509
2023/02/12 05:49:36.432,-84
2023/02/12 05:49:36.563,-84
2023/02/12 05:49:36.701,-84
2023/02/12 05:49:36.828,-84
