時刻,ヘッドセット (Soundcore Liberty Air 2 Pro Hands-Free AG Audio)
2023/02/12 05:49:59.415,-84
2023/02/12 05:49:59.538,-84
2023/02/12 05:49:59.674,-84
2023/02/12 05:49:59.812,-84
2023/02/12 05:49:59.937,-78.31510421241654
2023/02/12 05:50:00.079,-75.73685138358306
2023/02/12 05:50:00.217,-81.64648972685731
2023/02/12 05:50:00.342,-68.54520706514664
2023/02/12 05:50:00.468,-77.78033491981346
2023/02/12 05:50:00.593,-84
2023/02/12 05:50:00.718,-84
2023/02/12 05:50:00.857,-84
2023/02/12 05:50:00.986,-84
2023/02/12 05:50:01.120,-80.05227422182172
2023/02/12 05:50:01.248,-74.10840503589993
2023/02/12 05:50:01.373,-76.85484573740585
2023/02/12 05:50:01.500,-84
2023/02/12 05:50:01.625,-84
2023/02/12 05:50:01.752,-84
2023/02/12 05:50:01.889,-72.68412982793555
2023/02/12 05:50:02.019,-72.68137106243384
2023/02/12 05:50:02.156,-65.94274180092607
2023/02/12 05:50:02.295,-74.9801957636388
2023/02/12 05:50:02.421,-79.21721421144211
2023/02/12 05:50:02.554,-81.65521445092175
2023/02/12 05:50:02.695,-82.72710029136177
2023/02/12 05:50:02.827,-84
2023/02/12 05:50:02.967,-84
2023/02/12 05:50:03.108,-84
2023/02/12 05:50:03.233,-84
2023/02/12 05:50:03.359,-84
2023/02/12 05:50:03.486,-84
2023/02/12 05:50:03.626,-76.5277680877099
2023/02/12 05:50:03.766,-74.42142705768174
2023/02/12 05:50:03.906,-79.56777118081997
2023/02/12 05:50:04.048,-74.2959199655371
2023/02/12 05:50:04.174,-78.16306712724854
2023/02/12 05:50:04.302,-84
2023/02/12 05:50:04.443,-77.86461407367014
2023/02/12 05:50:04.577,-84
2023/02/12 05:50:04.705,-82.62267202041426
2023/02/12 05:50:04.843,-80.16593736986182
2023/02/12 05:50:04.983,-77.84588010316813
2023/02/12 05:50:05.109,-80.78039668940477
2023/02/12 05:50:05.249,-84
2023/02/12 05:50:05.389,-84
2023/02/12 05:50:05.520,-84
2023/02/12 05:50:05.660,-84
2023/02/12 05:50:05.786,-68.30372059961532
2023/02/12 05:50:05.911,-66.94184400310812
2023/02/12 05:50:06.040,-84
2023/02/12 05:50:06.169,-72.32118291672194
2023/02/12 05:50:06.304,-84
2023/02/12 05:50:06.436,-83.22543087337074
2023/02/12 05:50:06.561,-84
2023/02/12 05:50:06.687,-74.25510928071945
2023/02/12 05:50:06.826,-50.5537124701661
2023/02/12 05:50:06.957,-74.1104876307078
2023/02/12 05:50:07.095,-74.61010900251759
2023/02/12 05:50:07.221,-80.27060711121955
2023/02/12 05:50:07.357,-84
2023/02/12 05:50:07.487,-77.5671345974662
2023/02/12 05:50:07.625,-84
2023/02/12 05:50:07.765,-84
2023/02/12 05:50:07.904,-84
2023/02/12 05:50:08.030,-79.17144918098026
2023/02/12 05:50:08.157,-83.0846042892914
2023/02/12 05:50:08.282,-84
2023/02/12 05:50:08.423,-84
2023/02/12 05:50:08.549,-84
2023/02/12 05:50:08.688,-63.358442839176526
2023/02/12 05:50:08.827,-53.554204981998474
2023/02/12 05:50:08.953,-72.59316323562489
2023/02/12 05:50:09.078,-54.392709032776054
2023/02/12 05:50:09.204,-67.15376848770899
2023/02/12 05:50:09.342,-74.98318843799169
2023/02/12 05:50:09.468,-74.49797188318004
2023/02/12 05:50:09.593,-78.74746542589746
2023/02/12 05:50:09.732,-84
2023/02/12 05:50:09.859,-84
2023/02/12 05:50:09.984,-79.60766083426857
2023/02/12 05:50:10.125,-84
2023/02/12 05:50:10.251,-84
2023/02/12 05:50:10.378,-84
2023/02/12 05:50:10.514,-78.26552496375871
2023/02/12 05:50:10.640,-84
2023/02/12 05:50:10.772,-66.87740259382088
2023/02/12 05:50:10.906,-81.16705655751353
2023/02/12 05:50:11.037,-81.16705655751353
2023/02/12 05:50:11.170,-84
2023/02/12 05:50:11.301,-82.0555983065809
2023/02/12 05:50:11.439,-76.13124211169479
2023/02/12 05:50:11.576,-76.90046085427927
2023/02/12 05:50:11.703,-70.80892887916933
2023/02/12 05:50:11.841,-83.21885220027157
2023/02/12 05:50:11.968,-84
2023/02/12 05:50:12.100,-84
2023/02/12 05:50:12.233,-84
2023/02/12 05:50:12.373,-84
