時刻,ヘッドセット (Soundcore Liberty Air 2 Pro Hands-Free AG Audio)
2023/02/12 05:50:33.323,-84
2023/02/12 05:50:33.462,-84
2023/02/12 05:50:33.596,-84
2023/02/12 05:50:33.733,-84
2023/02/12 05:50:33.873,-77.9509062674896
2023/02/12 05:50:33.998,-72.7656478973959
2023/02/12 05:50:34.128,-84
2023/02/12 05:50:34.266,-75.23172132925193
2023/02/12 05:50:34.399,-81.03117579538521
2023/02/12 05:50:34.535,-84
2023/02/12 05:50:34.667,-84
2023/02/12 05:50:34.806,-84
2023/02/12 05:50:34.943,-79.81785272376919
2023/02/12 05:50:35.077,-84
2023/02/12 05:50:35.205,-82.29522852307468
2023/02/12 05:50:35.332,-84
2023/02/12 05:50:35.469,-84
2023/02/12 05:50:35.594,-84
2023/02/12 05:50:35.722,-84
2023/02/12 05:50:35.848,-84
2023/02/12 05:50:35.984,-73.37335703217657
2023/02/12 05:50:36.112,-71.90657534145357
2023/02/12 05:50:36.250,-84
2023/02/12 05:50:36.384,-84
2023/02/12 05:50:36.518,-84
2023/02/12 05:50:36.649,-84
2023/02/12 05:50:36.780,-84
2023/02/12 05:50:36.908,-84
2023/02/12 05:50:37.046,-84
2023/02/12 05:50:37.171,-84
2023/02/12 05:50:37.300,-84
2023/02/12 05:50:37.436,-70.72206053483688
2023/02/12 05:50:37.567,-84
2023/02/12 05:50:37.705,-80.00676109717894
2023/02/12 05:50:37.843,-78.08461144702561
2023/02/12 05:50:37.969,-78.11703527071518
2023/02/12 05:50:38.107,-84
2023/02/12 05:50:38.232,-84
2023/02/12 05:50:38.364,-84
2023/02/12 05:50:38.504,-84
2023/02/12 05:50:38.631,-84
2023/02/12 05:50:38.767,-75.93106766514369
2023/02/12 05:50:38.897,-84
2023/02/12 05:50:39.029,-73.44043939183155
2023/02/12 05:50:39.155,-83.3036350077373
2023/02/12 05:50:39.285,-84
2023/02/12 05:50:39.420,-84
2023/02/12 05:50:39.545,-84
2023/02/12 05:50:39.670,-84
2023/02/12 05:50:39.797,-84
2023/02/12 05:50:39.935,-73.80867560893925
2023/02/12 05:50:40.061,-84
2023/02/12 05:50:40.198,-84
2023/02/12 05:50:40.330,-83.88368808182187
2023/02/12 05:50:40.467,-84
2023/02/12 05:50:40.593,-80.86367003598609
2023/02/12 05:50:40.718,-65.66032061356186
2023/02/12 05:50:40.845,-81.35980396925149
2023/02/12 05:50:40.983,-84
2023/02/12 05:50:41.107,-83.92001347744531
2023/02/12 05:50:41.248,-84
2023/02/12 05:50:41.379,-84
2023/02/12 05:50:41.517,-84
2023/02/12 05:50:41.646,-79.13276271572198
2023/02/12 05:50:41.785,-84
2023/02/12 05:50:41.911,-84
2023/02/12 05:50:42.045,-84
2023/02/12 05:50:42.171,-84
2023/02/12 05:50:42.312,-73.5489679139788
2023/02/12 05:50:42.437,-69.76534831828863
2023/02/12 05:50:42.567,-80.49219516066736
2023/02/12 05:50:42.703,-67.80865049673085
2023/02/12 05:50:42.844,-50.26357738467937
2023/02/12 05:50:42.971,-80.17799813606936
2023/02/12 05:50:43.097,-84
2023/02/12 05:50:43.234,-80.60010590768698
2023/02/12 05:50:43.360,-84
2023/02/12 05:50:43.498,-84
2023/02/12 05:50:43.629,-84
2023/02/12 05:50:43.765,-84
2023/02/12 05:50:43.895,-84
2023/02/12 05:50:44.022,-84
2023/02/12 05:50:44.150,-81.89864403966773
2023/02/12 05:50:44.279,-84
2023/02/12 05:50:44.406,-80.13582175024403
2023/02/12 05:50:44.536,-84
2023/02/12 05:50:44.671,-79.97039504296148
2023/02/12 05:50:44.796,-84
2023/02/12 05:50:44.936,-84
2023/02/12 05:50:45.077,-80.54400681144534
2023/02/12 05:50:45.204,-69.1725025251904
2023/02/12 05:50:45.331,-77.61833589600609
2023/02/12 05:50:45.468,-82.33675415494206
2023/02/12 05:50:45.595,-79.1503814315951
2023/02/12 05:50:45.733,-84
2023/02/12 05:50:45.858,-84
2023/02/12 05:50:45.983,-84
2023/02/12 05:50:46.108,-84
2023/02/12 05:50:46.233,-80.2792010246493
2023/02/12 05:50:46.364,-79.4691327088555
