時刻,ヘッドセット (Soundcore Liberty Air 2 Pro Hands-Free AG Audio)
2023/02/12 05:51:28.557,-84
2023/02/12 05:51:28.691,-84
2023/02/12 05:51:28.827,-84
2023/02/12 05:51:28.953,-84
2023/02/12 05:51:29.081,-84
2023/02/12 05:51:29.218,-84
2023/02/12 05:51:29.353,-80.49541078689842
2023/02/12 05:51:29.490,-83.81498441353762
2023/02/12 05:51:29.620,-81.21673010955647
2023/02/12 05:51:29.757,-82.80216592050795
2023/02/12 05:51:29.889,-84
2023/02/12 05:51:30.015,-84
2023/02/12 05:51:30.146,-84
2023/02/12 05:51:30.275,-84
2023/02/12 05:51:30.410,-84
2023/02/12 05:51:30.545,-84
2023/02/12 05:51:30.672,-84
2023/02/12 05:51:30.798,-84
2023/02/12 05:51:30.936,-84
2023/02/12 05:51:31.063,-84
2023/02/12 05:51:31.188,-81.5853682021422
2023/02/12 05:51:31.316,-77.19230856880549
2023/02/12 05:51:31.451,-84
2023/02/12 05:51:31.579,-84
2023/02/12 05:51:31.704,-84
2023/02/12 05:51:31.830,-84
2023/02/12 05:51:31.968,-84
2023/02/12 05:51:32.093,-84
2023/02/12 05:51:32.218,-84
2023/02/12 05:51:32.343,-84
2023/02/12 05:51:32.468,-84
2023/02/12 05:51:32.595,-84
2023/02/12 05:51:32.733,-84
2023/02/12 05:51:32.868,-84
2023/02/12 05:51:32.994,-84
2023/02/12 05:51:33.125,-84
2023/02/12 05:51:33.254,-80.56959985957135
2023/02/12 05:51:33.385,-84
2023/02/12 05:51:33.514,-84
2023/02/12 05:51:33.645,-84
2023/02/12 05:51:33.785,-84
2023/02/12 05:51:33.924,-84
2023/02/12 05:51:34.060,-84
2023/02/12 05:51:34.198,-84
2023/02/12 05:51:34.330,-84
2023/02/12 05:51:34.456,-84
2023/02/12 05:51:34.584,-84
2023/02/12 05:51:34.716,-84
2023/02/12 05:51:34.846,-84
2023/02/12 05:51:34.984,-84
2023/02/12 05:51:35.118,-82.3022330722547
2023/02/12 05:51:35.248,-78.86355653783058
2023/02/12 05:51:35.383,-84
2023/02/12 05:51:35.514,-84
2023/02/12 05:51:35.653,-84
2023/02/12 05:51:35.785,-83.7666474744112
2023/02/12 05:51:35.920,-79.48308737471962
2023/02/12 05:51:36.052,-81.69181610750796
2023/02/12 05:51:36.177,-84
2023/02/12 05:51:36.303,-83.7751418498284
2023/02/12 05:51:36.429,-84
2023/02/12 05:51:36.562,-83.49860018251053
2023/02/12 05:51:36.688,-84
2023/02/12 05:51:36.828,-84
2023/02/12 05:51:36.968,-84
2023/02/12 05:51:37.093,-84
2023/02/12 05:51:37.233,-84
2023/02/12 05:51:37.365,-84
2023/02/12 05:51:37.494,-84
2023/02/12 05:51:37.621,-84
2023/02/12 05:51:37.758,-84
2023/02/12 05:51:37.887,-76.05148929082551
2023/02/12 05:51:38.016,-80.18829862819646
2023/02/12 05:51:38.146,-71.82190299876919
2023/02/12 05:51:38.280,-77.47825770165515
2023/02/12 05:51:38.406,-84
2023/02/12 05:51:38.538,-84
2023/02/12 05:51:38.670,-81.8299070452799
2023/02/12 05:51:38.811,-84
2023/02/12 05:51:38.938,-84
2023/02/12 05:51:39.077,-84
2023/02/12 05:51:39.203,-84
2023/02/12 05:51:39.333,-84
2023/02/12 05:51:39.466,-84
2023/02/12 05:51:39.601,-82.50229634831285
2023/02/12 05:51:39.736,-84
2023/02/12 05:51:39.868,-81.09135230407254
2023/02/12 05:51:39.999,-84
2023/02/12 05:51:40.133,-83.91213242306092
2023/02/12 05:51:40.264,-84
2023/02/12 05:51:40.393,-84
2023/02/12 05:51:40.518,-84
2023/02/12 05:51:40.656,-84
2023/02/12 05:51:40.786,-82.16829591317395
2023/02/12 05:51:40.924,-82.551692173517
2023/02/12 05:51:41.062,-82.3986156992997
2023/02/12 05:51:41.188,-84
2023/02/12 05:51:41.326,-84
2023/02/12 05:51:41.453,-84
2023/02/12 05:51:41.578,-84
