時刻,ヘッドセット (Soundcore Liberty Air 2 Pro Hands-Free AG Audio)
2023/02/12 05:53:20.100,-84
2023/02/12 05:53:20.228,-84
2023/02/12 05:53:20.359,-84
2023/02/12 05:53:20.486,-84
2023/02/12 05:53:20.623,-84
2023/02/12 05:53:20.750,-78.53230895655464
2023/02/12 05:53:20.876,-77.71521216855335
2023/02/12 05:53:21.015,-71.50338259050409
2023/02/12 05:53:21.143,-80.80235471028823
2023/02/12 05:53:21.284,-81.93326569728428
2023/02/12 05:53:21.409,-84
2023/02/12 05:53:21.547,-47.87105680413724
2023/02/12 05:53:21.672,-24.667268458732387
2023/02/12 05:53:21.812,-28.932963013433444
2023/02/12 05:53:21.938,-26.330519860995555
2023/02/12 05:53:22.077,-36.29700790850684
2023/02/12 05:53:22.212,-24.695354006106488
2023/02/12 05:53:22.344,-31.00022464953801
2023/02/12 05:53:22.476,-30.68953134854206
2023/02/12 05:53:22.608,-31.423211386387585
2023/02/12 05:53:22.747,-33.63507308140568
2023/02/12 05:53:22.876,-51.731148020748094
2023/02/12 05:53:23.015,-22.91016915913847
2023/02/12 05:53:23.145,-32.60554505709004
2023/02/12 05:53:23.280,-77.7329047490485
2023/02/12 05:53:23.409,-26.904326113039964
2023/02/12 05:53:23.547,-37.31370995767144
2023/02/12 05:53:23.672,-27.31332784263192
2023/02/12 05:53:23.813,-34.27739215507303
2023/02/12 05:53:23.941,-24.282117573547247
2023/02/12 05:53:24.079,-53.68847323282339
2023/02/12 05:53:24.210,-23.11537805229079
2023/02/12 05:53:24.343,-26.839427349748593
2023/02/12 05:53:24.475,-64.15710988833102
2023/02/12 05:53:24.609,-49.99805144569884
2023/02/12 05:53:24.744,-29.93705694996214
2023/02/12 05:53:24.883,-22.85227092654437
2023/02/12 05:53:25.017,-26.084495924321132
2023/02/12 05:53:25.143,-34.452564196040825
2023/02/12 05:53:25.281,-37.78380253965846
2023/02/12 05:53:25.409,-19.20761560125875
2023/02/12 05:53:25.547,-67.87009327023743
2023/02/12 05:53:25.672,-30.208577101188816
2023/02/12 05:53:25.797,-30.208577101188816
2023/02/12 05:53:25.937,-19.56564207282764
2023/02/12 05:53:26.062,-26.593675746993682
2023/02/12 05:53:26.186,-41.759351866347686
2023/02/12 05:53:26.316,-35.035792563034825
2023/02/12 05:53:26.442,-31.968119026699142
2023/02/12 05:53:26.581,-17.304622673299853
2023/02/12 05:53:26.712,-43.37064706365504
2023/02/12 05:53:26.849,-29.893017263415466
2023/02/12 05:53:26.988,-32.62448672610799
2023/02/12 05:53:27.127,-32.62448672610799
2023/02/12 05:53:27.266,-78.182522706577
2023/02/12 05:53:27.392,-78.182522706577
2023/02/12 05:53:27.533,-69.28098032254356
2023/02/12 05:53:27.671,-80.35492849261021
2023/02/12 05:53:27.797,-24.4197091635901
2023/02/12 05:53:27.923,-27.44957189693448
2023/02/12 05:53:28.063,-22.882408791800867
2023/02/12 05:53:28.188,-30.26092159997664
2023/02/12 05:53:28.327,-30.791398465329575
2023/02/12 05:53:28.458,-70.49083693222661
2023/02/12 05:53:28.595,-59.640068534352125
2023/02/12 05:53:28.725,-63.75842735487717
2023/02/12 05:53:28.862,-84
2023/02/12 05:53:28.993,-84
2023/02/12 05:53:29.125,-72.71378503021053
2023/02/12 05:53:29.250,-76.4526513652397
2023/02/12 05:53:29.376,-56.19954060244108
2023/02/12 05:53:29.515,-40.69726812070294
2023/02/12 05:53:29.646,-65.98299051977803
2023/02/12 05:53:29.784,-50.205463014700385
2023/02/12 05:53:29.920,-74.06347252470586
2023/02/12 05:53:30.055,-66.54477160395133
2023/02/12 05:53:30.189,-74.40355574682796
2023/02/12 05:53:30.314,-84
2023/02/12 05:53:30.442,-84
2023/02/12 05:53:30.583,-82.74819206144107
2023/02/12 05:53:30.718,-84
2023/02/12 05:53:30.843,-84
2023/02/12 05:53:30.969,-31.361717386069866
2023/02/12 05:53:31.094,-22.003205993306125
2023/02/12 05:53:31.220,-41.46334679648534
2023/02/12 05:53:31.358,-24.974610581077506
2023/02/12 05:53:31.489,-44.55985481306954
2023/02/12 05:53:31.624,-79.50389129305464
2023/02/12 05:53:31.749,-84
2023/02/12 05:53:31.877,-64.25449034419314
2023/02/12 05:53:32.016,-80.53816410396935
2023/02/12 05:53:32.142,-63.87619483327075
2023/02/12 05:53:32.280,-61.32944127648892
2023/02/12 05:53:32.410,-70.91573332666825
2023/02/12 05:53:32.548,-81.03538749046811
2023/02/12 05:53:32.687,-57.757543411733714
2023/02/12 05:53:32.811,-79.53025431805986
2023/02/12 05:53:32.939,-77.92751049994611
2023/02/12 05:53:33.079,-84
