時刻,マイク (Recon Air)
2023/02/12 05:55:01.514,-84
2023/02/12 05:55:01.650,-73.66367893707101
2023/02/12 05:55:01.775,-76.02142846729589
2023/02/12 05:55:01.901,-76.01943080467566
2023/02/12 05:55:02.041,-71.47970997860135
2023/02/12 05:55:02.167,-64.38687248543417
2023/02/12 05:55:02.305,-66.65603478864965
2023/02/12 05:55:02.431,-58.94822061096494
2023/02/12 05:55:02.570,-64.53343098635243
2023/02/12 05:55:02.711,-71.22147008312825
2023/02/12 05:55:02.851,-76.46186232915224
2023/02/12 05:55:02.976,-75.283827977255
2023/02/12 05:55:03.102,-73.9722243560932
2023/02/12 05:55:03.241,-69.14802910337437
2023/02/12 05:55:03.381,-65.60169106192308
2023/02/12 05:55:03.518,-74.63303838270924
2023/02/12 05:55:03.660,-76.81998704020518
2023/02/12 05:55:03.801,-75.69596625401083
2023/02/12 05:55:03.926,-64.40299787949004
2023/02/12 05:55:04.066,-59.993966151167825
2023/02/12 05:55:04.205,-55.23783144527716
2023/02/12 05:55:04.345,-62.75092936128382
2023/02/12 05:55:04.470,-65.41670684091622
2023/02/12 05:55:04.595,-69.94007928999997
2023/02/12 05:55:04.721,-68.97218687671501
2023/02/12 05:55:04.862,-74.91604267634848
2023/02/12 05:55:05.002,-77.12626730343989
2023/02/12 05:55:05.144,-77.43756541129395
2023/02/12 05:55:05.269,-75.69192352301265
2023/02/12 05:55:05.409,-75.95494934899048
2023/02/12 05:55:05.549,-73.814874547655
2023/02/12 05:55:05.673,-58.300373154567055
2023/02/12 05:55:05.799,-63.52797826807935
2023/02/12 05:55:05.924,-62.42296610565741
2023/02/12 05:55:06.052,-75.96735749577414
2023/02/12 05:55:06.180,-59.47241655505424
2023/02/12 05:55:06.320,-72.11048579911272
2023/02/12 05:55:06.461,-76.16895288540593
2023/02/12 05:55:06.601,-74.34814302627954
2023/02/12 05:55:06.741,-73.59734558974677
2023/02/12 05:55:06.880,-73.71280335076862
2023/02/12 05:55:07.020,-69.2381062425485
2023/02/12 05:55:07.161,-56.97968933870882
2023/02/12 05:55:07.301,-69.86466552139804
2023/02/12 05:55:07.427,-61.868761615034124
2023/02/12 05:55:07.568,-70.44116491462142
2023/02/12 05:55:07.694,-63.0556918357624
2023/02/12 05:55:07.819,-70.02902328588219
2023/02/12 05:55:07.947,-71.86955635693926
2023/02/12 05:55:08.087,-58.883352659712074
2023/02/12 05:55:08.213,-65.84609538848514
2023/02/12 05:55:08.354,-67.83669441079033
2023/02/12 05:55:08.481,-69.73918994144114
2023/02/12 05:55:08.608,-64.00740990130703
2023/02/12 05:55:08.734,-63.749851426065916
2023/02/12 05:55:08.877,-57.6136634964611
2023/02/12 05:55:09.018,-67.89168418265483
2023/02/12 05:55:09.157,-65.95202435736587
2023/02/12 05:55:09.296,-72.15378869175805
2023/02/12 05:55:09.436,-58.32371110582266
2023/02/12 05:55:09.563,-73.29035128809222
2023/02/12 05:55:09.704,-75.54744510082124
2023/02/12 05:55:09.846,-74.63609277365522
2023/02/12 05:55:09.971,-61.59722113058804
2023/02/12 05:55:10.113,-68.81702881640759
2023/02/12 05:55:10.254,-71.1611857303903
2023/02/12 05:55:10.394,-74.53181956369244
2023/02/12 05:55:10.519,-75.04653612294489
2023/02/12 05:55:10.658,-53.62167676146527
2023/02/12 05:55:10.798,-56.35546723966205
2023/02/12 05:55:10.923,-59.56098281940233
2023/02/12 05:55:11.049,-54.23846322557543
2023/02/12 05:55:11.190,-64.63501639764837
2023/02/12 05:55:11.316,-69.04769344205224
2023/02/12 05:55:11.456,-63.83929620770027
2023/02/12 05:55:11.596,-73.19961170441712
2023/02/12 05:55:11.723,-75.47432885466917
2023/02/12 05:55:11.847,-75.87295787641516
2023/02/12 05:55:11.987,-67.81295935757987
2023/02/12 05:55:12.126,-71.91727614517096
2023/02/12 05:55:12.267,-73.95032365341636
2023/02/12 05:55:12.406,-63.911031462662386
2023/02/12 05:55:12.532,-71.17460257241382
2023/02/12 05:55:12.673,-60.20447633736562
2023/02/12 05:55:12.814,-64.02214623989862
2023/02/12 05:55:12.955,-71.57659625133147
2023/02/12 05:55:13.095,-74.07434141283741
2023/02/12 05:55:13.221,-75.43693697988614
2023/02/12 05:55:13.360,-66.83416958514735
2023/02/12 05:55:13.503,-58.59387099787067
2023/02/12 05:55:13.646,-62.939970614486796
2023/02/12 05:55:13.770,-66.54708871027552
2023/02/12 05:55:13.911,-77.50110623070691
2023/02/12 05:55:14.051,-77.57937739205643
2023/02/12 05:55:14.189,-77.87349478694094
2023/02/12 05:55:14.328,-73.7290552935461
2023/02/12 05:55:14.455,-66.24212506864554
