時刻,マイク (Recon Air)
2023/02/12 05:55:39.983,-84
2023/02/12 05:55:40.112,-76.88398847870427
2023/02/12 05:55:40.238,-75.7255884841351
2023/02/12 05:55:40.363,-73.99825745660083
2023/02/12 05:55:40.490,-59.388152544879276
2023/02/12 05:55:40.615,-48.145286936616316
2023/02/12 05:55:40.755,-64.67235120558622
2023/02/12 05:55:40.880,-56.75004541969966
2023/02/12 05:55:41.019,-60.755805259994716
2023/02/12 05:55:41.144,-74.99089277961241
2023/02/12 05:55:41.283,-77.40807418650826
2023/02/12 05:55:41.424,-75.5127416698612
2023/02/12 05:55:41.550,-64.05036729120013
2023/02/12 05:55:41.692,-66.24677706272811
2023/02/12 05:55:41.831,-60.60981119777364
2023/02/12 05:55:41.970,-66.91272680441313
2023/02/12 05:55:42.095,-77.63689588600771
2023/02/12 05:55:42.236,-77.69644652213691
2023/02/12 05:55:42.375,-61.830285037374956
2023/02/12 05:55:42.516,-53.976237990966226
2023/02/12 05:55:42.655,-56.17375369368386
2023/02/12 05:55:42.781,-64.3286833685057
2023/02/12 05:55:42.924,-64.88542947683922
2023/02/12 05:55:43.064,-63.50281962949956
2023/02/12 05:55:43.217,-70.83690824238043
2023/02/12 05:55:43.341,-77.26715952655128
2023/02/12 05:55:43.481,-72.26515073595931
2023/02/12 05:55:43.608,-76.28586237913636
2023/02/12 05:55:43.732,-72.6763152739541
2023/02/12 05:55:43.872,-74.22919334059307
2023/02/12 05:55:43.999,-71.60456737121599
2023/02/12 05:55:44.139,-67.42828702853994
2023/02/12 05:55:44.278,-60.927641954608625
2023/02/12 05:55:44.404,-62.81483648670039
2023/02/12 05:55:44.545,-64.86292966383624
2023/02/12 05:55:44.685,-57.286807359548604
2023/02/12 05:55:44.812,-61.016423102398754
2023/02/12 05:55:44.966,-69.26928672688194
2023/02/12 05:55:45.105,-75.7815536024677
2023/02/12 05:55:45.231,-75.40048700934015
2023/02/12 05:55:45.356,-62.62198306864298
2023/02/12 05:55:45.481,-74.20522667364936
2023/02/12 05:55:45.607,-60.076675930163994
2023/02/12 05:55:45.732,-71.29973809786671
2023/02/12 05:55:45.871,-66.16122649663738
2023/02/12 05:55:46.012,-75.9595574022069
2023/02/12 05:55:46.151,-75.54572435324965
2023/02/12 05:55:46.290,-77.24198712899093
2023/02/12 05:55:46.418,-48.10931849335375
2023/02/12 05:55:46.559,-65.98037330010496
2023/02/12 05:55:46.699,-72.94881486413887
2023/02/12 05:55:46.838,-67.96938715144431
2023/02/12 05:55:46.978,-55.4392356186753
2023/02/12 05:55:47.103,-56.401451252712505
2023/02/12 05:55:47.242,-78.09425196414143
2023/02/12 05:55:47.382,-75.639813863338
2023/02/12 05:55:47.522,-56.598493502578364
2023/02/12 05:55:47.647,-61.669714650308826
2023/02/12 05:55:47.786,-58.10546923208485
2023/02/12 05:55:47.912,-66.44707743222979
2023/02/12 05:55:48.052,-57.33732363576905
2023/02/12 05:55:48.177,-64.55211025340452
2023/02/12 05:55:48.302,-77.35001174426164
2023/02/12 05:55:48.442,-70.48495295376618
2023/02/12 05:55:48.583,-68.00599039035367
2023/02/12 05:55:48.722,-76.40015525963322
2023/02/12 05:55:48.860,-75.5435293049399
2023/02/12 05:55:49.000,-58.08632102048637
2023/02/12 05:55:49.141,-49.66503808933015
2023/02/12 05:55:49.295,-58.44238491759231
2023/02/12 05:55:49.421,-46.15324829175322
2023/02/12 05:55:49.561,-48.277414362374635
2023/02/12 05:55:49.702,-61.99333291043267
2023/02/12 05:55:49.840,-72.24043793728016
2023/02/12 05:55:49.982,-65.05085250985894
2023/02/12 05:55:50.109,-76.89553516450283
2023/02/12 05:55:50.248,-66.85034426691966
2023/02/12 05:55:50.388,-61.26387131296758
2023/02/12 05:55:50.528,-65.96449736050698
2023/02/12 05:55:50.654,-73.38971029340341
2023/02/12 05:55:50.780,-60.92918380771036
2023/02/12 05:55:50.918,-67.85895501957292
2023/02/12 05:55:51.057,-70.42946484762729
2023/02/12 05:55:51.182,-58.196214932414
2023/02/12 05:55:51.322,-60.13457012608788
2023/02/12 05:55:51.463,-74.7123715510058
2023/02/12 05:55:51.602,-72.91385466108648
2023/02/12 05:55:51.742,-63.20453089024309
2023/02/12 05:55:51.868,-50.01279890531217
2023/02/12 05:55:51.993,-63.92446342717925
2023/02/12 05:55:52.134,-54.774348036867906
2023/02/12 05:55:52.272,-59.13253327892255
2023/02/12 05:55:52.397,-67.58531627848723
2023/02/12 05:55:52.538,-73.82679892899701
2023/02/12 05:55:52.677,-75.19760692526224
2023/02/12 05:55:52.817,-75.82752593771073
2023/02/12 05:55:52.942,-70.104225130778
