時刻,マイク (Recon Air)
2023/02/12 05:56:14.597,-84
2023/02/12 05:56:14.737,-78.07072635516626
2023/02/12 05:56:14.881,-75.26854502689977
2023/02/12 05:56:15.010,-74.56708778055001
2023/02/12 05:56:15.151,-59.71402914243374
2023/02/12 05:56:15.292,-52.93438031307032
2023/02/12 05:56:15.432,-69.41734150530968
2023/02/12 05:56:15.559,-60.923100241606754
2023/02/12 05:56:15.684,-61.53631612649293
2023/02/12 05:56:15.809,-69.63044354803583
2023/02/12 05:56:15.936,-76.258848872449
2023/02/12 05:56:16.074,-74.82306603123942
2023/02/12 05:56:16.199,-67.05710440688713
2023/02/12 05:56:16.339,-67.59899358421946
2023/02/12 05:56:16.478,-66.43803392737796
2023/02/12 05:56:16.604,-73.84543800489075
2023/02/12 05:56:16.744,-71.62645323683289
2023/02/12 05:56:16.886,-73.8702894666252
2023/02/12 05:56:17.012,-62.999848255805674
2023/02/12 05:56:17.152,-51.40134071660769
2023/02/12 05:56:17.292,-51.79678136938426
2023/02/12 05:56:17.433,-60.015312204962264
2023/02/12 05:56:17.559,-60.81313497773046
2023/02/12 05:56:17.685,-66.4090098217155
2023/02/12 05:56:17.812,-72.67598425036473
2023/02/12 05:56:17.952,-76.51909853939318
2023/02/12 05:56:18.077,-76.82358037726344
2023/02/12 05:56:18.230,-75.13065607013571
2023/02/12 05:56:18.368,-74.8711682142708
2023/02/12 05:56:18.507,-75.63882266102024
2023/02/12 05:56:18.650,-75.16778121081803
2023/02/12 05:56:18.789,-53.56874863200363
2023/02/12 05:56:18.929,-60.36881171282268
2023/02/12 05:56:19.054,-59.23175916513848
2023/02/12 05:56:19.194,-70.23481397752904
2023/02/12 05:56:19.335,-60.0253516401958
2023/02/12 05:56:19.460,-65.70388849475303
2023/02/12 05:56:19.600,-67.42435777976934
2023/02/12 05:56:19.727,-74.77152401841226
2023/02/12 05:56:19.852,-73.55828266319384
2023/02/12 05:56:19.992,-58.147308816614476
2023/02/12 05:56:20.132,-61.62009770515927
2023/02/12 05:56:20.271,-71.64084414791013
2023/02/12 05:56:20.411,-75.96266569679484
2023/02/12 05:56:20.551,-75.8272095983243
2023/02/12 05:56:20.676,-75.87081624415191
2023/02/12 05:56:20.801,-76.44286179241472
2023/02/12 05:56:20.942,-68.21897619849027
2023/02/12 05:56:21.082,-59.33004382574099
2023/02/12 05:56:21.207,-63.61170036580063
2023/02/12 05:56:21.348,-66.62627619610235
2023/02/12 05:56:21.489,-62.59938568128955
2023/02/12 05:56:21.629,-52.775125462124294
2023/02/12 05:56:21.754,-59.49474989923406
2023/02/12 05:56:21.894,-75.41366692418296
2023/02/12 05:56:22.020,-61.94562603799084
2023/02/12 05:56:22.160,-65.63331096236448
2023/02/12 05:56:22.301,-61.0536200799024
2023/02/12 05:56:22.441,-66.9396967850554
2023/02/12 05:56:22.583,-68.2491406681905
2023/02/12 05:56:22.722,-68.5080953790495
2023/02/12 05:56:22.848,-75.62506945782116
2023/02/12 05:56:22.988,-61.477809879987916
2023/02/12 05:56:23.126,-61.140326649421716
2023/02/12 05:56:23.265,-72.54665627840629
2023/02/12 05:56:23.407,-77.44579528227752
2023/02/12 05:56:23.533,-76.43879836047944
2023/02/12 05:56:23.672,-74.50167053058087
2023/02/12 05:56:23.798,-60.386903431326616
2023/02/12 05:56:23.925,-49.64025066569622
2023/02/12 05:56:24.051,-51.858976949893936
2023/02/12 05:56:24.177,-58.21486759750868
2023/02/12 05:56:24.301,-67.74716146196138
2023/02/12 05:56:24.444,-69.49102828109577
2023/02/12 05:56:24.570,-65.23112974177677
2023/02/12 05:56:24.711,-71.88890993517307
2023/02/12 05:56:24.837,-72.22043438731276
2023/02/12 05:56:24.980,-71.37102296660292
2023/02/12 05:56:25.106,-62.48420815842141
2023/02/12 05:56:25.232,-72.83657729392667
2023/02/12 05:56:25.358,-64.83496334445161
2023/02/12 05:56:25.501,-64.0874637348975
2023/02/12 05:56:25.642,-68.74103664558254
2023/02/12 05:56:25.783,-68.29058270783025
2023/02/12 05:56:25.909,-63.44234202945291
2023/02/12 05:56:26.035,-75.81849886999396
2023/02/12 05:56:26.160,-75.01414472352691
2023/02/12 05:56:26.286,-74.99961968116986
2023/02/12 05:56:26.411,-57.79472872758789
2023/02/12 05:56:26.550,-54.87118032763579
2023/02/12 05:56:26.688,-67.28653440808108
2023/02/12 05:56:26.831,-58.83892929834101
2023/02/12 05:56:26.956,-56.17769333753149
2023/02/12 05:56:27.097,-75.44750556894624
2023/02/12 05:56:27.239,-75.13659246678459
2023/02/12 05:56:27.365,-76.4337760416969
2023/02/12 05:56:27.503,-72.00313382674706
