時刻,マイク (Realtek USB2.0 Audio)
2023/02/12 06:00:03.884,-84
2023/02/12 06:00:04.022,-66.29683882050483
2023/02/12 06:00:04.147,-61.53055574826154
2023/02/12 06:00:04.288,-53.43369417964294
2023/02/12 06:00:04.414,-59.35504510171606
2023/02/12 06:00:04.540,-56.307634327102406
2023/02/12 06:00:04.667,-59.19521345963095
2023/02/12 06:00:04.793,-58.40373623405063
2023/02/12 06:00:04.918,-54.95104726054934
2023/02/12 06:00:05.057,-58.35988116126462
2023/02/12 06:00:05.196,-56.56150004717362
2023/02/12 06:00:05.336,-59.558411201555195
2023/02/12 06:00:05.477,-53.575560612119276
2023/02/12 06:00:05.603,-57.57176560579868
2023/02/12 06:00:05.743,-61.559128361728305
2023/02/12 06:00:05.883,-59.52605109904248
2023/02/12 06:00:06.023,-60.35107956169548
2023/02/12 06:00:06.163,-64.57095625406669
2023/02/12 06:00:06.302,-65.96286839924568
2023/02/12 06:00:06.443,-51.51601668401271
2023/02/12 06:00:06.584,-49.830345709734864
2023/02/12 06:00:06.711,-65.89078373105421
2023/02/12 06:00:06.836,-58.57274789726805
2023/02/12 06:00:06.977,-66.1130430830047
2023/02/12 06:00:07.117,-58.27914496370652
2023/02/12 06:00:07.242,-56.67970827845551
2023/02/12 06:00:07.382,-58.58747914426345
2023/02/12 06:00:07.522,-61.61203842519984
2023/02/12 06:00:07.647,-59.86772283125145
2023/02/12 06:00:07.785,-58.079870559760735
2023/02/12 06:00:07.917,-57.62681324143246
2023/02/12 06:00:08.042,-59.522063276037414
2023/02/12 06:00:08.183,-57.383645808786994
2023/02/12 06:00:08.309,-55.84502968810388
2023/02/12 06:00:08.434,-64.42872021138317
2023/02/12 06:00:08.575,-55.92472097447646
2023/02/12 06:00:08.714,-54.061998959796746
2023/02/12 06:00:08.852,-61.28495653572195
2023/02/12 06:00:08.990,-54.455950396667454
2023/02/12 06:00:09.116,-67.0189213038182
2023/02/12 06:00:09.256,-55.17712979084088
2023/02/12 06:00:09.381,-61.86654436116524
2023/02/12 06:00:09.520,-58.08392293883305
2023/02/12 06:00:09.646,-64.86255534649239
2023/02/12 06:00:09.788,-57.28874518472617
2023/02/12 06:00:09.928,-57.83661057912329
2023/02/12 06:00:10.053,-56.35990331207671
2023/02/12 06:00:10.192,-61.3685569303665
2023/02/12 06:00:10.329,-58.0260297889787
2023/02/12 06:00:10.469,-56.204595815342635
2023/02/12 06:00:10.595,-59.67532519812745
2023/02/12 06:00:10.722,-59.14323811217599
2023/02/12 06:00:10.847,-62.68551404814011
2023/02/12 06:00:10.973,-59.44206147160327
2023/02/12 06:00:11.113,-48.59069885900122
2023/02/12 06:00:11.238,-56.607165693381006
2023/02/12 06:00:11.378,-54.47738146996163
2023/02/12 06:00:11.521,-56.19970096056689
2023/02/12 06:00:11.647,-59.6840631026927
2023/02/12 06:00:11.787,-54.68289589648049
2023/02/12 06:00:11.928,-64.95986771402583
2023/02/12 06:00:12.067,-58.348518778064424
2023/02/12 06:00:12.207,-56.46928476608808
2023/02/12 06:00:12.347,-57.064944392793294
2023/02/12 06:00:12.472,-62.07979836168881
2023/02/12 06:00:12.599,-61.30717112955428
2023/02/12 06:00:12.748,-65.69939329367499
2023/02/12 06:00:12.893,-64.85691861322667
2023/02/12 06:00:13.034,-57.86657215334843
2023/02/12 06:00:13.173,-56.85712354999647
2023/02/12 06:00:13.313,-58.75682347755763
2023/02/12 06:00:13.469,-51.80366653057145
2023/02/12 06:00:13.594,-65.26879953561232
2023/02/12 06:00:13.736,-60.16662722618453
2023/02/12 06:00:13.876,-56.898084439804
2023/02/12 06:00:14.017,-52.31457685869893
2023/02/12 06:00:14.143,-61.38413768320887
2023/02/12 06:00:14.284,-63.57827021117529
2023/02/12 06:00:14.427,-58.04003641965558
2023/02/12 06:00:14.567,-57.374205198085974
2023/02/12 06:00:14.707,-63.00481018546275
2023/02/12 06:00:14.833,-57.69189058698183
2023/02/12 06:00:14.975,-64.89290695318702
2023/02/12 06:00:15.116,-68.85918352970018
2023/02/12 06:00:15.255,-55.02606872350068
2023/02/12 06:00:15.395,-54.279500309788546
2023/02/12 06:00:15.522,-57.24418491144331
2023/02/12 06:00:15.648,-55.5956903969388
2023/02/12 06:00:15.775,-55.152526686234104
2023/02/12 06:00:15.900,-61.99597625212455
2023/02/12 06:00:16.028,-60.564222566659545
2023/02/12 06:00:16.167,-56.49701021236871
2023/02/12 06:00:16.292,-65.50299406598006
2023/02/12 06:00:16.417,-62.9311589907209
2023/02/12 06:00:16.542,-53.91338684985004
2023/02/12 06:00:16.681,-56.47758587309127
2023/02/12 06:00:16.820,-61.37146810946882
