時刻,ヘッドセット (SOUNDPEATS Air3 Deluxe HS Hands-Free AG Audio)
2023/02/12 06:04:42.803,-84
2023/02/12 06:04:42.938,-30.929674582636334
2023/02/12 06:04:43.064,-49.80497797410679
2023/02/12 06:04:43.192,-54.99176967732297
2023/02/12 06:04:43.330,-78.47029619148033
2023/02/12 06:04:43.466,-49.46295423533475
2023/02/12 06:04:43.603,-50.55139815788274
2023/02/12 06:04:43.735,-69.84644760033089
2023/02/12 06:04:43.860,-75.30447651075859
2023/02/12 06:04:43.992,-64.01924832121419
2023/02/12 06:04:44.126,-55.47408358833885
2023/02/12 06:04:44.252,-52.842169379775406
2023/02/12 06:04:44.377,-50.817620826105205
2023/02/12 06:04:44.504,-75.50724495239636
2023/02/12 06:04:44.641,-79.10761909954684
2023/02/12 06:04:44.768,-84
2023/02/12 06:04:44.893,-84
2023/02/12 06:04:45.033,-31.889704018313626
2023/02/12 06:04:45.158,-46.682244528849914
2023/02/12 06:04:45.283,-64.96860391652706
2023/02/12 06:04:45.409,-84
2023/02/12 06:04:45.547,-84
2023/02/12 06:04:45.688,-77.53032924894771
2023/02/12 06:04:45.813,-77.53032924894771
2023/02/12 06:04:45.953,-84
2023/02/12 06:04:46.080,-84
2023/02/12 06:04:46.210,-78.77882260447561
2023/02/12 06:04:46.344,-79.14435710276692
2023/02/12 06:04:46.481,-79.37724668947189
2023/02/12 06:04:46.613,-37.41046296361571
2023/02/12 06:04:46.739,-45.80022353746549
2023/02/12 06:04:46.865,-84
2023/02/12 06:04:46.992,-54.93597411780273
2023/02/12 06:04:47.126,-36.221162530074274
2023/02/12 06:04:47.252,-55.0679507419374
2023/02/12 06:04:47.383,-84
2023/02/12 06:04:47.516,-84
2023/02/12 06:04:47.643,-65.06510325832622
2023/02/12 06:04:47.783,-75.80256255429799
2023/02/12 06:04:47.913,-37.259787964944834
2023/02/12 06:04:48.051,-54.453042660321685
2023/02/12 06:04:48.177,-36.775603247465504
2023/02/12 06:04:48.315,-59.25131938327145
2023/02/12 06:04:48.441,-61.845698428645086
2023/02/12 06:04:48.579,-75.77777062451487
2023/02/12 06:04:48.710,-78.40352529023116
2023/02/12 06:04:48.847,-84
2023/02/12 06:04:48.986,-29.388853397648912
2023/02/12 06:04:49.115,-46.37567311172765
2023/02/12 06:04:49.241,-50.2798538722006
2023/02/12 06:04:49.368,-66.3681478826633
2023/02/12 06:04:49.495,-52.55994631357303
2023/02/12 06:04:49.627,-40.378573807420736
2023/02/12 06:04:49.767,-30.86489384092171
2023/02/12 06:04:49.895,-41.05151338407491
2023/02/12 06:04:50.021,-45.08775360200298
2023/02/12 06:04:50.159,-41.08132605642006
2023/02/12 06:04:50.298,-55.6915161932082
2023/02/12 06:04:50.424,-60.61393139978997
2023/02/12 06:04:50.549,-49.06671287711595
2023/02/12 06:04:50.676,-84
2023/02/12 06:04:50.813,-74.48693823114333
2023/02/12 06:04:50.942,-42.130665201652356
2023/02/12 06:04:51.078,-70.609831402125
2023/02/12 06:04:51.215,-78.21851479325255
2023/02/12 06:04:51.352,-79.1482909509476
2023/02/12 06:04:51.477,-80.94869024665564
2023/02/12 06:04:51.610,-41.82861204323579
2023/02/12 06:04:51.742,-23.007986123080958
2023/02/12 06:04:51.877,-38.81546744345929
2023/02/12 06:04:52.003,-23.165198965759576
2023/02/12 06:04:52.132,-41.91544870384501
2023/02/12 06:04:52.270,-54.97779479502418
2023/02/12 06:04:52.408,-45.560650652632255
2023/02/12 06:04:52.534,-63.46865797779913
2023/02/12 06:04:52.659,-65.84028561347617
2023/02/12 06:04:52.784,-69.18820894362874
2023/02/12 06:04:52.925,-74.48618798792874
2023/02/12 06:04:53.063,-58.185069510520655
2023/02/12 06:04:53.193,-55.50789680436481
2023/02/12 06:04:53.332,-43.21603563427683
2023/02/12 06:04:53.458,-74.24345015299879
2023/02/12 06:04:53.583,-48.26610521867597
2023/02/12 06:04:53.721,-59.537741238635135
2023/02/12 06:04:53.850,-84
2023/02/12 06:04:53.977,-79.97101815090032
2023/02/12 06:04:54.116,-81.28899830884139
2023/02/12 06:04:54.245,-69.01613269556412
2023/02/12 06:04:54.382,-53.80330934169397
2023/02/12 06:04:54.520,-44.48317827876389
2023/02/12 06:04:54.658,-55.550086921436986
2023/02/12 06:04:54.784,-41.29629579366142
2023/02/12 06:04:54.908,-41.4761753927648
2023/02/12 06:04:55.033,-72.06567490854081
2023/02/12 06:04:55.158,-84
2023/02/12 06:04:55.283,-84
2023/02/12 06:04:55.412,-74.96797445252366
2023/02/12 06:04:55.550,-41.047677018803164
2023/02/12 06:04:55.677,-41.57245213226617
2023/02/12 06:04:55.814,-41.91294576966315
2023/02/12 06:04:55.943,-51.93670946129586
2023/02/12 06:04:56.079,-65.45307599809153
