時刻,マイク配列 (Realtek High Definition Audio(SST)),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio)
2023/02/12 06:14:12.903,-84,-84
2023/02/12 06:14:13.041,-32.06881888312812,-84
2023/02/12 06:14:13.176,-19.45357296330668,-48.281203492077424
2023/02/12 06:14:13.317,-24.78872373962753,-52.38081264840825
2023/02/12 06:14:13.444,-24.213778143850814,-47.55995172840311
2023/02/12 06:14:13.579,-40.140447498965415,-75.6203057682096
2023/02/12 06:14:13.711,-44.283830027359095,-80.28560567051252
2023/02/12 06:14:13.849,-50.42384844370234,-72.88502385742893
2023/02/12 06:14:13.977,-18.113533599882828,-46.68205015507911
2023/02/12 06:14:14.112,-24.57971782472758,-52.16100485417999
2023/02/12 06:14:14.245,-32.676814888078226,-59.77881307087269
2023/02/12 06:14:14.380,-45.6304498031123,-73.27200979769054
2023/02/12 06:14:14.517,-48.92696411144749,-83.26417221133441
2023/02/12 06:14:14.648,-27.969856331888693,-79.01244368067205
2023/02/12 06:14:14.784,-24.210194211108046,-52.25051392490368
2023/02/12 06:14:14.910,-15.123173018386282,-46.229827909435016
2023/02/12 06:14:15.048,-15.570130459615761,-37.48921726340269
2023/02/12 06:14:15.177,-13.409994495420793,-55.27169079633079
2023/02/12 06:14:15.308,-25.217740830218837,-55.27169079633079
2023/02/12 06:14:15.443,-37.151071259852564,-61.8181585735189
2023/02/12 06:14:15.580,-35.05348435686824,-78.60072560305066
2023/02/12 06:14:15.712,-41.159892178040714,-80.02424071450113
2023/02/12 06:14:15.846,-47.60446788592723,-77.46034942610396
2023/02/12 06:14:15.977,-51.00125306947894,-78.69892670506897
2023/02/12 06:14:16.113,-51.22663650402999,-83.98072063518563
2023/02/12 06:14:16.245,-55.22134364633318,-78.49117247911002
2023/02/12 06:14:16.377,-50.56748226317225,-81.79924931251134
2023/02/12 06:14:16.517,-22.054949065022583,-41.01602271893686
2023/02/12 06:14:16.644,-28.972409345578498,-51.639540968484795
2023/02/12 06:14:16.782,-21.594082763399335,-47.799912556933265
2023/02/12 06:14:16.908,-14.386469968745768,-51.32866696285821
2023/02/12 06:14:17.038,-34.143399502081174,-50.09664353767156
2023/02/12 06:14:17.176,-31.261846822357796,-68.20022173113968
2023/02/12 06:14:17.314,-24.369065301477036,-62.139413249926974
2023/02/12 06:14:17.440,-24.976349312723602,-64.33050405735433
2023/02/12 06:14:17.567,-32.821145741199985,-64.33050405735433
