時刻,マイク (USB PnP Sound Device),マイク配列 (Realtek High Definition Audio(SST))
2023/02/12 06:44:17.552,-84,-84
2023/02/12 06:44:17.691,-35.9787866779986,-23.564824656830723
2023/02/12 06:44:17.831,-36.19567444622507,-24.4489667889358
2023/02/12 06:44:17.956,-35.7472775318258,-25.29745073136345
2023/02/12 06:44:18.096,-35.81004598766119,-40.09446033962363
2023/02/12 06:44:18.236,-35.91707134873678,-42.54615353950548
2023/02/12 06:44:18.376,-36.126534260283016,-47.553253569714286
2023/02/12 06:44:18.501,-35.66353013956005,-33.75917634776248
2023/02/12 06:44:18.642,-35.97997048030008,-15.809910456558573
2023/02/12 06:44:18.782,-35.94597348581963,-37.548262860844474
2023/02/12 06:44:18.921,-36.27965432458751,-47.16378846990732
2023/02/12 06:44:19.060,-35.925732737026095,-47.960809298271776
2023/02/12 06:44:19.185,-36.06485179049367,-22.952842471092417
2023/02/12 06:44:19.324,-35.876027361011666,-13.37992866285
2023/02/12 06:44:19.449,-35.8821239122635,-8.261373647492547
2023/02/12 06:44:19.587,-36.218467504956536,-24.66499039291935
2023/02/12 06:44:19.728,-36.16130128896125,-23.777628825898397
2023/02/12 06:44:19.854,-35.34346007991331,-18.780710427489694
2023/02/12 06:44:19.994,-35.702017459131525,-34.85107660092666
2023/02/12 06:44:20.135,-35.43308889141538,-42.94596668296678
2023/02/12 06:44:20.273,-36.089174101498436,-44.32736273920657
2023/02/12 06:44:20.412,-36.092357824736105,-49.50176900049275
2023/02/12 06:44:20.538,-36.59646769730488,-23.781243620273763
2023/02/12 06:44:20.678,-35.26378659326931,-36.178159436684695
2023/02/12 06:44:20.803,-35.96718945940418,-35.54236953603994
2023/02/12 06:44:20.928,-35.990844237802875,-21.16033114758739
2023/02/12 06:44:21.069,-35.972135564538085,-15.939775765262231
2023/02/12 06:44:21.207,-36.33239605015363,-13.351576965538555
2023/02/12 06:44:21.348,-35.784656190918184,-21.095386717770005
2023/02/12 06:44:21.473,-36.164288861103266,-11.89703988594359
2023/02/12 06:44:21.599,-35.82192465411416,-23.403916821209982
2023/02/12 06:44:21.724,-35.61269040623056,-34.32409404321346
2023/02/12 06:44:21.864,-37.4281718521378,-32.819383523684365
2023/02/12 06:44:22.004,-35.953407135525865,-37.31882062090174
2023/02/12 06:44:22.143,-36.092155901710406,-42.16286174598893
2023/02/12 06:44:22.282,-35.78331834187985,-23.546273917039777
2023/02/12 06:44:22.420,-35.88582275747763,-8.987982913839708
2023/02/12 06:44:22.546,-36.03179086897953,-28.765277109614953
2023/02/12 06:44:22.688,-36.09192963177548,-45.11965704078513
2023/02/12 06:44:22.829,-35.99653456123437,-39.30174461515164
2023/02/12 06:44:22.968,-35.81193750635788,-45.2500844924943
2023/02/12 06:44:23.107,-35.86140702335776,-49.18120092375987
2023/02/12 06:44:23.245,-36.099436982403475,-39.25843630402791
2023/02/12 06:44:23.383,-35.74105776596027,-16.929784633438885
2023/02/12 06:44:23.521,-35.561038193270576,-28.192867020772013
2023/02/12 06:44:23.661,-35.87228406236144,-30.588796870354173
2023/02/12 06:44:23.787,-36.067401585107596,-45.59642997575234
2023/02/12 06:44:23.926,-35.96352492831264,-21.31612085601608
2023/02/12 06:44:24.052,-35.949455952704284,-11.121002992062765
