時刻,CABLE Output (VB-Audio Virtual Cable),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio)
2023/02/12 04:30:40.443,-84,-84
2023/02/12 04:30:40.572,-71.19918394135043,-56.482278131770755
2023/02/12 04:30:40.702,-71.21503666625931,-44.602392397059454
2023/02/12 04:30:40.828,-71.04230160490471,-52.03844899395158
2023/02/12 04:30:40.968,-71.14300478575687,-41.299081121619345
2023/02/12 04:30:41.101,-71.19721675097183,-46.89301585008944
2023/02/12 04:30:41.236,-49.081312655125096,-49.30506343867566
2023/02/12 04:30:41.361,-54.236377134023115,-77.73906065967181
2023/02/12 04:30:41.506,-66.87688305070544,-75.17120945886205
2023/02/12 04:30:41.645,-71.24870176913534,-70.28156785618924
2023/02/12 04:30:41.784,-56.557555813019746,-43.32179456504932
2023/02/12 04:30:41.922,-45.994931549830724,-43.97825980115752
2023/02/12 04:30:42.048,-43.9533486177105,-48.90792147146696
2023/02/12 04:30:42.187,-62.12549230340752,-78.4467969352555
2023/02/12 04:30:42.319,-70.66745827042277,-79.63059887779218
2023/02/12 04:30:42.457,-71.19128234016166,-37.411457219574594
2023/02/12 04:30:42.594,-71.23412405381023,-30.102763234371338
2023/02/12 04:30:42.721,-50.17795728429049,-30.674551271114602
2023/02/12 04:30:42.860,-37.28822244864492,-37.20345753836114
2023/02/12 04:30:43.000,-31.70530990276958,-34.13867470214229
2023/02/12 04:30:43.132,-42.113537910573065,-32.30634005753547
2023/02/12 04:30:43.264,-37.62155767174502,-40.72848817765831
2023/02/12 04:30:43.391,-44.05187866744332,-70.15401453817823
2023/02/12 04:30:43.526,-52.49649179767799,-80.22339711383877
2023/02/12 04:30:43.654,-69.4824627286597,-79.21872635820031
2023/02/12 04:30:43.780,-69.43442727223189,-78.81090241720051
2023/02/12 04:30:43.907,-69.43459056931961,-81.07511064731311
2023/02/12 04:30:44.049,-69.45274913696898,-79.00641069208409
2023/02/12 04:30:44.186,-69.43002771198547,-31.397650682155493
2023/02/12 04:30:44.319,-69.43007234656496,-37.673756743240915
2023/02/12 04:30:44.455,-31.552089329493683,-37.98660301628231
2023/02/12 04:30:44.590,-34.504101404042444,-47.42420665251818
2023/02/12 04:30:44.720,-40.642691035240816,-24.297301454204785
2023/02/12 04:30:44.845,-43.81010489441657,-38.10369220720747
2023/02/12 04:30:44.972,-31.59621307580514,-43.71516008028169
2023/02/12 04:30:45.107,-42.65677955555408,-48.169265377713884
2023/02/12 04:30:45.232,-45.98680053387688,-46.476566336838644
2023/02/12 04:30:45.367,-43.6660714565878,-43.24154772434463
2023/02/12 04:30:45.503,-48.59131833840525,-36.68705188972838
2023/02/12 04:30:45.628,-41.14951512600399,-51.75027520761176
2023/02/12 04:30:45.768,-34.75793686374815,-37.516881056673
2023/02/12 04:30:45.894,-55.74093476913777,-46.99396490570717
2023/02/12 04:30:46.020,-49.01123221858298,-64.13833078428954
2023/02/12 04:30:46.152,-67.86342369961064,-40.722363227843374
2023/02/12 04:30:46.289,-50.3262079464057,-77.8559559911617
2023/02/12 04:30:46.421,-67.8600242393381,-78.89901340105541
2023/02/12 04:30:46.557,-68.15245637094891,-78.45061448743571
2023/02/12 04:30:46.689,-68.23618225898777,-36.656767046674176
2023/02/12 04:30:46.826,-28.790865676167865,-42.06242294835918
2023/02/12 04:30:46.955,-38.591551864818726,-42.77082414598914
2023/02/12 04:30:47.081,-43.470682080766124,-53.275931534047025
2023/02/12 04:30:47.219,-44.088354404246076,-35.340565759875695
2023/02/12 04:30:47.344,-44.4672884585373,-23.67948833486899
2023/02/12 04:30:47.483,-26.89823758852397,-36.11188438266644
2023/02/12 04:30:47.621,-28.512479772602532,-40.45184309002282
