時刻,CABLE Output (VB-Audio Virtual Cable),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio)
2023/02/12 04:33:03.876,-40.231976548857126,-45.50577426791222
2023/02/12 04:33:04.011,-67.96955576882026,-76.9151736367634
2023/02/12 04:33:04.136,-67.93533376553543,-79.62692021076512
2023/02/12 04:33:04.273,-67.95214968770313,-77.84235597878242
2023/02/12 04:33:04.405,-67.92995481744386,-54.265481539712766
2023/02/12 04:33:04.531,-67.91844491299712,-48.97267165489814
2023/02/12 04:33:04.667,-67.9450585627208,-62.880662946488016
2023/02/12 04:33:04.802,-67.93370026619004,-56.994421294961846
2023/02/12 04:33:04.938,-58.74617317561857,-54.08607683325994
2023/02/12 04:33:05.064,-38.17342421521144,-71.25481255961245
2023/02/12 04:33:05.202,-39.904755751281826,-80.95475824669052
2023/02/12 04:33:05.330,-36.740568267360366,-75.62865698022652
2023/02/12 04:33:05.456,-31.656890143456465,-54.5934043164005
2023/02/12 04:33:05.595,-34.459611172777144,-55.6404065325722
2023/02/12 04:33:05.734,-68.03252954440373,-60.89044418196017
2023/02/12 04:33:05.859,-67.95632202354352,-69.03624738674569
2023/02/12 04:33:05.985,-36.89712659807795,-74.5892243912866
2023/02/12 04:33:06.110,-34.93984989191775,-76.75782746848148
2023/02/12 04:33:06.250,-44.109516954967745,-65.16501434011226
2023/02/12 04:33:06.385,-55.31374953661662,-63.347078753526596
2023/02/12 04:33:06.523,-68.03298916634502,-52.41316828851506
2023/02/12 04:33:06.655,-67.92422206215522,-50.00983350211243
2023/02/12 04:33:06.780,-41.33832262941128,-60.197290413443916
2023/02/12 04:33:06.905,-41.46511753973498,-60.91374071301455
2023/02/12 04:33:07.037,-32.05351034814862,-68.04087332619959
2023/02/12 04:33:07.163,-36.400901813868245,-74.36838152409109
2023/02/12 04:33:07.298,-39.36742102207166,-74.8870523427093
2023/02/12 04:33:07.437,-36.926855376236055,-74.52718271150474
2023/02/12 04:33:07.568,-43.87894633726505,-80.11693826717212
2023/02/12 04:33:07.704,-60.80714914651398,-80.17889975878866
2023/02/12 04:33:07.842,-67.97056247107642,-77.5425407356706
2023/02/12 04:33:07.973,-67.97507242172091,-77.98942005627705
2023/02/12 04:33:08.111,-67.93148017572335,-60.22602196705154
2023/02/12 04:33:08.252,-67.93737313514534,-62.64293496034169
2023/02/12 04:33:08.381,-67.94386284994754,-56.2549072376903
2023/02/12 04:33:08.517,-39.3825272856937,-58.95813484366321
2023/02/12 04:33:08.648,-34.95485253599439,-68.69989112118894
2023/02/12 04:33:08.782,-36.349203694182066,-73.65881335800307
2023/02/12 04:33:08.913,-41.56036294249443,-76.11445214272103
2023/02/12 04:33:09.049,-31.890731396220602,-68.38801198663907
2023/02/12 04:33:09.186,-39.806187298021406,-65.88625433013424
2023/02/12 04:33:09.312,-43.01647880615225,-65.38886378214326
2023/02/12 04:33:09.439,-49.11215160844702,-76.53645549884916
2023/02/12 04:33:09.578,-33.7603553874803,-53.626199741943665
2023/02/12 04:33:09.713,-38.48077836877215,-71.14455646530428
2023/02/12 04:33:09.848,-47.18911344270395,-82.63477947046839
2023/02/12 04:33:09.973,-34.19040037812313,-76.3823563305616
2023/02/12 04:33:10.099,-33.92399174061114,-75.09522826871078
2023/02/12 04:33:10.234,-54.198192332239394,-80.89083225501406
2023/02/12 04:33:10.375,-44.34143218264347,-65.99351019186619
2023/02/12 04:33:10.500,-63.94296174383925,-52.031259263907316
2023/02/12 04:33:10.626,-67.90445905705327,-56.41849175385608
2023/02/12 04:33:10.756,-67.96279418482055,-60.41830751149503
2023/02/12 04:33:10.882,-24.668125311732616,-66.48218142724166
2023/02/12 04:33:11.014,-33.42652058171541,-63.28436172051903
2023/02/12 04:33:11.154,-36.622084484155565,-52.02018467477616
2023/02/12 04:33:11.282,-49.5173174093797,-61.31992691334921
2023/02/12 04:33:11.414,-44.460767641067314,-61.31992691334921
2023/02/12 04:33:11.549,-31.206962704760638,-62.9721078600856
2023/02/12 04:33:11.688,-31.326520316929294,-66.16913825635834
2023/02/12 04:33:11.816,-26.930002893357027,-63.98885803843474
2023/02/12 04:33:11.962,-34.41829107027352,-70.95003823742002
2023/02/12 04:33:12.099,-28.06201522799323,-68.28192883788992
2023/02/12 04:33:12.234,-24.754837621384283,-70.22460739001276
2023/02/12 04:33:12.363,-39.99381385841433,-67.28764075159397
