時刻,CABLE Output (VB-Audio Virtual Cable),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio)
2023/02/12 04:34:31.354,-50.57884878799146,-63.28365676113432
2023/02/12 04:34:31.491,-71.20365320648132,-73.64936215505496
2023/02/12 04:34:31.622,-71.1698776324147,-75.65671891853194
2023/02/12 04:34:31.751,-71.15579434219528,-77.64956613590924
2023/02/12 04:34:31.877,-71.18953101214068,-42.09893122429082
2023/02/12 04:34:32.015,-71.17836118483841,-38.95406413081792
2023/02/12 04:34:32.142,-38.461214961189135,-51.96332736150565
2023/02/12 04:34:32.281,-29.934122459790252,-45.10097517999917
2023/02/12 04:34:32.409,-50.19834265437464,-42.43012672945805
2023/02/12 04:34:32.535,-41.51733173721326,-55.75712964745604
2023/02/12 04:34:32.672,-31.301246091383923,-72.7568035198705
2023/02/12 04:34:32.797,-54.30638364368798,-74.55671832580055
2023/02/12 04:34:32.933,-69.72477665067093,-54.83324483845041
2023/02/12 04:34:33.065,-69.352486418187,-50.16396387499127
2023/02/12 04:34:33.192,-42.58799095929093,-49.36907671329004
2023/02/12 04:34:33.317,-35.3084522735483,-57.0085031068632
2023/02/12 04:34:33.442,-37.689254992316286,-76.6398382926
2023/02/12 04:34:33.567,-42.286335887381284,-77.73971904098082
2023/02/12 04:34:33.699,-68.51919220508476,-77.38645040728531
2023/02/12 04:34:33.838,-59.13420690338928,-45.93117661885391
2023/02/12 04:34:33.978,-37.136500377768805,-43.412707822926436
2023/02/12 04:34:34.111,-28.05772451808008,-43.412707822926436
2023/02/12 04:34:34.249,-32.47490548434348,-52.70652139286564
2023/02/12 04:34:34.383,-36.99049307390427,-52.70652139286564
2023/02/12 04:34:34.515,-30.546695611771746,-68.61362115506768
2023/02/12 04:34:34.645,-43.41860752696613,-79.0880110147335
2023/02/12 04:34:34.782,-52.11043408065315,-80.90321915349028
2023/02/12 04:34:34.909,-68.09398553071719,-77.94779127956363
2023/02/12 04:34:35.047,-67.94420625126716,-80.7901154195161
2023/02/12 04:34:35.176,-67.92289319745117,-78.07303717508628
