時刻,CABLE Output (VB-Audio Virtual Cable)
2023/02/12 04:37:28.778,-67.27549611041812
2023/02/12 04:37:28.909,-73.3717401381417
2023/02/12 04:37:29.046,-73.3352439903817
2023/02/12 04:37:29.179,-73.36637884152341
2023/02/12 04:37:29.317,-73.25419581170812
2023/02/12 04:37:29.444,-73.4395662658888
2023/02/12 04:37:29.580,-73.43450571896481
2023/02/12 04:37:29.716,-73.47903407208535
2023/02/12 04:37:29.845,-73.69416625033183
2023/02/12 04:37:29.983,-73.48342797703592
2023/02/12 04:37:30.110,-73.77576225618414
2023/02/12 04:37:30.251,-73.53172107207845
2023/02/12 04:37:30.377,-73.4543030699446
2023/02/12 04:37:30.505,-73.4456077236585
2023/02/12 04:37:30.642,-73.43882328204305
2023/02/12 04:37:30.780,-73.67650495523029
2023/02/12 04:37:30.906,-73.70217135945379
2023/02/12 04:37:31.032,-73.48385971746383
2023/02/12 04:37:31.158,-73.40791474526094
2023/02/12 04:37:31.296,-73.45301182163466
2023/02/12 04:37:31.428,-73.41345316010955
2023/02/12 04:37:31.564,-73.56668578216662
2023/02/12 04:37:31.697,-73.79672158828174
2023/02/12 04:37:31.830,-73.64466866270534
2023/02/12 04:37:31.961,-73.49986794635404
2023/02/12 04:37:32.101,-73.42146064779385
2023/02/12 04:37:32.234,-73.45819609256759
2023/02/12 04:37:32.362,-73.43888354527554
2023/02/12 04:37:32.500,-73.48299116895677
2023/02/12 04:37:32.626,-73.43460086431452
2023/02/12 04:37:32.771,-73.47913625522752
2023/02/12 04:37:32.903,-73.42394046522169
2023/02/12 04:37:33.030,-73.46064002936494
2023/02/12 04:37:33.158,-73.431303936062
2023/02/12 04:37:33.299,-73.47915419357014
2023/02/12 04:37:33.427,-73.43411749259866
2023/02/12 04:37:33.570,-73.4149556279704
2023/02/12 04:37:33.702,-73.3771646416097
2023/02/12 04:37:33.831,-73.8326979460526
2023/02/12 04:37:33.973,-73.4568414610281
2023/02/12 04:37:34.100,-73.4465566778492
2023/02/12 04:37:34.236,-73.45516446935443
2023/02/12 04:37:34.374,-73.44489286317642
2023/02/12 04:37:34.501,-73.46520856261517
2023/02/12 04:37:34.627,-73.48525313315275
2023/02/12 04:37:34.769,-73.79550689434265
2023/02/12 04:37:34.901,-73.79550689434265
2023/02/12 04:37:35.032,-73.42438609389446
2023/02/12 04:37:35.157,-73.44998975695087
2023/02/12 04:37:35.296,-73.43970154073405
2023/02/12 04:37:35.425,-73.44464876922012
2023/02/12 04:37:35.556,-59.76685116278799
2023/02/12 04:37:35.694,-49.45402829642657
2023/02/12 04:37:35.831,-53.9683940358156
2023/02/12 04:37:35.959,-58.66807823641486
2023/02/12 04:37:36.092,-73.54358001666014
2023/02/12 04:37:36.220,-53.7440681039234
2023/02/12 04:37:36.358,-44.546670901812
2023/02/12 04:37:36.486,-48.87272298938896
2023/02/12 04:37:36.625,-63.26481253564182
2023/02/12 04:37:36.750,-37.6203955579189
2023/02/12 04:37:36.876,-54.82209821481436
2023/02/12 04:37:37.016,-54.547677030410554
2023/02/12 04:37:37.142,-65.57727548016635
2023/02/12 04:37:37.281,-66.7676454512498
2023/02/12 04:37:37.421,-55.27755504222077
2023/02/12 04:37:37.547,-53.44328386568612
2023/02/12 04:37:37.682,-56.30917063750222
2023/02/12 04:37:37.817,-73.67255380436663
2023/02/12 04:37:37.946,-73.51415487885352
2023/02/12 04:37:38.077,-73.46607488833199
2023/02/12 04:37:38.208,-54.19960836851379
2023/02/12 04:37:38.343,-37.23314704130563
2023/02/12 04:37:38.470,-41.27119737790419
2023/02/12 04:37:38.608,-47.298561770156766
2023/02/12 04:37:38.749,-46.00631283716231
2023/02/12 04:37:38.875,-50.84486008831515
2023/02/12 04:37:39.000,-61.13647632780602
2023/02/12 04:37:39.125,-44.455527347448644
2023/02/12 04:37:39.251,-58.25618898125499
2023/02/12 04:37:39.377,-61.86328767510244
2023/02/12 04:37:39.504,-51.32141657015592
2023/02/12 04:37:39.643,-55.202513225004594
2023/02/12 04:37:39.771,-67.00725433475105
2023/02/12 04:37:39.906,-54.21235454143599
2023/02/12 04:37:40.030,-47.801450172943504
2023/02/12 04:37:40.158,-55.11833464669323
2023/02/12 04:37:40.298,-63.84823152016289
2023/02/12 04:37:40.431,-43.39621756210229
2023/02/12 04:37:40.568,-56.56218980839829
2023/02/12 04:37:40.705,-73.72627980342004
2023/02/12 04:37:40.834,-73.4382205552955
2023/02/12 04:37:40.961,-47.766011334337705
2023/02/12 04:37:41.094,-43.04433312515264
2023/02/12 04:37:41.233,-59.96056983499091
2023/02/12 04:37:41.360,-47.94448510143707
2023/02/12 04:37:41.502,-46.42727743216188
2023/02/12 04:37:41.628,-54.77264299074405
2023/02/12 04:37:41.771,-73.47834423895152
2023/02/12 04:37:41.908,-73.41621089058043
2023/02/12 04:37:42.050,-55.06777734387949
2023/02/12 04:37:42.179,-43.13876613396337
2023/02/12 04:37:42.312,-49.201462864901
2023/02/12 04:37:42.447,-45.49089194458472
2023/02/12 04:37:42.603,-44.71613433240287
2023/02/12 04:37:42.734,-52.80705962814124
2023/02/12 04:37:42.860,-52.41499314347837
2023/02/12 04:37:43.000,-57.765480789605206
2023/02/12 04:37:43.127,-41.37701211182588
2023/02/12 04:37:43.265,-45.72741239785237
2023/02/12 04:37:43.391,-41.08576688849663
2023/02/12 04:37:43.519,-50.13542161517965
2023/02/12 04:37:43.656,-50.13542161517965
2023/02/12 04:37:43.781,-54.317637478053285
2023/02/12 04:37:43.907,-64.11376713371509
2023/02/12 04:37:44.032,-61.26761131389463
2023/02/12 04:37:44.161,-73.75988833335927
2023/02/12 04:37:44.299,-73.45125170458424
2023/02/12 04:37:44.429,-57.52290430267787
2023/02/12 04:37:44.563,-39.847987194160524
2023/02/12 04:37:44.698,-37.77345136630869
2023/02/12 04:37:44.831,-40.523429036751736
2023/02/12 04:37:44.960,-52.357521454891405
2023/02/12 04:37:45.094,-51.08386241010864
2023/02/12 04:37:45.218,-65.05079161757615
2023/02/12 04:37:45.346,-52.824190338927124
2023/02/12 04:37:45.486,-63.24367546883087
2023/02/12 04:37:45.625,-49.925451340927
2023/02/12 04:37:45.750,-47.0891714129355
2023/02/12 04:37:45.876,-58.575825201669964
2023/02/12 04:37:46.012,-59.73659807495406
2023/02/12 04:37:46.148,-51.96066691594066
2023/02/12 04:37:46.281,-51.96066691594066
2023/02/12 04:37:46.413,-45.78695899151218
2023/02/12 04:37:46.546,-63.20948319260918
2023/02/12 04:37:46.676,-73.57123853902917
2023/02/12 04:37:46.812,-73.40092618970688
2023/02/12 04:37:46.938,-53.63817162836871
2023/02/12 04:37:47.063,-36.63439592859926
2023/02/12 04:37:47.189,-36.61622500613753
2023/02/12 04:37:47.315,-45.168645404732146
2023/02/12 04:37:47.441,-40.43308663735843
2023/02/12 04:37:47.578,-44.50066857167595
2023/02/12 04:37:47.718,-41.27367528397446
2023/02/12 04:37:47.845,-66.27546869677663
2023/02/12 04:37:47.985,-42.14679109874755
2023/02/12 04:37:48.111,-44.86073421067636
2023/02/12 04:37:48.251,-44.8972830049144
2023/02/12 04:37:48.376,-43.900718486548286
2023/02/12 04:37:48.516,-59.631657840283616
2023/02/12 04:37:48.645,-44.49025793267475
2023/02/12 04:37:48.779,-47.42602146782502
2023/02/12 04:37:48.905,-49.74786882632314
2023/02/12 04:37:49.034,-49.188852179597106
2023/02/12 04:37:49.172,-53.294804119509024
2023/02/12 04:37:49.312,-69.90971815958704
2023/02/12 04:37:49.447,-70.00948330706215
2023/02/12 04:37:49.577,-72.51238347209002
2023/02/12 04:37:49.711,-59.99263489720576
2023/02/12 04:37:49.845,-73.50800195194834
