時刻,CABLE Output (VB-Audio Virtual Cable)
2023/02/12 04:40:09.147,-73.6429991776705
2023/02/12 04:40:09.273,-73.44417723808118
2023/02/12 04:40:09.408,-73.42367173449789
2023/02/12 04:40:09.535,-73.45864660691474
2023/02/12 04:40:09.672,-73.44006535590952
2023/02/12 04:40:09.813,-73.43438246762963
2023/02/12 04:40:09.939,-73.53231524593907
2023/02/12 04:40:10.079,-73.52591014063897
2023/02/12 04:40:10.207,-73.43396853322795
2023/02/12 04:40:10.345,-73.45712121346904
2023/02/12 04:40:10.479,-74.08385891461154
2023/02/12 04:40:10.612,-73.77235452641033
2023/02/12 04:40:10.749,-73.46207014416254
2023/02/12 04:40:10.877,-73.39728937014385
2023/02/12 04:40:11.009,-73.97894551344366
2023/02/12 04:40:11.143,-23.806324857598405
2023/02/12 04:40:11.273,-16.736528224819864
2023/02/12 04:40:11.406,-21.218450815075308
2023/02/12 04:40:11.539,-20.621735547911165
2023/02/12 04:40:11.671,-18.58847065808742
2023/02/12 04:40:11.805,-28.064187169131163
2023/02/12 04:40:11.937,-26.572448419852385
2023/02/12 04:40:12.064,-24.165810500569226
2023/02/12 04:40:12.191,-22.156024906732092
2023/02/12 04:40:12.328,-45.05146974682199
2023/02/12 04:40:12.469,-13.124161256840747
2023/02/12 04:40:12.610,-32.67238223085358
2023/02/12 04:40:12.734,-24.77918461132539
2023/02/12 04:40:12.861,-41.65221827252793
2023/02/12 04:40:13.001,-14.390313827518534
2023/02/12 04:40:13.127,-13.910036672351163
2023/02/12 04:40:13.258,-21.942610448277385
2023/02/12 04:40:13.395,-15.914381250911209
2023/02/12 04:40:13.520,-41.497793898407366
2023/02/12 04:40:13.658,-61.3468489129744
2023/02/12 04:40:13.783,-25.416251731463472
2023/02/12 04:40:13.921,-23.23199890990955
2023/02/12 04:40:14.046,-17.61522249650143
2023/02/12 04:40:14.172,-25.157591718246067
2023/02/12 04:40:14.312,-17.774281615087457
2023/02/12 04:40:14.440,-73.04097829615544
2023/02/12 04:40:14.578,-72.73630343957048
2023/02/12 04:40:14.704,-62.49056736802453
2023/02/12 04:40:14.831,-22.378093669166223
2023/02/12 04:40:14.957,-32.980573414948594
2023/02/12 04:40:15.097,-11.680652853821432
2023/02/12 04:40:15.222,-31.172104300835066
2023/02/12 04:40:15.359,-73.4005566267509
2023/02/12 04:40:15.488,-73.41914715403925
2023/02/12 04:40:15.624,-24.62764798062551
2023/02/12 04:40:15.756,-14.684477336276558
2023/02/12 04:40:15.892,-22.70403846033938
2023/02/12 04:40:16.018,-28.844854076436505
2023/02/12 04:40:16.156,-12.611373840236963
2023/02/12 04:40:16.292,-14.94781693590994
2023/02/12 04:40:16.424,-18.621954549775012
2023/02/12 04:40:16.555,-23.826927733922503
2023/02/12 04:40:16.682,-19.58406048893322
2023/02/12 04:40:16.818,-17.991295044310146
2023/02/12 04:40:16.955,-57.84918271911329
2023/02/12 04:40:17.080,-64.63359612016487
2023/02/12 04:40:17.218,-54.43286877321481
2023/02/12 04:40:17.344,-13.778468763322195
2023/02/12 04:40:17.471,-15.677780295204027
2023/02/12 04:40:17.610,-16.44700912919967
2023/02/12 04:40:17.738,-20.1893089996328
2023/02/12 04:40:17.869,-47.721445907500815
2023/02/12 04:40:18.004,-76.24769266292792
2023/02/12 04:40:18.133,-76.43746303560901
2023/02/12 04:40:18.259,-76.06407551510176
2023/02/12 04:40:18.391,-76.24757323806301
2023/02/12 04:40:18.527,-76.42430876861718
2023/02/12 04:40:18.658,-58.519098790791176
2023/02/12 04:40:18.785,-45.991854539524965
2023/02/12 04:40:18.923,-61.67919850942147
2023/02/12 04:40:19.047,-50.181741228596486
2023/02/12 04:40:19.175,-57.891143608583555
2023/02/12 04:40:19.316,-68.48038679574788
2023/02/12 04:40:19.452,-72.0727962736319
2023/02/12 04:40:19.578,-76.31951136339093
2023/02/12 04:40:19.704,-76.33221698553152
2023/02/12 04:40:19.831,-76.41174929897282
2023/02/12 04:40:19.959,-76.32561607386484
2023/02/12 04:40:20.096,-76.29894249207678
2023/02/12 04:40:20.221,-76.56581918188164
2023/02/12 04:40:20.359,-10.919668131919668
2023/02/12 04:40:20.494,-22.864341388877584
2023/02/12 04:40:20.626,-21.43474496778358
2023/02/12 04:40:20.758,-65.6986290375029
2023/02/12 04:40:20.891,-75.18707748140285
2023/02/12 04:40:21.024,-76.00956830953955
2023/02/12 04:40:21.155,-76.42341221234508
2023/02/12 04:40:21.281,-62.081534651045956
2023/02/12 04:40:21.421,-75.51140626740118
2023/02/12 04:40:21.547,-76.04673341214637
2023/02/12 04:40:21.675,-75.09280101044163
2023/02/12 04:40:21.802,-75.81185657993495
2023/02/12 04:40:21.948,-76.50606508311357
2023/02/12 04:40:22.078,-76.30183511304693
2023/02/12 04:40:22.207,-76.40200220860456
2023/02/12 04:40:22.343,-76.32960465375324
2023/02/12 04:40:22.470,-76.35403589956238
2023/02/12 04:40:22.609,-75.63520082157245
2023/02/12 04:40:22.737,-76.3520405773792
2023/02/12 04:40:22.869,-76.37291340791216
2023/02/12 04:40:23.005,-76.33922487507914
2023/02/12 04:40:23.142,-76.37378390053635
2023/02/12 04:40:23.279,-76.37057318448647
2023/02/12 04:40:23.407,-76.38983394728162
2023/02/12 04:40:23.537,-76.32488419099259
2023/02/12 04:40:23.681,-76.33215485570304
2023/02/12 04:40:23.816,-76.38446442617625
2023/02/12 04:40:23.946,-76.36167876506707
2023/02/12 04:40:24.080,-76.38321248455279
2023/02/12 04:40:24.218,-76.41584154326091
2023/02/12 04:40:24.345,-76.35230143696026
2023/02/12 04:40:24.473,-76.35635069048644
2023/02/12 04:40:24.597,-76.33126846307663
2023/02/12 04:40:24.724,-76.38912703134616
2023/02/12 04:40:24.859,-76.35863345224509
2023/02/12 04:40:24.996,-76.43982556736692
2023/02/12 04:40:25.142,-76.36440318790056
2023/02/12 04:40:25.278,-76.3472142304498
2023/02/12 04:40:25.408,-76.34986299446551
2023/02/12 04:40:25.538,-76.39581543961027
2023/02/12 04:40:25.678,-76.34362724978791
