時刻,CABLE Output (VB-Audio Virtual Cable)
2023/02/12 05:11:28.019,-73.42745941884326
2023/02/12 05:11:28.159,-73.06043079865692
2023/02/12 05:11:28.286,-73.02576750657785
2023/02/12 05:11:28.412,-73.07359857349888
2023/02/12 05:11:28.550,-73.02260739880369
2023/02/12 05:11:28.677,-73.04507772208905
2023/02/12 05:11:28.815,-73.02914757817862
2023/02/12 05:11:28.941,-73.05871561576427
2023/02/12 05:11:29.072,-73.0131344866301
2023/02/12 05:11:29.212,-73.03936729214799
2023/02/12 05:11:29.338,-73.06224019185437
2023/02/12 05:11:29.476,-73.08821228349599
2023/02/12 05:11:29.602,-73.08808332447776
2023/02/12 05:11:29.740,-73.07780780410062
2023/02/12 05:11:29.879,-73.07592630968126
2023/02/12 05:11:30.004,-73.04746565595012
2023/02/12 05:11:30.144,-72.94593152964342
2023/02/12 05:11:30.271,-73.03269983900017
2023/02/12 05:11:30.408,-72.98839692672958
2023/02/12 05:11:30.534,-73.00928824442678
2023/02/12 05:11:30.660,-72.99401032767422
2023/02/12 05:11:30.788,-73.00535389766497
2023/02/12 05:11:30.926,-72.99954822218727
2023/02/12 05:11:31.051,-72.9986303613599
2023/02/12 05:11:31.189,-72.97805789532298
2023/02/12 05:11:31.326,-72.99460035114652
2023/02/12 05:11:31.464,-73.0157431215241
2023/02/12 05:11:31.589,-73.01192737908583
2023/02/12 05:11:31.722,-73.0173824542669
2023/02/12 05:11:31.855,-73.0092709721398
2023/02/12 05:11:31.991,-73.02924828419788
2023/02/12 05:11:32.127,-73.03756413252933
2023/02/12 05:11:32.259,-73.01173039880845
2023/02/12 05:11:32.392,-73.02708122779036
2023/02/12 05:11:32.518,-73.00927553038726
2023/02/12 05:11:32.645,-73.00927553038726
2023/02/12 05:11:32.771,-73.01026410081042
2023/02/12 05:11:32.909,-72.98887289703276
2023/02/12 05:11:33.034,-73.03859223239873
2023/02/12 05:11:33.162,-72.97063630842194
2023/02/12 05:11:33.299,-73.01000239156181
2023/02/12 05:11:33.426,-72.97192708037446
2023/02/12 05:11:33.551,-73.03426028521227
2023/02/12 05:11:33.690,-72.98894388672431
2023/02/12 05:11:33.822,-73.00701431876283
2023/02/12 05:11:33.956,-72.9995034862016
2023/02/12 05:11:34.090,-73.00830418215953
2023/02/12 05:11:34.226,-72.95932006317506
2023/02/12 05:11:34.354,-73.00819834586682
2023/02/12 05:11:34.490,-73.01414501795641
2023/02/12 05:11:34.627,-73.01229705135316
2023/02/12 05:11:34.755,-73.04367603890128
2023/02/12 05:11:34.893,-73.05306288151743
2023/02/12 05:11:35.022,-72.9880160001145
2023/02/12 05:11:35.160,-73.01255475653012
2023/02/12 05:11:35.290,-72.99046217056048
2023/02/12 05:11:35.424,-73.04766979257894
2023/02/12 05:11:35.562,-72.9991855493297
2023/02/12 05:11:35.700,-73.0292387148888
2023/02/12 05:11:35.832,-73.00988398108191
2023/02/12 05:11:35.959,-72.99780656639925
2023/02/12 05:11:36.087,-73.03727861461746
2023/02/12 05:11:36.221,-72.99681048822102
2023/02/12 05:11:36.352,-73.00726031741382
2023/02/12 05:11:36.491,-73.00318240130225
2023/02/12 05:11:36.628,-72.99614353334485
2023/02/12 05:11:36.758,-73.02375634266386
2023/02/12 05:11:36.893,-73.00742993627756
2023/02/12 05:11:37.018,-73.0032294653125
2023/02/12 05:11:37.144,-73.00715552103212
2023/02/12 05:11:37.285,-73.00803645549928
2023/02/12 05:11:37.425,-72.746941834252
2023/02/12 05:11:37.553,-73.0123014408436
2023/02/12 05:11:37.690,-73.05620071658515
2023/02/12 05:11:37.822,-73.05438062568504
2023/02/12 05:11:37.954,-73.03370998348025
2023/02/12 05:11:38.080,-73.0374226134562
2023/02/12 05:11:38.205,-73.03557471550414
2023/02/12 05:11:38.341,-73.02412662950708
2023/02/12 05:11:38.471,-73.03819051222567
2023/02/12 05:11:38.612,-72.99589956895599
2023/02/12 05:11:38.739,-73.02890887877514
2023/02/12 05:11:38.879,-72.98401900981506
2023/02/12 05:11:39.020,-72.94229448365941
2023/02/12 05:11:39.145,-73.00219148796351
2023/02/12 05:11:39.272,-73.00192068996796
2023/02/12 05:11:39.409,-73.01844743405566
2023/02/12 05:11:39.533,-72.99142068045101
2023/02/12 05:11:39.660,-72.99184299054707
2023/02/12 05:11:39.785,-73.03813243138696
2023/02/12 05:11:39.924,-73.0460360999358
2023/02/12 05:11:40.064,-73.0245611545935
2023/02/12 05:11:40.195,-73.0495168326332
2023/02/12 05:11:40.323,-73.05847918884946
2023/02/12 05:11:40.459,-73.0517216005576
2023/02/12 05:11:40.587,-73.09700457683684
2023/02/12 05:11:40.721,-73.04005699956286
2023/02/12 05:11:40.852,-73.07973141959911
2023/02/12 05:11:40.990,-73.02197259095352
