時刻,CABLE Output (VB-Audio Virtual Cable)
2023/02/12 05:14:49.525,-76.29768898032458
2023/02/12 05:14:49.651,-73.48600198519195
2023/02/12 05:14:49.786,-73.42152276704928
2023/02/12 05:14:49.911,-73.4588977666692
2023/02/12 05:14:50.052,-73.48224802616207
2023/02/12 05:14:50.185,-73.49655380718387
2023/02/12 05:14:50.320,-73.47076105071928
2023/02/12 05:14:50.446,-73.45836851292407
2023/02/12 05:14:50.582,-73.5074114565908
2023/02/12 05:14:50.715,-43.49688521367929
2023/02/12 05:14:50.842,-57.26576175325135
2023/02/12 05:14:50.977,-73.51523473730899
2023/02/12 05:14:51.113,-73.60080195060254
2023/02/12 05:14:51.252,-73.49078843168913
2023/02/12 05:14:51.386,-73.47947000373152
2023/02/12 05:14:51.520,-73.48499623603801
2023/02/12 05:14:51.651,-73.47190793612198
2023/02/12 05:14:51.786,-73.49725743765325
2023/02/12 05:14:51.912,-73.49433460307338
2023/02/12 05:14:52.050,-73.4786841666373
2023/02/12 05:14:52.182,-73.4928087820554
2023/02/12 05:14:52.320,-73.48032222645044
2023/02/12 05:14:52.446,-73.4980308977746
2023/02/12 05:14:52.582,-73.47634150933315
2023/02/12 05:14:52.709,-73.49809998072358
2023/02/12 05:14:52.835,-73.47078777683878
2023/02/12 05:14:52.967,-73.4959311641987
2023/02/12 05:14:53.099,-73.45464763940446
2023/02/12 05:14:53.223,-73.48843081810516
2023/02/12 05:14:53.350,-73.50079304215765
2023/02/12 05:14:53.486,-73.53742915872918
2023/02/12 05:14:53.612,-73.48156836411222
2023/02/12 05:14:53.739,-73.48825162315799
2023/02/12 05:14:53.879,-73.50584085247321
2023/02/12 05:14:54.005,-73.48908494019929
2023/02/12 05:14:54.134,-73.49862173075564
2023/02/12 05:14:54.272,-73.51480525827179
2023/02/12 05:14:54.402,-73.47764882346003
2023/02/12 05:14:54.536,-73.53142533076073
2023/02/12 05:14:54.663,-73.51291271375929
2023/02/12 05:14:54.800,-73.5095926611507
2023/02/12 05:14:54.935,-73.49700601511132
2023/02/12 05:14:55.069,-73.50326747349207
2023/02/12 05:14:55.201,-73.4871477871331
2023/02/12 05:14:55.333,-73.49841337394027
2023/02/12 05:14:55.464,-73.50200399259478
2023/02/12 05:14:55.599,-73.50292903443562
2023/02/12 05:14:55.724,-73.5080730361287
2023/02/12 05:14:55.850,-73.48012879593678
2023/02/12 05:14:55.988,-73.50950736509185
2023/02/12 05:14:56.116,-73.42585632363254
2023/02/12 05:14:56.254,-73.5146572398633
2023/02/12 05:14:56.384,-73.47944535187412
2023/02/12 05:14:56.518,-73.49037522007698
2023/02/12 05:14:56.650,-73.47747651321312
2023/02/12 05:14:56.786,-73.47265129013516
2023/02/12 05:14:56.914,-73.49068386448879
2023/02/12 05:14:57.051,-73.48817316076367
2023/02/12 05:14:57.182,-73.47495384924913
2023/02/12 05:14:57.319,-73.50864946786915
2023/02/12 05:14:57.449,-73.51732800662609
2023/02/12 05:14:57.581,-73.48521691597786
2023/02/12 05:14:57.707,-73.48442532197357
2023/02/12 05:14:57.847,-73.49359280405466
2023/02/12 05:14:57.973,-73.46105540170794
2023/02/12 05:14:58.097,-73.4947711644551
2023/02/12 05:14:58.224,-73.44172329830005
2023/02/12 05:14:58.350,-73.50454660321863
2023/02/12 05:14:58.491,-73.51704028019655
2023/02/12 05:14:58.630,-73.50638338568999
2023/02/12 05:14:58.755,-73.51447830519005
2023/02/12 05:14:58.884,-73.51396223297773
2023/02/12 05:14:59.018,-73.49642744367087
2023/02/12 05:14:59.143,-73.5051350806708
2023/02/12 05:14:59.269,-73.5105612344226
2023/02/12 05:14:59.396,-73.48072619300746
2023/02/12 05:14:59.522,-73.50040447409766
2023/02/12 05:14:59.649,-73.51993848886848
2023/02/12 05:14:59.785,-73.49222307127133
2023/02/12 05:14:59.912,-73.51190782770344
2023/02/12 05:15:00.049,-73.48031733835286
2023/02/12 05:15:00.182,-73.4828661530386
2023/02/12 05:15:00.316,-73.48197732650375
2023/02/12 05:15:00.441,-73.52948081457873
2023/02/12 05:15:00.569,-73.48387726812967
2023/02/12 05:15:00.708,-73.51384074462567
2023/02/12 05:15:00.834,-73.50817642334113
2023/02/12 05:15:00.961,-68.52452153134665
2023/02/12 05:15:01.098,-73.51578194600458
2023/02/12 05:15:01.224,-73.4732727007459
2023/02/12 05:15:01.351,-73.51883292830861
2023/02/12 05:15:01.488,-73.4740680347728
2023/02/12 05:15:01.629,-73.4967072858854
2023/02/12 05:15:01.770,-73.48060362251537
2023/02/12 05:15:01.894,-73.51521191868383
2023/02/12 05:15:02.019,-73.478703810407
2023/02/12 05:15:02.150,-73.48190029268446
2023/02/12 05:15:02.286,-73.48779766763863
2023/02/12 05:15:02.412,-73.47537385769805
2023/02/12 05:15:02.538,-73.49259234639958
