時刻,CABLE Output (VB-Audio Virtual Cable)
2023/02/12 05:15:17.788,-73.49377508349826
2023/02/12 05:15:17.921,-73.35468828483133
2023/02/12 05:15:18.053,-73.35468828483133
2023/02/12 05:15:18.193,-73.38867004102356
2023/02/12 05:15:18.336,-73.39362848499601
2023/02/12 05:15:18.461,-73.36201859410401
2023/02/12 05:15:18.596,-73.3390868758793
2023/02/12 05:15:18.734,-57.733516597046346
2023/02/12 05:15:18.867,-73.42111817114079
2023/02/12 05:15:18.996,-73.39419152529229
2023/02/12 05:15:19.130,-73.40123178033008
2023/02/12 05:15:19.268,-73.38005676668584
2023/02/12 05:15:19.395,-73.38266197017948
2023/02/12 05:15:19.521,-73.32036741806075
2023/02/12 05:15:19.646,-73.33964227655669
2023/02/12 05:15:19.785,-73.32714827480251
2023/02/12 05:15:19.910,-73.33404709781344
2023/02/12 05:15:20.051,-73.33533525020982
2023/02/12 05:15:20.176,-73.35197333127046
2023/02/12 05:15:20.316,-73.3169626420863
2023/02/12 05:15:20.446,-73.34823269561747
2023/02/12 05:15:20.584,-73.4065118445204
2023/02/12 05:15:20.723,-73.43346231583284
2023/02/12 05:15:20.849,-73.39965657918117
2023/02/12 05:15:20.989,-73.37162237920681
2023/02/12 05:15:21.135,-73.31865558380191
2023/02/12 05:15:21.273,-73.34701838823582
2023/02/12 05:15:21.411,-73.33815566714505
2023/02/12 05:15:21.550,-73.33815566714505
2023/02/12 05:15:21.675,-73.34804810305027
2023/02/12 05:15:21.801,-73.36369175225062
2023/02/12 05:15:21.927,-73.35650990807353
2023/02/12 05:15:22.054,-73.33476350711298
2023/02/12 05:15:22.191,-73.3079791368315
2023/02/12 05:15:22.317,-73.43122030540515
2023/02/12 05:15:22.445,-73.40846925147103
2023/02/12 05:15:22.582,-73.38647749298283
2023/02/12 05:15:22.709,-73.39340984685145
2023/02/12 05:15:22.854,-73.3783436273728
2023/02/12 05:15:22.986,-73.32150584213976
2023/02/12 05:15:23.127,-73.33413846810515
2023/02/12 05:15:23.254,-73.3131270152157
2023/02/12 05:15:23.378,-73.3383350992408
2023/02/12 05:15:23.510,-73.33839433697598
2023/02/12 05:15:23.637,-73.32628724158026
2023/02/12 05:15:23.772,-73.33314306783284
2023/02/12 05:15:23.910,-73.31622363634311
2023/02/12 05:15:24.041,-73.33359365925118
2023/02/12 05:15:24.179,-73.33510400011191
2023/02/12 05:15:24.316,-73.31189428293749
2023/02/12 05:15:24.448,-73.32224364589712
2023/02/12 05:15:24.584,-71.69908089126102
2023/02/12 05:15:24.712,-73.42991964813477
2023/02/12 05:15:24.847,-73.40067475591171
2023/02/12 05:15:24.979,-73.40281291487608
2023/02/12 05:15:25.113,-73.37785711360152
2023/02/12 05:15:25.254,-73.3977119489521
2023/02/12 05:15:25.394,-73.35764924479163
2023/02/12 05:15:25.520,-73.42471613623586
2023/02/12 05:15:25.661,-73.4183743990043
2023/02/12 05:15:25.785,-73.4183743990043
2023/02/12 05:15:25.910,-73.39540682755008
2023/02/12 05:15:26.037,-73.39540682755008
2023/02/12 05:15:26.162,-73.41321837012848
2023/02/12 05:15:26.301,-73.42246813256095
2023/02/12 05:15:26.426,-73.3855838717586
2023/02/12 05:15:26.554,-73.42352059935153
2023/02/12 05:15:26.691,-73.38898879976017
2023/02/12 05:15:26.817,-73.42418302068636
2023/02/12 05:15:26.949,-73.39627162808556
2023/02/12 05:15:27.083,-73.41606872894518
2023/02/12 05:15:27.214,-73.46179830906388
2023/02/12 05:15:27.350,-73.43242502663227
2023/02/12 05:15:27.479,-73.36846136572123
2023/02/12 05:15:27.613,-73.36519149591435
2023/02/12 05:15:27.753,-73.4078362468876
2023/02/12 05:15:27.878,-73.40595898608908
2023/02/12 05:15:28.014,-73.4259504817672
2023/02/12 05:15:28.145,-73.3511052577564
2023/02/12 05:15:28.270,-73.404741298548
2023/02/12 05:15:28.410,-73.40179050062369
2023/02/12 05:15:28.536,-73.40486143023982
2023/02/12 05:15:28.675,-73.47860399198095
2023/02/12 05:15:28.802,-73.43128578850931
2023/02/12 05:15:28.940,-73.50024574778038
2023/02/12 05:15:29.066,-73.47572792518389
2023/02/12 05:15:29.194,-73.48537171370826
2023/02/12 05:15:29.331,-73.5101351475697
2023/02/12 05:15:29.459,-73.46675391160674
2023/02/12 05:15:29.584,-73.49468162360986
2023/02/12 05:15:29.716,-73.45636006845953
2023/02/12 05:15:29.847,-73.51655623647297
2023/02/12 05:15:29.977,-73.43313087163332
2023/02/12 05:15:30.113,-73.46717717569115
2023/02/12 05:15:30.245,-73.43733793479859
2023/02/12 05:15:30.384,-73.4660457275462
2023/02/12 05:15:30.520,-73.42210693964171
2023/02/12 05:15:30.648,-73.45329190434795
2023/02/12 05:15:30.786,-73.48377505959932
