時刻,CABLE Output (VB-Audio Virtual Cable)
2023/02/12 05:19:26.488,-76.40777796437209
2023/02/12 05:19:26.614,-76.38555668361322
2023/02/12 05:19:26.742,-76.31067578218465
2023/02/12 05:19:26.870,-76.3557483363531
2023/02/12 05:19:26.999,-76.33350786366307
2023/02/12 05:19:27.138,-76.32235167432408
2023/02/12 05:19:27.266,-75.78803021034747
2023/02/12 05:19:27.397,-76.34502037487157
2023/02/12 05:19:27.534,-76.34608624866344
2023/02/12 05:19:27.660,-76.40914464691768
2023/02/12 05:19:27.786,-76.41802404518181
2023/02/12 05:19:27.930,-76.41799962090944
2023/02/12 05:19:28.061,-76.41217902034971
2023/02/12 05:19:28.193,-76.39552098600586
2023/02/12 05:19:28.320,-76.42558522778353
2023/02/12 05:19:28.447,-76.35844741894009
2023/02/12 05:19:28.576,-76.40639381573186
2023/02/12 05:19:28.711,-76.3855259590114
2023/02/12 05:19:28.836,-76.3863402171892
2023/02/12 05:19:28.964,-76.3730941691056
2023/02/12 05:19:29.111,-76.44509784222184
2023/02/12 05:19:29.243,-76.382886496848
2023/02/12 05:19:29.381,-76.40174470470205
2023/02/12 05:19:29.506,-76.37460938071791
2023/02/12 05:19:29.633,-76.40992553719052
2023/02/12 05:19:29.763,-76.39187753888622
2023/02/12 05:19:29.896,-76.38890396240994
2023/02/12 05:19:30.035,-76.35848036395254
2023/02/12 05:19:30.162,-76.39757016322659
2023/02/12 05:19:30.301,-76.40969890940616
2023/02/12 05:19:30.426,-76.43224964504329
2023/02/12 05:19:30.554,-76.39890205930843
2023/02/12 05:19:30.679,-76.37188215903298
2023/02/12 05:19:30.816,-76.37499879555932
2023/02/12 05:19:30.947,-76.38513616930612
2023/02/12 05:19:31.083,-76.43227094548314
2023/02/12 05:19:31.211,-76.41004997071506
2023/02/12 05:19:31.348,-76.39170339509776
2023/02/12 05:19:31.474,-76.38636410045055
2023/02/12 05:19:31.614,-76.4117125535382
2023/02/12 05:19:31.744,-76.42809753145214
2023/02/12 05:19:31.879,-76.33488974680932
2023/02/12 05:19:32.005,-76.42725520046432
2023/02/12 05:19:32.130,-76.39851221321658
2023/02/12 05:19:32.262,-76.39489777018684
2023/02/12 05:19:32.396,-76.41950879777707
2023/02/12 05:19:32.529,-76.38842784324004
2023/02/12 05:19:32.665,-76.42407793717237
2023/02/12 05:19:32.802,-76.38479566412724
2023/02/12 05:19:32.932,-76.42233455432442
2023/02/12 05:19:33.068,-76.42593170643492
2023/02/12 05:19:33.207,-76.40542343888528
2023/02/12 05:19:33.334,-76.39667601427219
2023/02/12 05:19:33.475,-76.43210493884466
2023/02/12 05:19:33.601,-76.35335523968378
2023/02/12 05:19:33.726,-76.41319716940178
2023/02/12 05:19:33.851,-76.34706035896508
2023/02/12 05:19:33.978,-76.19194258754516
2023/02/12 05:19:34.111,-76.38661752864168
2023/02/12 05:19:34.246,-76.46325815430183
2023/02/12 05:19:34.382,-76.42223641366398
2023/02/12 05:19:34.512,-76.41506880874175
2023/02/12 05:19:34.648,-76.44893183295194
2023/02/12 05:19:34.785,-76.43305851213647
2023/02/12 05:19:34.910,-76.42070161945924
2023/02/12 05:19:35.036,-76.40482057460618
2023/02/12 05:19:35.176,-76.37443697244322
2023/02/12 05:19:35.303,-76.43508715364342
2023/02/12 05:19:35.434,-76.37553379252805
2023/02/12 05:19:35.569,-76.42670439217424
2023/02/12 05:19:35.697,-76.36946251617675
2023/02/12 05:19:35.835,-76.37584599873298
2023/02/12 05:19:35.963,-76.38954410759803
2023/02/12 05:19:36.099,-76.40043143338741
2023/02/12 05:19:36.229,-76.39130492769178
2023/02/12 05:19:36.366,-76.36921172473411
2023/02/12 05:19:36.493,-76.3961243069298
2023/02/12 05:19:36.631,-76.35899597280374
2023/02/12 05:19:36.757,-76.35584091919185
2023/02/12 05:19:36.884,-76.39536745009852
2023/02/12 05:19:37.010,-76.38446741421946
2023/02/12 05:19:37.137,-76.42906069024941
2023/02/12 05:19:37.263,-76.3938659251167
2023/02/12 05:19:37.396,-76.39095499343702
2023/02/12 05:19:37.533,-76.4329496995051
2023/02/12 05:19:37.677,-76.40296235784709
2023/02/12 05:19:37.803,-76.42724200834188
2023/02/12 05:19:37.942,-76.31341230117896
2023/02/12 05:19:38.070,-76.38771686392721
2023/02/12 05:19:38.196,-76.38395355964174
2023/02/12 05:19:38.325,-76.44172840103137
2023/02/12 05:19:38.459,-76.37732278663093
2023/02/12 05:19:38.585,-76.42134760198014
2023/02/12 05:19:38.712,-76.39923640402517
2023/02/12 05:19:38.847,-76.3916892957654
2023/02/12 05:19:38.974,-76.36930376045716
2023/02/12 05:19:39.112,-76.3786168962937
2023/02/12 05:19:39.249,-76.413926562826
2023/02/12 05:19:39.383,-76.39584913676516
2023/02/12 05:19:39.513,-76.46005068422365
