時刻,CABLE Output (VB-Audio Virtual Cable)
2023/02/12 05:21:16.763,-76.41615261147474
2023/02/12 05:21:16.902,-76.41615261147474
2023/02/12 05:21:17.031,-76.30353295339157
2023/02/12 05:21:17.167,-76.38606482906653
2023/02/12 05:21:17.301,-76.33246263810766
2023/02/12 05:21:17.427,-76.30484050364404
2023/02/12 05:21:17.559,-76.33396250996117
2023/02/12 05:21:17.697,-76.34371666675916
2023/02/12 05:21:17.826,-76.33477152902692
2023/02/12 05:21:17.963,-76.3404056853634
2023/02/12 05:21:18.089,-76.33256202652157
2023/02/12 05:21:18.214,-76.32406134713077
2023/02/12 05:21:18.339,-76.30961050631026
2023/02/12 05:21:18.475,-76.35650811431186
2023/02/12 05:21:18.603,-76.26090487753781
2023/02/12 05:21:18.729,-76.3419336404179
2023/02/12 05:21:18.864,-76.34974394143798
2023/02/12 05:21:19.003,-76.31481829270325
2023/02/12 05:21:19.129,-76.29483698783565
2023/02/12 05:21:19.255,-76.32643471153176
2023/02/12 05:21:19.395,-76.3009533999536
2023/02/12 05:21:19.520,-76.38218285573464
2023/02/12 05:21:19.660,-76.2868605307408
2023/02/12 05:21:19.787,-76.3790663061822
2023/02/12 05:21:19.913,-76.35350257002077
2023/02/12 05:21:20.052,-76.30770993341028
2023/02/12 05:21:20.191,-76.3231834733812
2023/02/12 05:21:20.326,-76.30501555079759
2023/02/12 05:21:20.462,-76.36010520399216
2023/02/12 05:21:20.587,-76.27002943432902
2023/02/12 05:21:20.742,-76.36642749268938
2023/02/12 05:21:20.872,-76.32576080038946
2023/02/12 05:21:21.007,-76.34309000138997
2023/02/12 05:21:21.132,-76.32324676566112
2023/02/12 05:21:21.269,-76.3696778431636
2023/02/12 05:21:21.396,-76.3696778431636
2023/02/12 05:21:21.521,-76.36377342935388
2023/02/12 05:21:21.647,-76.33193469134842
2023/02/12 05:21:21.785,-76.35923454696449
2023/02/12 05:21:21.911,-76.28783162914716
2023/02/12 05:21:22.036,-76.3301097291799
2023/02/12 05:21:22.162,-76.33962367475068
2023/02/12 05:21:22.287,-76.3756626482551
2023/02/12 05:21:22.428,-76.34655791150114
2023/02/12 05:21:22.566,-76.31878240061893
2023/02/12 05:21:22.694,-76.31674302718335
2023/02/12 05:21:22.821,-76.3873177991491
2023/02/12 05:21:22.958,-76.3074590051168
2023/02/12 05:21:23.084,-76.29874047530502
2023/02/12 05:21:23.222,-76.34297264310638
2023/02/12 05:21:23.356,-76.35976271820657
2023/02/12 05:21:23.492,-76.32207097356121
2023/02/12 05:21:23.628,-76.3363604253797
2023/02/12 05:21:23.758,-76.31938015896043
2023/02/12 05:21:23.890,-76.3670544387793
2023/02/12 05:21:24.026,-76.33236494193581
2023/02/12 05:21:24.161,-76.34247142160328
2023/02/12 05:21:24.301,-76.04724681675513
2023/02/12 05:21:24.427,-76.34797251873073
2023/02/12 05:21:24.551,-76.3067672384149
2023/02/12 05:21:24.677,-76.32823583880791
2023/02/12 05:21:24.803,-76.29929583197004
2023/02/12 05:21:24.927,-76.32978811993213
2023/02/12 05:21:25.052,-76.27943294430747
2023/02/12 05:21:25.192,-76.3015171675585
2023/02/12 05:21:25.323,-76.30086767126204
2023/02/12 05:21:25.459,-76.28698792389932
2023/02/12 05:21:25.589,-76.3029738155119
2023/02/12 05:21:25.724,-76.29802033907053
2023/02/12 05:21:25.854,-76.31107837118911
2023/02/12 05:21:25.992,-76.30169364015396
2023/02/12 05:21:26.124,-76.31366133968987
2023/02/12 05:21:26.262,-76.27284808994706
2023/02/12 05:21:26.406,-76.29366707222633
2023/02/12 05:21:26.541,-76.34087460673608
2023/02/12 05:21:26.676,-76.257883834427
2023/02/12 05:21:26.803,-76.2716932280953
2023/02/12 05:21:26.941,-76.2772616566251
2023/02/12 05:21:27.074,-76.32678930922994
2023/02/12 05:21:27.211,-76.30054556348165
2023/02/12 05:21:27.337,-76.29818558610745
2023/02/12 05:21:27.473,-76.29335077165076
2023/02/12 05:21:27.606,-76.29896989954322
2023/02/12 05:21:27.739,-76.34574284055138
2023/02/12 05:21:27.867,-76.31153678116588
2023/02/12 05:21:28.006,-76.32552015574483
2023/02/12 05:21:28.143,-76.29055244117225
2023/02/12 05:21:28.271,-76.30925950103733
2023/02/12 05:21:28.410,-76.3260060130923
2023/02/12 05:21:28.538,-76.28231295733222
2023/02/12 05:21:28.675,-76.29701435124662
2023/02/12 05:21:28.805,-76.3163077967439
2023/02/12 05:21:28.943,-76.31148482429904
2023/02/12 05:21:29.074,-76.30808915738216
2023/02/12 05:21:29.206,-76.3010221113952
2023/02/12 05:21:29.339,-76.35007386416879
2023/02/12 05:21:29.475,-76.39245552884157
2023/02/12 05:21:29.605,-76.45258548149573
2023/02/12 05:21:29.739,-76.37008685378493
