時刻,CABLE Output (VB-Audio Virtual Cable)
2023/02/12 05:22:36.642,-76.4323175913658
2023/02/12 05:22:36.772,-76.4323175913658
2023/02/12 05:22:36.898,-76.37715099817993
2023/02/12 05:22:37.037,-76.31399322829503
2023/02/12 05:22:37.163,-76.36229672746308
2023/02/12 05:22:37.302,-76.36280571012874
2023/02/12 05:22:37.437,-76.39691524447258
2023/02/12 05:22:37.575,-76.36689843293907
2023/02/12 05:22:37.712,-76.44564120971565
2023/02/12 05:22:37.848,-76.37022713617321
2023/02/12 05:22:37.973,-76.39994151966934
2023/02/12 05:22:38.102,-76.33175861205669
2023/02/12 05:22:38.230,-76.33611520780664
2023/02/12 05:22:38.368,-76.35191312482463
2023/02/12 05:22:38.503,-76.4427406766785
2023/02/12 05:22:38.630,-76.38701210762702
2023/02/12 05:22:38.756,-76.3802485366008
2023/02/12 05:22:38.882,-76.3788470908492
2023/02/12 05:22:39.019,-76.3688476188585
2023/02/12 05:22:39.150,-76.42888133938817
2023/02/12 05:22:39.285,-76.41526100542241
2023/02/12 05:22:39.412,-76.38576328242527
2023/02/12 05:22:39.536,-76.36573632221345
2023/02/12 05:22:39.675,-76.31461642695298
2023/02/12 05:22:39.801,-76.4134533204707
2023/02/12 05:22:39.929,-76.38178930663572
2023/02/12 05:22:40.066,-76.39796247040441
2023/02/12 05:22:40.202,-76.32784841223722
2023/02/12 05:22:40.339,-76.35163018931367
2023/02/12 05:22:40.467,-76.35478478534557
2023/02/12 05:22:40.597,-76.37626546122863
2023/02/12 05:22:40.730,-76.39337137609789
2023/02/12 05:22:40.863,-76.35375636960303
2023/02/12 05:22:41.003,-76.39428054391456
2023/02/12 05:22:41.129,-76.31038847736042
2023/02/12 05:22:41.255,-76.33420997885794
2023/02/12 05:22:41.381,-76.37968256097045
2023/02/12 05:22:41.520,-76.34387892075716
2023/02/12 05:22:41.650,-76.38721508469101
2023/02/12 05:22:41.785,-76.36230505734686
2023/02/12 05:22:41.912,-76.42007905748636
2023/02/12 05:22:42.037,-76.35041580599133
2023/02/12 05:22:42.163,-76.39049347201178
2023/02/12 05:22:42.302,-76.35826490444886
2023/02/12 05:22:42.432,-76.39648484755281
2023/02/12 05:22:42.569,-76.35000691508316
2023/02/12 05:22:42.699,-76.32530102064283
2023/02/12 05:22:42.828,-76.42517780867969
2023/02/12 05:22:42.953,-76.39654856661201
2023/02/12 05:22:43.090,-76.41578371672031
2023/02/12 05:22:43.215,-76.33280873902478
2023/02/12 05:22:43.348,-76.39095623975449
2023/02/12 05:22:43.480,-76.35042114671404
2023/02/12 05:22:43.612,-76.40507622499852
2023/02/12 05:22:43.738,-76.36804159240207
2023/02/12 05:22:43.879,-76.37222589183949
2023/02/12 05:22:44.005,-76.34957201362828
2023/02/12 05:22:44.132,-76.36000169479115
2023/02/12 05:22:44.272,-76.39966015385868
2023/02/12 05:22:44.398,-76.39966015385868
2023/02/12 05:22:44.536,-76.373110354135
2023/02/12 05:22:44.662,-76.36269291214573
2023/02/12 05:22:44.787,-76.3584660395553
2023/02/12 05:22:44.912,-76.4097932073376
2023/02/12 05:22:45.037,-76.30212419504542
2023/02/12 05:22:45.162,-76.42982326755676
2023/02/12 05:22:45.303,-76.32060416511638
2023/02/12 05:22:45.442,-76.37241869189234
2023/02/12 05:22:45.573,-76.30683740381967
2023/02/12 05:22:45.698,-76.31710948656112
2023/02/12 05:22:45.832,-76.40696071069567
2023/02/12 05:22:45.968,-76.38761825490819
2023/02/12 05:22:46.102,-76.36986082804698
2023/02/12 05:22:46.242,-76.33046798590689
2023/02/12 05:22:46.369,-76.38032784246376
2023/02/12 05:22:46.509,-76.36230116475753
2023/02/12 05:22:46.634,-76.3607150464448
2023/02/12 05:22:46.772,-76.40505518449524
2023/02/12 05:22:46.910,-76.37432752845032
2023/02/12 05:22:47.035,-76.33397559188126
2023/02/12 05:22:47.160,-76.2884954576519
2023/02/12 05:22:47.287,-76.4274294985328
2023/02/12 05:22:47.415,-76.4003838455276
2023/02/12 05:22:47.551,-76.4052236053474
2023/02/12 05:22:47.692,-76.35896885105635
2023/02/12 05:22:47.817,-76.36699735486434
2023/02/12 05:22:47.944,-76.39529315866473
2023/02/12 05:22:48.069,-76.36228933694154
2023/02/12 05:22:48.197,-76.42644470899901
2023/02/12 05:22:48.337,-76.3668737079889
2023/02/12 05:22:48.462,-76.38144782688643
2023/02/12 05:22:48.602,-76.33439885555427
2023/02/12 05:22:48.732,-76.32577732289768
2023/02/12 05:22:48.863,-76.371675474523
2023/02/12 05:22:48.988,-76.3912087846988
2023/02/12 05:22:49.120,-76.39036122569584
2023/02/12 05:22:49.263,-76.34640856403854
2023/02/12 05:22:49.394,-76.36933091114525
2023/02/12 05:22:49.520,-76.34693873143718
2023/02/12 05:22:49.649,-76.40265917899828
