時刻,CABLE Output (VB-Audio Virtual Cable)
2023/02/12 05:23:35.502,-76.33687653019402
2023/02/12 05:23:35.641,-74.53367552752854
2023/02/12 05:23:35.780,-74.14735932450255
2023/02/12 05:23:35.913,-54.74006615339587
2023/02/12 05:23:36.038,-65.77756935305868
2023/02/12 05:23:36.167,-73.8324771251878
2023/02/12 05:23:36.294,-73.5829923958592
2023/02/12 05:23:36.428,-73.5111689408034
2023/02/12 05:23:36.559,-68.51260467335491
2023/02/12 05:23:36.695,-44.53272360570301
2023/02/12 05:23:36.825,-52.57861580557511
2023/02/12 05:23:36.957,-21.913859552596342
2023/02/12 05:23:37.089,-18.296826646515655
2023/02/12 05:23:37.224,-22.916820945979918
2023/02/12 05:23:37.350,-16.810066998753005
2023/02/12 05:23:37.479,-43.89094973508853
2023/02/12 05:23:37.614,-30.655445259265424
2023/02/12 05:23:37.744,-32.175413576548834
2023/02/12 05:23:37.882,-47.213065044964864
2023/02/12 05:23:38.007,-47.213065044964864
2023/02/12 05:23:38.132,-25.99355062887994
2023/02/12 05:23:38.261,-47.288885053639184
2023/02/12 05:23:38.396,-33.67048309698716
2023/02/12 05:23:38.525,-27.256578554393002
2023/02/12 05:23:38.662,-16.782608549107852
2023/02/12 05:23:38.789,-34.69580236417782
2023/02/12 05:23:38.917,-34.74454435353992
2023/02/12 05:23:39.055,-30.859694120527728
2023/02/12 05:23:39.182,-54.41130637068631
2023/02/12 05:23:39.317,-76.14635540046442
2023/02/12 05:23:39.443,-34.42368573876185
2023/02/12 05:23:39.582,-33.345471542321455
2023/02/12 05:23:39.711,-27.689167568402343
2023/02/12 05:23:39.844,-28.45698915609106
2023/02/12 05:23:39.980,-54.866335648743785
2023/02/12 05:23:40.113,-18.50894836834391
2023/02/12 05:23:40.243,-59.23056725416406
2023/02/12 05:23:40.381,-76.66976465603307
2023/02/12 05:23:40.513,-76.59589256906662
2023/02/12 05:23:40.647,-29.93675770693994
2023/02/12 05:23:40.775,-23.97213524442714
2023/02/12 05:23:40.911,-30.228282054468934
2023/02/12 05:23:41.044,-33.55639732838098
2023/02/12 05:23:41.179,-51.03720633248778
2023/02/12 05:23:41.311,-26.186823263101427
2023/02/12 05:23:41.444,-28.431967874773598
2023/02/12 05:23:41.579,-24.20076957656967
2023/02/12 05:23:41.708,-29.204369351756803
2023/02/12 05:23:41.839,-37.0934157267087
2023/02/12 05:23:41.973,-62.07331316715758
2023/02/12 05:23:42.100,-25.774684510314074
2023/02/12 05:23:42.240,-70.46751160040523
2023/02/12 05:23:42.378,-72.93575503856023
2023/02/12 05:23:42.510,-68.13351065375981
2023/02/12 05:23:42.645,-76.32500650525776
2023/02/12 05:23:42.776,-61.97037582716786
2023/02/12 05:23:42.912,-26.168125044011525
2023/02/12 05:23:43.037,-24.904802840040368
2023/02/12 05:23:43.175,-24.713833983366133
2023/02/12 05:23:43.316,-26.094598619578466
2023/02/12 05:23:43.448,-49.09571463585387
2023/02/12 05:23:43.584,-73.6663886603914
2023/02/12 05:23:43.722,-72.70815370665595
2023/02/12 05:23:43.848,-76.37144094122877
2023/02/12 05:23:43.979,-76.33440188163037
2023/02/12 05:23:44.104,-76.33688873412937
2023/02/12 05:23:44.238,-76.30622853513438
2023/02/12 05:23:44.366,-76.43343390768234
2023/02/12 05:23:44.505,-76.3769931347867
2023/02/12 05:23:44.631,-76.33653003359163
2023/02/12 05:23:44.756,-76.33653003359163
2023/02/12 05:23:44.882,-55.66328714376099
2023/02/12 05:23:45.012,-76.37270445220169
2023/02/12 05:23:45.147,-61.948470338957165
2023/02/12 05:23:45.274,-74.25794775452958
2023/02/12 05:23:45.411,-73.8564711594554
2023/02/12 05:23:45.540,-76.37993921824804
2023/02/12 05:23:45.676,-76.3392803438845
2023/02/12 05:23:45.813,-76.34060197311922
2023/02/12 05:23:45.952,-76.36305627128293
2023/02/12 05:23:46.084,-76.31996767881866
2023/02/12 05:23:46.223,-76.37441640502469
2023/02/12 05:23:46.353,-76.37767910614524
2023/02/12 05:23:46.477,-39.412604331633304
2023/02/12 05:23:46.614,-20.936273012765717
2023/02/12 05:23:46.743,-37.12609129514846
2023/02/12 05:23:46.867,-36.04444863264243
2023/02/12 05:23:47.005,-76.30276214080791
2023/02/12 05:23:47.131,-76.34809508002769
2023/02/12 05:23:47.270,-76.33662797449696
2023/02/12 05:23:47.398,-76.30888735888037
2023/02/12 05:23:47.524,-76.35516406076681
2023/02/12 05:23:47.661,-72.45396781428927
2023/02/12 05:23:47.794,-76.37615818421375
2023/02/12 05:23:47.928,-76.39840642692195
2023/02/12 05:23:48.061,-76.37196816632672
2023/02/12 05:23:48.199,-76.34530602006582
2023/02/12 05:23:48.328,-76.3437743452318
2023/02/12 05:23:48.458,-76.30454516195778
