時刻,CABLE Output (VB-Audio Virtual Cable)
2023/02/12 05:25:29.860,-73.51068117490904
2023/02/12 05:25:29.997,-76.39421220370787
2023/02/12 05:25:30.129,-76.31119193249552
2023/02/12 05:25:30.255,-76.39482322814352
2023/02/12 05:25:30.381,-76.41411733660004
2023/02/12 05:25:30.507,-72.84016566115965
2023/02/12 05:25:30.632,-75.680365804793
2023/02/12 05:25:30.774,-76.36937513418411
2023/02/12 05:25:30.910,-76.3204191178675
2023/02/12 05:25:31.036,-76.32587340224605
2023/02/12 05:25:31.169,-76.44613602847252
2023/02/12 05:25:31.305,-76.37981286449757
2023/02/12 05:25:31.430,-76.39027016449089
2023/02/12 05:25:31.557,-76.38707180105905
2023/02/12 05:25:31.683,-76.3523305646868
2023/02/12 05:25:31.818,-76.37291305959438
2023/02/12 05:25:31.944,-76.43588470182283
2023/02/12 05:25:32.082,-76.33931838518913
2023/02/12 05:25:32.209,-76.39780883876409
2023/02/12 05:25:32.334,-76.39411630059313
2023/02/12 05:25:32.473,-76.35547849465915
2023/02/12 05:25:32.613,-76.40206645567544
2023/02/12 05:25:32.740,-76.3851822944804
2023/02/12 05:25:32.880,-76.3818116236794
2023/02/12 05:25:33.007,-76.4048575978242
2023/02/12 05:25:33.136,-76.38761089419486
2023/02/12 05:25:33.269,-76.38031403028688
2023/02/12 05:25:33.395,-76.41491486641713
2023/02/12 05:25:33.521,-76.43202485408538
2023/02/12 05:25:33.646,-76.36426289491413
2023/02/12 05:25:33.771,-76.37462679225999
2023/02/12 05:25:33.897,-76.39742127404037
2023/02/12 05:25:34.036,-76.40440029221791
2023/02/12 05:25:34.165,-76.39779095098481
2023/02/12 05:25:34.297,-76.37596884334728
2023/02/12 05:25:34.423,-76.40216261905786
2023/02/12 05:25:34.563,-76.226808971738
2023/02/12 05:25:34.693,-76.45829106138282
2023/02/12 05:25:34.823,-76.38007945820435
2023/02/12 05:25:34.952,-74.87875395596782
2023/02/12 05:25:35.083,-76.3365191706861
2023/02/12 05:25:35.209,-76.39831605199355
2023/02/12 05:25:35.336,-76.33732449603225
2023/02/12 05:25:35.474,-76.36919373646843
2023/02/12 05:25:35.600,-76.32074698765314
2023/02/12 05:25:35.725,-76.31396623147246
2023/02/12 05:25:35.865,-76.36818047873955
2023/02/12 05:25:36.005,-76.34131390337531
2023/02/12 05:25:36.137,-76.31096061115018
2023/02/12 05:25:36.270,-76.37108731865138
2023/02/12 05:25:36.398,-76.32627483050734
2023/02/12 05:25:36.536,-76.33377665276849
2023/02/12 05:25:36.668,-76.32010651814723
2023/02/12 05:25:36.802,-76.40751440248431
2023/02/12 05:25:36.940,-76.37424416089048
2023/02/12 05:25:37.069,-76.3777687760063
2023/02/12 05:25:37.201,-76.33993528647564
2023/02/12 05:25:37.337,-76.3382989085619
2023/02/12 05:25:37.475,-76.3270838646193
2023/02/12 05:25:37.613,-76.35043325834458
2023/02/12 05:25:37.740,-76.35043325834458
2023/02/12 05:25:37.865,-76.36784339917041
2023/02/12 05:25:37.991,-76.32607862494594
2023/02/12 05:25:38.115,-76.34937817836399
2023/02/12 05:25:38.241,-76.34937817836399
2023/02/12 05:25:38.369,-76.33483350281
2023/02/12 05:25:38.505,-76.32806866202822
2023/02/12 05:25:38.636,-76.38096088615586
2023/02/12 05:25:38.769,-76.33327915988265
2023/02/12 05:25:38.903,-76.3751668531254
2023/02/12 05:25:39.038,-76.32295146583458
2023/02/12 05:25:39.169,-76.34897182373965
2023/02/12 05:25:39.303,-76.30281255277005
2023/02/12 05:25:39.427,-76.3460628919568
2023/02/12 05:25:39.567,-76.38119153278004
2023/02/12 05:25:39.698,-76.39353563580688
2023/02/12 05:25:39.838,-76.37884894184023
2023/02/12 05:25:39.974,-76.389522895008
2023/02/12 05:25:40.114,-76.34706193775753
2023/02/12 05:25:40.240,-76.34706193775753
2023/02/12 05:25:40.373,-76.36125232946796
2023/02/12 05:25:40.503,-76.40488241029863
2023/02/12 05:25:40.631,-76.33660497302115
2023/02/12 05:25:40.756,-76.37402598464458
2023/02/12 05:25:40.892,-76.37810811689471
2023/02/12 05:25:41.022,-76.35596864751732
2023/02/12 05:25:41.151,-76.36354279680911
2023/02/12 05:25:41.290,-76.36300912986725
2023/02/12 05:25:41.419,-76.36852555990026
2023/02/12 05:25:41.554,-76.36646507599562
2023/02/12 05:25:41.685,-76.39345338117322
2023/02/12 05:25:41.817,-76.36989758544262
2023/02/12 05:25:41.942,-76.39689613488372
2023/02/12 05:25:42.070,-76.36337960407224
2023/02/12 05:25:42.204,-76.37944947945005
2023/02/12 05:25:42.345,-76.35030990552431
2023/02/12 05:25:42.473,-76.35823524709582
2023/02/12 05:25:42.598,-76.35994708019464
2023/02/12 05:25:42.724,-76.38002239288727
2023/02/12 05:25:42.849,-76.38988873473458
