時刻,CABLE Output (VB-Audio Virtual Cable)
2023/02/12 05:26:33.845,-76.39587984787455
2023/02/12 05:26:33.977,-76.3659212149767
2023/02/12 05:26:34.104,-76.33175388998052
2023/02/12 05:26:34.231,-76.35449830742138
2023/02/12 05:26:34.358,-76.33357255797544
2023/02/12 05:26:34.492,-76.31173021080028
2023/02/12 05:26:34.625,-76.32513469115656
2023/02/12 05:26:34.754,-76.34280329185981
2023/02/12 05:26:34.880,-76.36412993145322
2023/02/12 05:26:35.020,-76.31441812037036
2023/02/12 05:26:35.164,-76.41677746285191
2023/02/12 05:26:35.295,-76.31541858965208
2023/02/12 05:26:35.432,-76.38472796978782
2023/02/12 05:26:35.575,-76.36929435307145
2023/02/12 05:26:35.707,-76.34782890001173
2023/02/12 05:26:35.832,-76.26704846691398
2023/02/12 05:26:35.957,-76.30791286693498
2023/02/12 05:26:36.082,-76.35981168398357
2023/02/12 05:26:36.207,-76.2531658656587
2023/02/12 05:26:36.333,-76.2531658656587
2023/02/12 05:26:36.473,-76.33449710879796
2023/02/12 05:26:36.606,-76.27731069723758
2023/02/12 05:26:36.738,-76.33246975281439
2023/02/12 05:26:36.865,-76.2306960715854
2023/02/12 05:26:37.005,-76.32848350270619
2023/02/12 05:26:37.136,-76.36936802623929
2023/02/12 05:26:37.272,-76.32602353481828
2023/02/12 05:26:37.412,-76.29690442951829
2023/02/12 05:26:37.550,-76.21213675376144
2023/02/12 05:26:37.677,-76.29501524224159
2023/02/12 05:26:37.807,-76.35423255437476
2023/02/12 05:26:37.944,-76.3154120668908
2023/02/12 05:26:38.082,-76.34333518893357
2023/02/12 05:26:38.211,-76.26623636164078
2023/02/12 05:26:38.349,-76.32361262496276
2023/02/12 05:26:38.473,-76.27148719079207
2023/02/12 05:26:38.606,-76.29834630821128
2023/02/12 05:26:38.750,-76.32477514232853
2023/02/12 05:26:38.888,-76.38802266485084
2023/02/12 05:26:39.019,-76.32966234747609
2023/02/12 05:26:39.145,-76.36002869702857
2023/02/12 05:26:39.275,-76.33126503294714
2023/02/12 05:26:39.413,-76.4259426669429
2023/02/12 05:26:39.539,-76.33535662050342
2023/02/12 05:26:39.664,-76.37926500711976
2023/02/12 05:26:39.801,-76.325596568119
2023/02/12 05:26:39.927,-76.33532291005052
2023/02/12 05:26:40.054,-76.37503177985158
2023/02/12 05:26:40.192,-76.3567702993952
2023/02/12 05:26:40.319,-76.35274928405012
2023/02/12 05:26:40.457,-76.35799542719587
2023/02/12 05:26:40.583,-76.35799542719587
2023/02/12 05:26:40.719,-76.34665732394433
2023/02/12 05:26:40.849,-76.32665003853427
2023/02/12 05:26:40.990,-76.36073352290653
2023/02/12 05:26:41.122,-76.29112541802112
2023/02/12 05:26:41.257,-76.39275904404963
2023/02/12 05:26:41.388,-76.37278275170411
2023/02/12 05:26:41.524,-76.35481178058569
2023/02/12 05:26:41.667,-76.32985600658257
2023/02/12 05:26:41.798,-76.38181969624117
2023/02/12 05:26:41.937,-76.35148130155012
2023/02/12 05:26:42.071,-76.3251666482531
2023/02/12 05:26:42.197,-76.33815748795419
2023/02/12 05:26:42.340,-76.3708761326158
2023/02/12 05:26:42.476,-76.34962975495975
2023/02/12 05:26:42.603,-76.39775072879804
2023/02/12 05:26:42.734,-76.34526044078781
2023/02/12 05:26:42.865,-76.34353418995713
2023/02/12 05:26:42.995,-76.37715976626905
2023/02/12 05:26:43.133,-76.35899431465997
2023/02/12 05:26:43.273,-76.362938652981
2023/02/12 05:26:43.403,-76.33934533101535
2023/02/12 05:26:43.536,-76.39137983960512
2023/02/12 05:26:43.662,-76.3573783680578
2023/02/12 05:26:43.804,-76.356232957918
2023/02/12 05:26:43.941,-76.33207445172908
2023/02/12 05:26:44.070,-76.39443408853825
2023/02/12 05:26:44.207,-76.37073265456185
2023/02/12 05:26:44.333,-76.37073265456185
2023/02/12 05:26:44.484,-76.25986707294146
2023/02/12 05:26:44.613,-76.26250694427236
2023/02/12 05:26:44.741,-76.28031936577355
2023/02/12 05:26:44.874,-76.32291660489267
2023/02/12 05:26:45.005,-76.34891494179129
2023/02/12 05:26:45.144,-76.36796673048543
2023/02/12 05:26:45.276,-76.34761082334131
2023/02/12 05:26:45.416,-76.39321763287172
2023/02/12 05:26:45.543,-76.38609428520942
2023/02/12 05:26:45.678,-76.40537843004171
2023/02/12 05:26:45.805,-76.3512864993251
2023/02/12 05:26:45.944,-76.40207838215392
2023/02/12 05:26:46.069,-76.37026780352889
2023/02/12 05:26:46.195,-76.42671518879263
2023/02/12 05:26:46.333,-76.41106378472483
2023/02/12 05:26:46.458,-76.41106378472483
2023/02/12 05:26:46.583,-76.35090398429475
2023/02/12 05:26:46.723,-76.386200883348
2023/02/12 05:26:46.853,-76.408087026391
