時刻,CABLE Output (VB-Audio Virtual Cable)
2023/02/12 05:27:02.922,-76.36108976684417
2023/02/12 05:27:03.060,-76.38316326726182
2023/02/12 05:27:03.192,-76.35043276128701
2023/02/12 05:27:03.317,-76.43327289008207
2023/02/12 05:27:03.443,-76.37717021165751
2023/02/12 05:27:03.570,-76.39295015468255
2023/02/12 05:27:03.698,-75.69561321683587
2023/02/12 05:27:03.834,-76.22022404869303
2023/02/12 05:27:03.964,-76.42076559311116
2023/02/12 05:27:04.102,-76.28617543508909
2023/02/12 05:27:04.229,-76.4716037475368
2023/02/12 05:27:04.354,-76.34736717127608
2023/02/12 05:27:04.479,-76.39657171722078
2023/02/12 05:27:04.617,-76.38742553476858
2023/02/12 05:27:04.752,-76.13879544746436
2023/02/12 05:27:04.885,-76.33499013423113
2023/02/12 05:27:05.022,-76.4238539760292
2023/02/12 05:27:05.176,-76.39408772383035
2023/02/12 05:27:05.304,-76.38581777842207
2023/02/12 05:27:05.433,-76.4186425849947
2023/02/12 05:27:05.569,-76.42745555538879
2023/02/12 05:27:05.697,-76.36563910824326
2023/02/12 05:27:05.834,-75.71961491875334
2023/02/12 05:27:05.966,-76.41182449327329
2023/02/12 05:27:06.100,-76.3912056615871
2023/02/12 05:27:06.229,-76.41262857322567
2023/02/12 05:27:06.364,-76.47057405371343
2023/02/12 05:27:06.494,-76.38051127789517
2023/02/12 05:27:06.632,-76.41510368130437
2023/02/12 05:27:06.758,-76.3580657381936
2023/02/12 05:27:06.897,-76.43356733362195
2023/02/12 05:27:07.021,-76.4058753020633
2023/02/12 05:27:07.147,-76.40252276550166
2023/02/12 05:27:07.272,-75.44518627263233
2023/02/12 05:27:07.410,-75.61463419760513
2023/02/12 05:27:07.545,-76.49805529655607
2023/02/12 05:27:07.672,-72.50368343639859
2023/02/12 05:27:07.809,-76.02019340294882
2023/02/12 05:27:07.942,-76.38089198270457
2023/02/12 05:27:08.069,-74.95816620825752
2023/02/12 05:27:08.197,-76.33941589169824
2023/02/12 05:27:08.333,-76.33876542544779
2023/02/12 05:27:08.459,-76.3893037619427
2023/02/12 05:27:08.587,-76.32312717453402
2023/02/12 05:27:08.715,-76.37162953581067
2023/02/12 05:27:08.848,-76.32583011050221
2023/02/12 05:27:08.984,-76.32964520522992
2023/02/12 05:27:09.116,-75.79706203642434
2023/02/12 05:27:09.241,-76.24129088436574
2023/02/12 05:27:09.380,-76.46290394196589
2023/02/12 05:27:09.506,-76.31219428810786
2023/02/12 05:27:09.633,-76.34950935831553
2023/02/12 05:27:09.759,-76.34883894595545
2023/02/12 05:27:09.898,-76.38251356153728
2023/02/12 05:27:10.036,-63.871048204257626
2023/02/12 05:27:10.162,-63.871048204257626
2023/02/12 05:27:10.288,-75.80456737588119
2023/02/12 05:27:10.425,-60.61161328586601
2023/02/12 05:27:10.552,-52.327852989303324
2023/02/12 05:27:10.684,-59.86771241368626
2023/02/12 05:27:10.819,-61.27510987384471
2023/02/12 05:27:10.949,-66.4649337435016
2023/02/12 05:27:11.082,-72.56699682923116
2023/02/12 05:27:11.211,-70.98163170683657
2023/02/12 05:27:11.347,-65.33396567418698
2023/02/12 05:27:11.473,-76.40322975274587
2023/02/12 05:27:11.600,-62.83708131954367
2023/02/12 05:27:11.739,-66.32295308076283
2023/02/12 05:27:11.870,-76.2052369774989
2023/02/12 05:27:11.995,-76.33130567933787
2023/02/12 05:27:12.121,-76.34715863802168
2023/02/12 05:27:12.256,-65.79288671778501
2023/02/12 05:27:12.396,-50.19992705322926
2023/02/12 05:27:12.521,-54.93603636045961
2023/02/12 05:27:12.648,-51.860952658904154
2023/02/12 05:27:12.785,-65.89461887532964
2023/02/12 05:27:12.916,-65.89461887532964
2023/02/12 05:27:13.054,-59.56635779677232
2023/02/12 05:27:13.183,-70.99692859838294
2023/02/12 05:27:13.318,-76.07716463811842
2023/02/12 05:27:13.451,-67.13339172420447
2023/02/12 05:27:13.583,-67.27454207574189
2023/02/12 05:27:13.709,-62.939514673794925
2023/02/12 05:27:13.849,-73.19551285747188
2023/02/12 05:27:13.979,-70.89288120677503
2023/02/12 05:27:14.115,-60.77865210970077
2023/02/12 05:27:14.244,-76.0600810867374
2023/02/12 05:27:14.380,-58.778658821964875
2023/02/12 05:27:14.505,-63.15860974582427
2023/02/12 05:27:14.631,-69.67330655018766
2023/02/12 05:27:14.764,-76.35637921413718
2023/02/12 05:27:14.899,-76.2425847310111
2023/02/12 05:27:15.036,-54.090914134846344
2023/02/12 05:27:15.164,-66.81116425643778
2023/02/12 05:27:15.294,-57.405001795480516
2023/02/12 05:27:15.428,-59.891005832313475
2023/02/12 05:27:15.553,-62.81279663903176
2023/02/12 05:27:15.682,-76.38997704979477
2023/02/12 05:27:15.820,-76.3500719003831
2023/02/12 05:27:15.951,-76.32314028629828
