時刻,CABLE Output (VB-Audio Virtual Cable)
2023/02/12 05:27:38.554,-76.34217117764958
2023/02/12 05:27:38.681,-76.39459319998093
2023/02/12 05:27:38.819,-76.36192491393088
2023/02/12 05:27:38.946,-76.34654708689784
2023/02/12 05:27:39.072,-76.35705871043633
2023/02/12 05:27:39.208,-76.35870148636111
2023/02/12 05:27:39.337,-76.4084934123971
2023/02/12 05:27:39.474,-76.3651267050437
2023/02/12 05:27:39.604,-76.36205238622361
2023/02/12 05:27:39.735,-76.37485857339433
2023/02/12 05:27:39.867,-76.37636906125974
2023/02/12 05:27:40.005,-76.32880916354084
2023/02/12 05:27:40.141,-76.35239903962939
2023/02/12 05:27:40.282,-76.33650370712583
2023/02/12 05:27:40.415,-76.37227199666384
2023/02/12 05:27:40.553,-76.42056687514382
2023/02/12 05:27:40.680,-76.35839423839309
2023/02/12 05:27:40.818,-76.40540258195193
2023/02/12 05:27:40.943,-76.35448648092489
2023/02/12 05:27:41.073,-76.4093017336727
2023/02/12 05:27:41.210,-76.37123695076797
2023/02/12 05:27:41.336,-76.33864014895143
2023/02/12 05:27:41.474,-76.38596203900549
2023/02/12 05:27:41.602,-76.36152139630015
2023/02/12 05:27:41.741,-76.37758150749627
2023/02/12 05:27:41.880,-76.3714328555013
2023/02/12 05:27:42.019,-76.38775853012936
2023/02/12 05:27:42.152,-76.37338384046396
2023/02/12 05:27:42.285,-76.37238535264034
2023/02/12 05:27:42.416,-76.37131060796067
2023/02/12 05:27:42.553,-76.37131060796067
2023/02/12 05:27:42.692,-76.35911614990684
2023/02/12 05:27:42.863,-76.23322153811826
2023/02/12 05:27:42.988,-76.39035958909557
2023/02/12 05:27:43.117,-76.4387959059614
2023/02/12 05:27:43.255,-76.4120908139304
2023/02/12 05:27:43.386,-76.43668089462662
2023/02/12 05:27:43.522,-76.41020925274508
2023/02/12 05:27:43.650,-76.4247292441664
2023/02/12 05:27:43.785,-76.39097645574067
2023/02/12 05:27:43.917,-76.42178064424114
2023/02/12 05:27:44.055,-76.4177959170811
2023/02/12 05:27:44.183,-76.38744388237369
2023/02/12 05:27:44.316,-76.39552384875822
2023/02/12 05:27:44.442,-76.43124430116737
2023/02/12 05:27:44.567,-76.42197286753851
2023/02/12 05:27:44.705,-75.24127411325954
2023/02/12 05:27:44.838,-75.80888232755609
2023/02/12 05:27:44.973,-75.34493190164596
2023/02/12 05:27:45.105,-75.04464423039599
2023/02/12 05:27:45.238,-76.38366520913998
2023/02/12 05:27:45.367,-76.35406826216862
2023/02/12 05:27:45.505,-76.38369518263515
2023/02/12 05:27:45.630,-76.31219264689675
2023/02/12 05:27:45.755,-76.45383440277597
2023/02/12 05:27:45.881,-76.3440837384567
2023/02/12 05:27:46.007,-76.40860947066068
2023/02/12 05:27:46.132,-76.35141735320951
2023/02/12 05:27:46.269,-76.41188549795282
2023/02/12 05:27:46.406,-76.36138747149856
2023/02/12 05:27:46.542,-76.34254453944155
2023/02/12 05:27:46.673,-76.35822993480218
2023/02/12 05:27:46.805,-76.38278504564616
2023/02/12 05:27:46.936,-76.36099753546279
2023/02/12 05:27:47.068,-76.35524587678825
2023/02/12 05:27:47.207,-76.3627712203886
2023/02/12 05:27:47.332,-76.37900358530004
2023/02/12 05:27:47.458,-76.36575700759025
2023/02/12 05:27:47.584,-76.34711363434575
2023/02/12 05:27:47.709,-76.30637204124399
2023/02/12 05:27:47.842,-76.36642792338803
2023/02/12 05:27:47.976,-76.37571049962533
2023/02/12 05:27:48.102,-76.37886051729178
2023/02/12 05:27:48.238,-76.30522117633876
2023/02/12 05:27:48.366,-76.3602429260757
2023/02/12 05:27:48.506,-76.4065655618437
2023/02/12 05:27:48.632,-76.3566521318435
2023/02/12 05:27:48.757,-76.35086787929124
2023/02/12 05:27:48.882,-76.30788063993754
2023/02/12 05:27:49.008,-76.39362199431439
2023/02/12 05:27:49.134,-76.34818494096497
2023/02/12 05:27:49.270,-76.38608518738938
2023/02/12 05:27:49.401,-76.30419685124411
2023/02/12 05:27:49.535,-76.31783934275407
2023/02/12 05:27:49.662,-76.37006420713219
2023/02/12 05:27:49.801,-76.41023365848952
2023/02/12 05:27:49.927,-76.34920348180272
2023/02/12 05:27:50.054,-76.38759313017513
2023/02/12 05:27:50.181,-76.35840215946797
2023/02/12 05:27:50.316,-76.38162864215353
2023/02/12 05:27:50.442,-76.31643247781142
2023/02/12 05:27:50.571,-76.35613939673175
2023/02/12 05:27:50.697,-76.30600151542004
2023/02/12 05:27:50.832,-76.36225354116252
2023/02/12 05:27:50.959,-76.34606358524685
2023/02/12 05:27:51.087,-76.43414208283039
2023/02/12 05:27:51.212,-76.34419640528384
2023/02/12 05:27:51.348,-76.39239966264314
2023/02/12 05:27:51.493,-76.33950196719469
