時刻,CABLE Output (VB-Audio Virtual Cable)
2023/02/12 05:28:11.635,-76.3744303536752
2023/02/12 05:28:11.764,-73.49265552547001
2023/02/12 05:28:11.898,-73.48515902743863
2023/02/12 05:28:12.024,-73.5119844013121
2023/02/12 05:28:12.162,-73.49446926868863
2023/02/12 05:28:12.302,-73.47587021484895
2023/02/12 05:28:12.429,-73.49872672756256
2023/02/12 05:28:12.568,-73.49703076792353
2023/02/12 05:28:12.693,-73.50308121720028
2023/02/12 05:28:12.818,-73.45884975971843
2023/02/12 05:28:12.957,-29.093929874936677
2023/02/12 05:28:13.085,-17.507954050854792
2023/02/12 05:28:13.229,-27.507161149505677
2023/02/12 05:28:13.363,-29.676208964201344
2023/02/12 05:28:13.500,-24.387608214780045
2023/02/12 05:28:13.635,-27.064836454657883
2023/02/12 05:28:13.774,-31.158611523722357
2023/02/12 05:28:13.910,-40.75213550435974
2023/02/12 05:28:14.036,-45.97638010828314
2023/02/12 05:28:14.167,-23.5945853010351
2023/02/12 05:28:14.308,-34.82006058442333
2023/02/12 05:28:14.442,-56.44841861258576
2023/02/12 05:28:14.568,-24.416008093352495
2023/02/12 05:28:14.694,-37.690249585820425
2023/02/12 05:28:14.832,-28.20783199699113
2023/02/12 05:28:14.959,-18.61383356941622
2023/02/12 05:28:15.098,-26.32353672366245
2023/02/12 05:28:15.226,-46.398321335095325
2023/02/12 05:28:15.365,-27.48102312289468
2023/02/12 05:28:15.490,-34.401009416249245
2023/02/12 05:28:15.617,-65.09890399485566
2023/02/12 05:28:15.756,-45.570472930581346
2023/02/12 05:28:15.889,-38.32921041947448
2023/02/12 05:28:16.024,-24.584000710841252
2023/02/12 05:28:16.152,-29.74256085611309
2023/02/12 05:28:16.280,-37.618088268367764
2023/02/12 05:28:16.416,-40.446139136629824
2023/02/12 05:28:16.553,-17.850512187795083
2023/02/12 05:28:16.678,-63.35153293198132
2023/02/12 05:28:16.804,-76.00243051464767
2023/02/12 05:28:16.941,-27.039646214150924
2023/02/12 05:28:17.074,-22.491850377037107
2023/02/12 05:28:17.207,-29.44740689542398
2023/02/12 05:28:17.332,-33.48207868232783
2023/02/12 05:28:17.458,-38.953265652013854
2023/02/12 05:28:17.598,-23.961672468758493
2023/02/12 05:28:17.727,-22.777801425981327
2023/02/12 05:28:17.852,-23.189285419018475
2023/02/12 05:28:17.989,-35.34801356658053
2023/02/12 05:28:18.117,-29.811454848600697
2023/02/12 05:28:18.244,-40.15324048132395
2023/02/12 05:28:18.380,-25.608482194775526
2023/02/12 05:28:18.509,-67.08348420692278
2023/02/12 05:28:18.644,-75.56524053833964
2023/02/12 05:28:18.777,-76.5046086093851
2023/02/12 05:28:18.916,-39.795664296780785
2023/02/12 05:28:19.044,-20.17020704589715
2023/02/12 05:28:19.170,-20.33617984709111
2023/02/12 05:28:19.305,-25.114734727853968
2023/02/12 05:28:19.441,-25.854232954162534
2023/02/12 05:28:19.568,-59.21096077310574
2023/02/12 05:28:19.695,-58.614786277762924
2023/02/12 05:28:19.825,-75.99390824494773
2023/02/12 05:28:19.956,-76.08824039319357
2023/02/12 05:28:20.083,-76.5135725008251
2023/02/12 05:28:20.210,-76.31015324534064
2023/02/12 05:28:20.349,-76.37729538858994
2023/02/12 05:28:20.475,-76.35661683291677
2023/02/12 05:28:20.601,-76.28147034260037
2023/02/12 05:28:20.757,-76.37017612951513
2023/02/12 05:28:20.884,-76.37017612951513
2023/02/12 05:28:21.010,-76.45597448799249
2023/02/12 05:28:21.147,-76.37224667868479
2023/02/12 05:28:21.273,-74.84736387736933
2023/02/12 05:28:21.413,-47.02516956771178
2023/02/12 05:28:21.539,-60.96556119527982
2023/02/12 05:28:21.666,-62.12846607802462
2023/02/12 05:28:21.802,-53.01625766548807
2023/02/12 05:28:21.938,-73.9422624324409
2023/02/12 05:28:22.074,-76.0526873399312
2023/02/12 05:28:22.207,-73.01304339021064
2023/02/12 05:28:22.332,-76.44207750110685
2023/02/12 05:28:22.465,-76.3927910974636
2023/02/12 05:28:22.601,-76.35393127632543
2023/02/12 05:28:22.728,-76.34821796996847
2023/02/12 05:28:22.875,-76.37766477844045
2023/02/12 05:28:23.001,-76.54863959578992
2023/02/12 05:28:23.138,-31.37829696011986
2023/02/12 05:28:23.263,-33.216948411489135
2023/02/12 05:28:23.398,-57.491198276149476
2023/02/12 05:28:23.533,-67.22584956601747
2023/02/12 05:28:23.673,-76.2823533344236
2023/02/12 05:28:23.804,-76.15021030845207
2023/02/12 05:28:23.933,-76.33635042175707
2023/02/12 05:28:24.066,-76.35359381154076
2023/02/12 05:28:24.192,-76.369496897298
2023/02/12 05:28:24.322,-76.4515223182085
2023/02/12 05:28:24.460,-76.31626167582536
2023/02/12 05:28:24.598,-76.39720158309639
