時刻,CABLE Output (VB-Audio Virtual Cable)
2023/02/12 05:30:46.797,-40.94597980189653
2023/02/12 05:30:46.926,-73.38573521354166
2023/02/12 05:30:47.055,-68.94936230172638
2023/02/12 05:30:47.191,-71.32500654127581
2023/02/12 05:30:47.319,-73.44405836049889
2023/02/12 05:30:47.457,-73.45779934604411
2023/02/12 05:30:47.583,-73.35124935240408
2023/02/12 05:30:47.708,-56.490951559344744
2023/02/12 05:30:47.848,-62.53464824832234
2023/02/12 05:30:47.973,-61.93865066749431
2023/02/12 05:30:48.104,-61.598997622211584
2023/02/12 05:30:48.240,-66.6074119688235
2023/02/12 05:30:48.376,-73.48077831618232
2023/02/12 05:30:48.523,-73.39092806059232
2023/02/12 05:30:48.667,-73.410778012551
2023/02/12 05:30:48.793,-65.92647919894506
2023/02/12 05:30:48.937,-64.94535001541239
2023/02/12 05:30:49.072,-73.41726352653926
2023/02/12 05:30:49.207,-73.56554583300935
2023/02/12 05:30:49.339,-73.42364988016716
2023/02/12 05:30:49.475,-64.11233697448596
2023/02/12 05:30:49.613,-57.86964027416036
2023/02/12 05:30:49.741,-54.55561032219491
2023/02/12 05:30:49.882,-58.725693056458745
2023/02/12 05:30:50.009,-74.25490332021027
2023/02/12 05:30:50.135,-74.26173963700268
2023/02/12 05:30:50.273,-74.18903618982691
2023/02/12 05:30:50.413,-73.38172892919154
2023/02/12 05:30:50.538,-73.42775356221115
2023/02/12 05:30:50.678,-73.39324052607364
2023/02/12 05:30:50.817,-73.3855057440449
2023/02/12 05:30:50.958,-73.39492308825946
2023/02/12 05:30:51.083,-73.39674988103711
2023/02/12 05:30:51.223,-73.98273287768842
2023/02/12 05:30:51.353,-61.793875914846474
2023/02/12 05:30:51.490,-73.5533485408516
2023/02/12 05:30:51.626,-73.44318649188291
2023/02/12 05:30:51.756,-73.62779638089599
2023/02/12 05:30:51.888,-73.3908709011442
2023/02/12 05:30:52.023,-73.38735766631751
2023/02/12 05:30:52.161,-73.41952192315038
2023/02/12 05:30:52.287,-73.42002989500119
2023/02/12 05:30:52.425,-73.38024839910712
2023/02/12 05:30:52.555,-73.41968533410686
2023/02/12 05:30:52.693,-73.41269508634235
2023/02/12 05:30:52.821,-73.44715955792773
2023/02/12 05:30:52.952,-73.40584385174567
2023/02/12 05:30:53.088,-73.39267466849704
2023/02/12 05:30:53.227,-73.35733737791003
2023/02/12 05:30:53.357,-73.40269305339736
2023/02/12 05:30:53.490,-73.41040208929427
2023/02/12 05:30:53.620,-73.31136150647279
2023/02/12 05:30:53.754,-53.64062732332415
2023/02/12 05:30:53.883,-64.45920325134277
2023/02/12 05:30:54.011,-73.42998141219508
2023/02/12 05:30:54.140,-73.35767766626371
2023/02/12 05:30:54.274,-70.7087914074935
2023/02/12 05:30:54.412,-59.3240368442863
2023/02/12 05:30:54.551,-68.2882751025868
2023/02/12 05:30:54.679,-73.38049851056483
2023/02/12 05:30:54.804,-70.78987846346537
2023/02/12 05:30:54.942,-62.54275586113316
2023/02/12 05:30:55.067,-66.1128978247855
2023/02/12 05:30:55.193,-73.51250748632935
2023/02/12 05:30:55.333,-74.04426650771386
2023/02/12 05:30:55.474,-67.87925921359326
2023/02/12 05:30:55.607,-68.84031529565249
2023/02/12 05:30:55.733,-73.37035286066728
2023/02/12 05:30:55.857,-73.4729845194941
2023/02/12 05:30:55.995,-73.36422024182315
2023/02/12 05:30:56.121,-55.31930990828914
2023/02/12 05:30:56.254,-46.47622675575825
2023/02/12 05:30:56.380,-54.80661223408259
2023/02/12 05:30:56.507,-44.823548240514704
2023/02/12 05:30:56.638,-50.09145525473969
2023/02/12 05:30:56.772,-64.86603748057412
2023/02/12 05:30:56.913,-73.19470556321605
2023/02/12 05:30:57.050,-65.44153324391718
2023/02/12 05:30:57.177,-73.86588506226674
2023/02/12 05:30:57.316,-58.268762579119304
2023/02/12 05:30:57.445,-62.04518774263554
2023/02/12 05:30:57.583,-55.07442493128109
2023/02/12 05:30:57.722,-73.75432056076929
2023/02/12 05:30:57.855,-66.74056678881408
2023/02/12 05:30:57.993,-61.54345814695766
2023/02/12 05:30:58.133,-65.64159145812364
2023/02/12 05:30:58.269,-59.11258161983885
2023/02/12 05:30:58.395,-55.0741267994613
2023/02/12 05:30:58.522,-70.65438144752632
2023/02/12 05:30:58.661,-73.42487177466305
2023/02/12 05:30:58.786,-73.51028786221721
2023/02/12 05:30:58.927,-48.89406250410219
2023/02/12 05:30:59.052,-58.94622233638976
2023/02/12 05:30:59.191,-50.259466944828965
2023/02/12 05:30:59.316,-51.25599114326064
2023/02/12 05:30:59.443,-67.07251799554341
2023/02/12 05:30:59.569,-73.43596333586899
2023/02/12 05:30:59.707,-73.44027842302503
2023/02/12 05:30:59.833,-73.45041101308824
