時刻,CABLE Output (VB-Audio Virtual Cable)
2023/02/12 05:31:20.167,-63.87935693615149
2023/02/12 05:31:20.302,-73.47507332032615
2023/02/12 05:31:20.449,-73.37784521946415
2023/02/12 05:31:20.583,-73.38931666237242
2023/02/12 05:31:20.712,-73.38170558643506
2023/02/12 05:31:20.849,-73.39908589008309
2023/02/12 05:31:20.976,-73.36921350888022
2023/02/12 05:31:21.114,-73.49487175748267
2023/02/12 05:31:21.250,-73.40010389206496
2023/02/12 05:31:21.382,-73.563158128092
2023/02/12 05:31:21.515,-73.601238228402
2023/02/12 05:31:21.653,-73.38887938841376
2023/02/12 05:31:21.780,-73.40216595209631
2023/02/12 05:31:21.917,-73.36346401351474
2023/02/12 05:31:22.042,-73.80338210299969
2023/02/12 05:31:22.180,-73.46850335058056
2023/02/12 05:31:22.310,-73.4557479705809
2023/02/12 05:31:22.443,-73.40200881928537
2023/02/12 05:31:22.582,-73.37224071148816
2023/02/12 05:31:22.710,-73.63450750997822
2023/02/12 05:31:22.848,-73.57358699984304
2023/02/12 05:31:22.975,-73.85707744902986
2023/02/12 05:31:23.114,-73.76764843580654
2023/02/12 05:31:23.240,-73.56876744936696
2023/02/12 05:31:23.379,-73.40482053207802
2023/02/12 05:31:23.510,-73.37563579697091
2023/02/12 05:31:23.649,-73.38839920840974
2023/02/12 05:31:23.779,-73.4039615858569
2023/02/12 05:31:23.912,-73.40181456786289
2023/02/12 05:31:24.038,-73.38396222825664
2023/02/12 05:31:24.164,-73.36597228334217
2023/02/12 05:31:24.302,-73.3562148516456
2023/02/12 05:31:24.427,-73.38395722051978
2023/02/12 05:31:24.552,-73.3669813099557
2023/02/12 05:31:24.691,-73.35071355825204
2023/02/12 05:31:24.817,-73.3475718527412
2023/02/12 05:31:24.943,-73.38836942570738
2023/02/12 05:31:25.083,-73.36209946411361
2023/02/12 05:31:25.214,-73.3931627573289
2023/02/12 05:31:25.347,-73.37274721048513
2023/02/12 05:31:25.472,-73.42067201275933
2023/02/12 05:31:25.597,-73.32232195604873
2023/02/12 05:31:25.723,-73.47358843117617
2023/02/12 05:31:25.848,-73.73039051383425
2023/02/12 05:31:25.977,-73.39462818204284
2023/02/12 05:31:26.115,-73.39297103112871
2023/02/12 05:31:26.253,-73.40396040242516
2023/02/12 05:31:26.383,-73.43266604042478
2023/02/12 05:31:26.508,-73.4071813969665
2023/02/12 05:31:26.645,-73.40172609451577
2023/02/12 05:31:26.776,-73.40860928411684
2023/02/12 05:31:26.915,-62.84278181724113
2023/02/12 05:31:27.040,-73.62428090076367
2023/02/12 05:31:27.176,-73.42845058534748
2023/02/12 05:31:27.302,-73.44429748644342
2023/02/12 05:31:27.428,-73.42670105902397
2023/02/12 05:31:27.554,-73.72980595527687
2023/02/12 05:31:27.683,-73.42519670863868
2023/02/12 05:31:27.816,-73.47177096386031
2023/02/12 05:31:27.942,-73.78158551135265
2023/02/12 05:31:28.082,-73.67806274324565
2023/02/12 05:31:28.208,-73.42256925316283
2023/02/12 05:31:28.347,-73.73317749643748
2023/02/12 05:31:28.472,-73.5664485046969
2023/02/12 05:31:28.600,-73.41961974069153
2023/02/12 05:31:28.725,-73.48002209407949
2023/02/12 05:31:28.864,-73.61491396770056
2023/02/12 05:31:28.989,-73.58195590986367
2023/02/12 05:31:29.130,-73.42051835176895
2023/02/12 05:31:29.257,-73.44407303350833
2023/02/12 05:31:29.395,-73.43461588321003
2023/02/12 05:31:29.526,-62.62983042526565
2023/02/12 05:31:29.660,-73.76550752869969
2023/02/12 05:31:29.786,-73.5913419702756
2023/02/12 05:31:29.912,-73.75848694183088
2023/02/12 05:31:30.040,-73.45305149299504
2023/02/12 05:31:30.164,-73.37328094813499
2023/02/12 05:31:30.296,-73.4245052756288
2023/02/12 05:31:30.426,-73.40756194306158
2023/02/12 05:31:30.552,-73.43777047245139
2023/02/12 05:31:30.680,-73.40126649778824
2023/02/12 05:31:30.806,-73.40768670885839
2023/02/12 05:31:30.945,-73.39344242561697
2023/02/12 05:31:31.083,-73.39866739365448
2023/02/12 05:31:31.211,-73.40699669447147
2023/02/12 05:31:31.350,-73.44243287002644
2023/02/12 05:31:31.476,-73.42136688642454
2023/02/12 05:31:31.613,-73.66727829192838
2023/02/12 05:31:31.741,-73.43315427283142
2023/02/12 05:31:31.879,-73.39000654608468
2023/02/12 05:31:32.004,-73.4488109465862
2023/02/12 05:31:32.131,-73.41171078825512
2023/02/12 05:31:32.257,-73.45420399114595
2023/02/12 05:31:32.394,-73.4144724816995
2023/02/12 05:31:32.526,-73.43921225216617
2023/02/12 05:31:32.661,-73.42504557834272
2023/02/12 05:31:32.792,-73.45497564175083
2023/02/12 05:31:32.918,-73.45453536694313
2023/02/12 05:31:33.044,-73.45794770300431
2023/02/12 05:31:33.182,-73.43044221214895
