時刻,CABLE Output (VB-Audio Virtual Cable)
2023/02/12 05:31:49.780,-73.4500730221055
2023/02/12 05:31:49.907,-73.49122670273026
2023/02/12 05:31:50.050,-73.45275828721732
2023/02/12 05:31:50.176,-73.45332667737738
2023/02/12 05:31:50.308,-73.46364674878993
2023/02/12 05:31:50.446,-73.47941557254008
2023/02/12 05:31:50.584,-64.19449738778344
2023/02/12 05:31:50.710,-70.09418863631606
2023/02/12 05:31:50.838,-73.52497193701947
2023/02/12 05:31:50.973,-73.76939745151999
2023/02/12 05:31:51.105,-73.78257877847025
2023/02/12 05:31:51.238,-73.46259806337092
2023/02/12 05:31:51.366,-73.45320720948096
2023/02/12 05:31:51.505,-73.45230211801967
2023/02/12 05:31:51.640,-73.42370822527558
2023/02/12 05:31:51.776,-73.4362596043743
2023/02/12 05:31:51.906,-73.42415006191848
2023/02/12 05:31:52.035,-73.39343325786653
2023/02/12 05:31:52.168,-73.40969811813852
2023/02/12 05:31:52.302,-73.39879704480586
2023/02/12 05:31:52.429,-73.40204770895113
2023/02/12 05:31:52.567,-73.39490205089362
2023/02/12 05:31:52.694,-73.77915536271375
2023/02/12 05:31:52.820,-73.45589461249097
2023/02/12 05:31:52.945,-73.47032050782117
2023/02/12 05:31:53.072,-73.40462635928114
2023/02/12 05:31:53.198,-73.43599454874065
2023/02/12 05:31:53.334,-73.37136653739469
2023/02/12 05:31:53.473,-73.40447727296869
2023/02/12 05:31:53.600,-73.38680566464036
2023/02/12 05:31:53.738,-73.43789235335021
2023/02/12 05:31:53.870,-73.41291240805563
2023/02/12 05:31:54.008,-73.39097899524559
2023/02/12 05:31:54.137,-73.36296210123514
2023/02/12 05:31:54.270,-73.44169988085612
2023/02/12 05:31:54.396,-73.44603227032225
2023/02/12 05:31:54.522,-73.42885853528857
2023/02/12 05:31:54.647,-73.42885853528857
2023/02/12 05:31:54.777,-73.40223231109027
2023/02/12 05:31:54.910,-73.43645334266571
2023/02/12 05:31:55.036,-73.46737172989927
2023/02/12 05:31:55.170,-73.42429595221287
2023/02/12 05:31:55.303,-73.44109884495536
2023/02/12 05:31:55.428,-73.56959684127733
2023/02/12 05:31:55.555,-73.38824308601373
2023/02/12 05:31:55.693,-73.43144406932096
2023/02/12 05:31:55.827,-73.42489421155561
2023/02/12 05:31:55.961,-73.43061933053347
2023/02/12 05:31:56.098,-73.41537691336536
2023/02/12 05:31:56.226,-73.44691778121002
2023/02/12 05:31:56.355,-73.42996098374898
2023/02/12 05:31:56.489,-73.4455766993385
2023/02/12 05:31:56.621,-73.41840890355513
2023/02/12 05:31:56.755,-73.41290984612512
2023/02/12 05:31:56.887,-73.38743532988181
2023/02/12 05:31:57.012,-73.3983798409783
2023/02/12 05:31:57.142,-73.39321470244273
2023/02/12 05:31:57.278,-73.4022203113206
2023/02/12 05:31:57.412,-73.45453309302249
2023/02/12 05:31:57.539,-73.43247787183566
2023/02/12 05:31:57.664,-73.42501843516455
2023/02/12 05:31:57.801,-73.41969688883297
2023/02/12 05:31:57.927,-73.4567981553644
2023/02/12 05:31:58.053,-73.41275713135249
2023/02/12 05:31:58.194,-73.3914576083506
2023/02/12 05:31:58.319,-73.44245013547601
2023/02/12 05:31:58.445,-73.42031059585248
2023/02/12 05:31:58.570,-73.461380987033
2023/02/12 05:31:58.707,-73.44446753613876
2023/02/12 05:31:58.839,-73.47721387267417
2023/02/12 05:31:58.975,-73.4523997739811
2023/02/12 05:31:59.102,-73.43807475833903
2023/02/12 05:31:59.239,-73.4638008717399
2023/02/12 05:31:59.364,-73.60727375330393
2023/02/12 05:31:59.491,-73.4303095307356
2023/02/12 05:31:59.617,-73.46072054628088
2023/02/12 05:31:59.756,-73.46623726792919
2023/02/12 05:31:59.886,-73.49428669589871
2023/02/12 05:32:00.013,-73.49428669589871
2023/02/12 05:32:00.142,-73.45698381280498
2023/02/12 05:32:00.269,-73.43225802226671
2023/02/12 05:32:00.405,-73.44956720781097
2023/02/12 05:32:00.536,-73.44185223481384
2023/02/12 05:32:00.664,-73.46802532825221
2023/02/12 05:32:00.796,-73.48032386450659
2023/02/12 05:32:00.924,-73.4174564904879
2023/02/12 05:32:01.063,-73.48079831284913
2023/02/12 05:32:01.202,-73.70543422841476
2023/02/12 05:32:01.337,-73.45260327832204
2023/02/12 05:32:01.473,-73.43834485179326
2023/02/12 05:32:01.603,-73.44270459313248
2023/02/12 05:32:01.740,-73.41564805776025
2023/02/12 05:32:01.866,-73.4561984710862
2023/02/12 05:32:02.004,-73.42052518433805
2023/02/12 05:32:02.134,-73.4530435137622
2023/02/12 05:32:02.269,-73.42648672788198
2023/02/12 05:32:02.396,-73.43648643476315
2023/02/12 05:32:02.521,-73.43397424616965
2023/02/12 05:32:02.658,-73.4306618784654
2023/02/12 05:32:02.783,-73.42520199497599
