時刻,CABLE Output (VB-Audio Virtual Cable)
2023/02/12 05:32:41.006,-73.43071775775259
2023/02/12 05:32:41.133,-73.43071775775259
2023/02/12 05:32:41.273,-71.24300565093613
2023/02/12 05:32:41.398,-71.15548870266836
2023/02/12 05:32:41.537,-71.16100491218944
2023/02/12 05:32:41.663,-71.20447458140981
2023/02/12 05:32:41.801,-71.18613153444099
2023/02/12 05:32:41.932,-71.23569548322702
2023/02/12 05:32:42.069,-71.2537572019054
2023/02/12 05:32:42.207,-71.2114020161351
2023/02/12 05:32:42.335,-71.19967560840118
2023/02/12 05:32:42.466,-71.15562746287218
2023/02/12 05:32:42.600,-71.1745422867367
2023/02/12 05:32:42.728,-71.16958175415006
2023/02/12 05:32:42.864,-71.16375791453619
2023/02/12 05:32:42.990,-71.16954731405619
2023/02/12 05:32:43.130,-71.20011576421598
2023/02/12 05:32:43.254,-71.19499734448499
2023/02/12 05:32:43.380,-71.20955748222823
2023/02/12 05:32:43.520,-71.22958827325606
2023/02/12 05:32:43.646,-71.21218833980626
2023/02/12 05:32:43.771,-71.23387229741739
2023/02/12 05:32:43.900,-71.2761602975848
2023/02/12 05:32:44.036,-71.2185374131033
2023/02/12 05:32:44.162,-71.521454116214
2023/02/12 05:32:44.301,-71.39056268971626
2023/02/12 05:32:44.431,-71.29110614613948
2023/02/12 05:32:44.568,-71.17944751869351
2023/02/12 05:32:44.695,-71.24491583444927
2023/02/12 05:32:44.820,-71.19701787758734
2023/02/12 05:32:44.957,-71.22962352786132
2023/02/12 05:32:45.084,-71.21562722793114
2023/02/12 05:32:45.213,-71.23207065500725
2023/02/12 05:32:45.354,-71.19836526364003
2023/02/12 05:32:45.489,-71.22859790590509
2023/02/12 05:32:45.630,-71.1907767706929
2023/02/12 05:32:45.770,-71.21736430820265
2023/02/12 05:32:45.896,-71.23353957301278
2023/02/12 05:32:46.028,-71.20901419586546
2023/02/12 05:32:46.162,-71.20993713716084
2023/02/12 05:32:46.302,-71.23324097211437
2023/02/12 05:32:46.427,-71.20373079841022
2023/02/12 05:32:46.567,-71.22031299096749
2023/02/12 05:32:46.693,-71.18947018953077
2023/02/12 05:32:46.818,-71.23540828250127
2023/02/12 05:32:46.944,-71.18729753192927
2023/02/12 05:32:47.085,-71.20664305982685
2023/02/12 05:32:47.215,-71.18313903395597
2023/02/12 05:32:47.347,-71.18516063664673
2023/02/12 05:32:47.478,-71.18169154696061
2023/02/12 05:32:47.615,-71.16542445440322
2023/02/12 05:32:47.748,-71.15782253818284
2023/02/12 05:32:47.885,-71.17210096819309
2023/02/12 05:32:48.023,-71.19757073294784
2023/02/12 05:32:48.150,-71.27400123657814
2023/02/12 05:32:48.285,-71.21010025733182
2023/02/12 05:32:48.412,-71.23251913137572
2023/02/12 05:32:48.539,-71.20606180014427
2023/02/12 05:32:48.679,-71.23586321405655
2023/02/12 05:32:48.821,-71.3192014695669
2023/02/12 05:32:48.947,-71.35889233836937
2023/02/12 05:32:49.087,-71.34696874726724
2023/02/12 05:32:49.214,-71.21828048014508
2023/02/12 05:32:49.347,-71.39369012673183
2023/02/12 05:32:49.475,-71.35360463954294
2023/02/12 05:32:49.613,-71.29809332381615
2023/02/12 05:32:49.739,-71.38643054620131
2023/02/12 05:32:49.866,-71.23968174241841
2023/02/12 05:32:49.995,-71.22536681823836
2023/02/12 05:32:50.132,-71.03408243186975
2023/02/12 05:32:50.273,-71.24973578319906
2023/02/12 05:32:50.410,-71.21206704758143
2023/02/12 05:32:50.543,-71.26161180291153
2023/02/12 05:32:50.676,-65.41077625211159
2023/02/12 05:32:50.817,-57.88070703208446
2023/02/12 05:32:50.948,-51.30165169651916
2023/02/12 05:32:51.087,-61.77019491420083
2023/02/12 05:32:51.223,-71.32167691465362
2023/02/12 05:32:51.349,-71.3197998989283
2023/02/12 05:32:51.475,-71.4024175590132
2023/02/12 05:32:51.614,-71.37213018107614
2023/02/12 05:32:51.740,-71.25052307575523
2023/02/12 05:32:51.868,-71.24462556331324
2023/02/12 05:32:51.994,-71.22937649822431
2023/02/12 05:32:52.129,-71.29957676078716
2023/02/12 05:32:52.264,-71.26324285845388
2023/02/12 05:32:52.395,-71.3939405346918
2023/02/12 05:32:52.536,-71.18917184048453
2023/02/12 05:32:52.663,-71.33177860580076
2023/02/12 05:32:52.801,-71.32381696575737
2023/02/12 05:32:52.931,-71.38282408188797
2023/02/12 05:32:53.067,-71.20464837789115
2023/02/12 05:32:53.195,-71.19064361025491
2023/02/12 05:32:53.332,-65.61552658101354
2023/02/12 05:32:53.464,-67.98955175949338
2023/02/12 05:32:53.598,-71.50246658191352
2023/02/12 05:32:53.747,-71.39936549685869
2023/02/12 05:32:53.883,-71.27845042294933
2023/02/12 05:32:54.014,-71.20711675450625
