時刻,CABLE Output (VB-Audio Virtual Cable)
2023/02/12 05:33:33.936,-71.28823378718903
2023/02/12 05:33:34.072,-73.37751967124356
2023/02/12 05:33:34.207,-55.42806856414514
2023/02/12 05:33:34.333,-71.08302777948543
2023/02/12 05:33:34.459,-73.48435572658684
2023/02/12 05:33:34.583,-65.93852606854907
2023/02/12 05:33:34.710,-64.00294006524402
2023/02/12 05:33:34.849,-57.61723460597768
2023/02/12 05:33:34.977,-49.925263960136384
2023/02/12 05:33:35.114,-59.90674052836858
2023/02/12 05:33:35.244,-54.228956783974745
2023/02/12 05:33:35.370,-60.98513880368388
2023/02/12 05:33:35.499,-31.032624328900823
2023/02/12 05:33:35.635,-15.634168354372743
2023/02/12 05:33:35.762,-26.00546817777325
2023/02/12 05:33:35.894,-26.762733111213798
2023/02/12 05:33:36.026,-17.17073096709363
2023/02/12 05:33:36.163,-35.16452195482926
2023/02/12 05:33:36.301,-30.97440941562889
2023/02/12 05:33:36.434,-31.12102989066893
2023/02/12 05:33:36.567,-49.395484211058466
2023/02/12 05:33:36.702,-27.22022045703742
2023/02/12 05:33:36.837,-28.44772758804035
2023/02/12 05:33:36.973,-71.02155406721553
2023/02/12 05:33:37.098,-60.845046502081985
2023/02/12 05:33:37.224,-26.06919047157183
2023/02/12 05:33:37.350,-35.783815660269894
2023/02/12 05:33:37.475,-26.14803218363722
2023/02/12 05:33:37.615,-42.379402751665786
2023/02/12 05:33:37.744,-17.513563774709898
2023/02/12 05:33:37.881,-39.595430393965316
2023/02/12 05:33:38.018,-26.942046199177764
2023/02/12 05:33:38.147,-25.293410079515112
2023/02/12 05:33:38.280,-59.26449680212571
2023/02/12 05:33:38.412,-23.191901577368128
2023/02/12 05:33:38.552,-36.192284160064744
2023/02/12 05:33:38.677,-36.192284160064744
2023/02/12 05:33:38.817,-29.584383418122666
2023/02/12 05:33:38.946,-52.75874138940432
2023/02/12 05:33:39.082,-12.673453274656696
2023/02/12 05:33:39.207,-32.718647201964444
2023/02/12 05:33:39.334,-70.13376166263296
2023/02/12 05:33:39.459,-59.59739185594964
2023/02/12 05:33:39.584,-76.37910879678219
2023/02/12 05:33:39.723,-16.92048283495275
2023/02/12 05:33:39.848,-20.688155855234566
2023/02/12 05:33:39.974,-28.530667206406584
2023/02/12 05:33:40.114,-35.40750456068476
2023/02/12 05:33:40.247,-23.030586913630202
2023/02/12 05:33:40.380,-32.18043833856587
2023/02/12 05:33:40.512,-22.603031312886674
2023/02/12 05:33:40.644,-23.620595659082394
2023/02/12 05:33:40.771,-42.89523201511766
2023/02/12 05:33:40.898,-26.15680496953165
2023/02/12 05:33:41.029,-27.237150439304642
2023/02/12 05:33:41.164,-32.12528740496697
2023/02/12 05:33:41.300,-20.83280620357197
2023/02/12 05:33:41.429,-47.15693384130114
2023/02/12 05:33:41.567,-60.088590217977405
2023/02/12 05:33:41.697,-63.54647153161756
2023/02/12 05:33:41.832,-57.43249727068353
2023/02/12 05:33:41.965,-41.295760092469216
2023/02/12 05:33:42.099,-14.68633037474927
2023/02/12 05:33:42.226,-13.057390038137926
2023/02/12 05:33:42.364,-22.86660903480177
2023/02/12 05:33:42.493,-18.950888776535173
2023/02/12 05:33:42.631,-58.55600113198609
2023/02/12 05:33:42.764,-64.25618994099656
2023/02/12 05:33:42.898,-71.27890322680288
2023/02/12 05:33:43.032,-74.86402484178485
2023/02/12 05:33:43.170,-74.81803597968334
2023/02/12 05:33:43.306,-58.56699408228481
2023/02/12 05:33:43.442,-65.20776687948029
2023/02/12 05:33:43.569,-76.31138081416125
2023/02/12 05:33:43.708,-69.89130094826241
2023/02/12 05:33:43.834,-76.16258348786259
2023/02/12 05:33:43.961,-76.3546463520232
2023/02/12 05:33:44.098,-52.12421127255536
2023/02/12 05:33:44.227,-49.708076460666256
2023/02/12 05:33:44.365,-70.46442422196938
2023/02/12 05:33:44.499,-69.57533525930549
2023/02/12 05:33:44.632,-62.46273088615208
2023/02/12 05:33:44.764,-76.37896157666287
2023/02/12 05:33:44.895,-76.39539629665417
2023/02/12 05:33:45.027,-75.24504849788397
2023/02/12 05:33:45.162,-75.77423716554016
2023/02/12 05:33:45.301,-76.3710254652199
2023/02/12 05:33:45.436,-76.32576028652676
2023/02/12 05:33:45.567,-76.13657540266394
2023/02/12 05:33:45.694,-68.4344533220482
2023/02/12 05:33:45.819,-68.09288118793094
2023/02/12 05:33:45.958,-66.64377449702377
2023/02/12 05:33:46.087,-13.743749363380042
2023/02/12 05:33:46.224,-31.365570188285183
2023/02/12 05:33:46.364,-38.50402962800747
2023/02/12 05:33:46.498,-40.20326770627541
2023/02/12 05:33:46.624,-65.08180967880787
2023/02/12 05:33:46.750,-70.29072870807428
2023/02/12 05:33:46.890,-76.07365794858354
