時刻,CABLE Output (VB-Audio Virtual Cable)
2023/02/12 05:34:59.513,-76.42397812021677
2023/02/12 05:34:59.658,-76.38541375673884
2023/02/12 05:34:59.788,-76.35325087699462
2023/02/12 05:34:59.928,-76.37156315438853
2023/02/12 05:35:00.053,-76.31217904496275
2023/02/12 05:35:00.183,-76.30353100781997
2023/02/12 05:35:00.324,-70.71610236027047
2023/02/12 05:35:00.452,-76.13505845430676
2023/02/12 05:35:00.585,-76.40227700588648
2023/02/12 05:35:00.736,-70.50650844830953
2023/02/12 05:35:00.864,-75.30614987728853
2023/02/12 05:35:00.989,-76.30042188183906
2023/02/12 05:35:01.114,-76.36949149013888
2023/02/12 05:35:01.240,-76.3474976591134
2023/02/12 05:35:01.382,-76.28550835540844
2023/02/12 05:35:01.520,-76.35875399977171
2023/02/12 05:35:01.653,-76.33296712904286
2023/02/12 05:35:01.788,-76.34518400703718
2023/02/12 05:35:01.915,-76.33542683399763
2023/02/12 05:35:02.052,-76.3037960672119
2023/02/12 05:35:02.179,-76.27760694713308
2023/02/12 05:35:02.304,-76.35309102525974
2023/02/12 05:35:02.431,-70.84275354738219
2023/02/12 05:35:02.568,-72.62797192070784
2023/02/12 05:35:02.698,-76.40065043415524
2023/02/12 05:35:02.836,-76.37225776610973
2023/02/12 05:35:02.972,-76.3136116953538
2023/02/12 05:35:03.100,-76.24489867385559
2023/02/12 05:35:03.226,-76.28014581356237
2023/02/12 05:35:03.352,-76.29973182919551
2023/02/12 05:35:03.494,-76.35749018086989
2023/02/12 05:35:03.633,-76.35305457064759
2023/02/12 05:35:03.769,-76.36299404779137
2023/02/12 05:35:03.901,-72.7761304178412
2023/02/12 05:35:04.038,-75.77183025348663
2023/02/12 05:35:04.165,-76.34724625307561
2023/02/12 05:35:04.292,-67.18633142833484
2023/02/12 05:35:04.426,-76.30456317447633
2023/02/12 05:35:04.555,-76.35777058924363
2023/02/12 05:35:04.684,-76.20497227298686
2023/02/12 05:35:04.816,-76.35159670143553
2023/02/12 05:35:04.949,-76.31524365621244
2023/02/12 05:35:05.086,-75.86931115080691
2023/02/12 05:35:05.214,-76.35598930578996
2023/02/12 05:35:05.350,-76.31185529763872
2023/02/12 05:35:05.475,-76.33142463062163
2023/02/12 05:35:05.600,-76.31644168371099
2023/02/12 05:35:05.740,-76.33641806274002
2023/02/12 05:35:05.866,-76.32578241007354
2023/02/12 05:35:06.004,-76.38192713344608
2023/02/12 05:35:06.132,-76.3286689185197
2023/02/12 05:35:06.257,-76.42162056247543
2023/02/12 05:35:06.396,-67.97601061163837
2023/02/12 05:35:06.522,-76.30452783603373
2023/02/12 05:35:06.662,-76.3662595519928
2023/02/12 05:35:06.785,-76.2482461470666
2023/02/12 05:35:06.914,-64.54055268265563
2023/02/12 05:35:07.051,-59.316696609109705
2023/02/12 05:35:07.183,-73.71723262654615
2023/02/12 05:35:07.322,-76.23042342697755
2023/02/12 05:35:07.457,-71.49412708567267
2023/02/12 05:35:07.586,-74.98059543695695
2023/02/12 05:35:07.747,-74.87939909159894
2023/02/12 05:35:07.879,-56.28540426833328
2023/02/12 05:35:08.005,-75.95557781175016
2023/02/12 05:35:08.130,-76.34677287563701
2023/02/12 05:35:08.275,-66.3508726457816
2023/02/12 05:35:08.413,-76.38219201236053
2023/02/12 05:35:08.537,-76.30078835839304
2023/02/12 05:35:08.667,-76.39038259826292
2023/02/12 05:35:08.803,-73.47465995800867
2023/02/12 05:35:08.933,-48.811645985819176
2023/02/12 05:35:09.069,-52.1678127940886
2023/02/12 05:35:09.196,-49.6285985178314
2023/02/12 05:35:09.333,-54.961347606031154
2023/02/12 05:35:09.474,-66.6435570653762
2023/02/12 05:35:09.599,-75.6043797010978
2023/02/12 05:35:09.743,-58.18933227449599
2023/02/12 05:35:09.881,-69.16988800916053
2023/02/12 05:35:10.019,-60.061313392054636
2023/02/12 05:35:10.148,-59.67622078802325
2023/02/12 05:35:10.291,-61.94987232878435
2023/02/12 05:35:10.416,-75.54007577518549
2023/02/12 05:35:10.550,-76.48257624119394
2023/02/12 05:35:10.683,-74.09232329957374
2023/02/12 05:35:10.821,-76.42730301337463
2023/02/12 05:35:10.951,-60.7620576690275
2023/02/12 05:35:11.086,-70.3184095966568
2023/02/12 05:35:11.219,-76.37670222481299
2023/02/12 05:35:11.356,-76.3829639696308
2023/02/12 05:35:11.492,-76.38219883082581
2023/02/12 05:35:11.618,-74.35287385284406
2023/02/12 05:35:11.755,-57.613045439088765
2023/02/12 05:35:11.882,-51.02533678171195
2023/02/12 05:35:12.007,-51.02533678171195
2023/02/12 05:35:12.145,-51.190424152131655
2023/02/12 05:35:12.269,-76.40527326871153
2023/02/12 05:35:12.396,-71.61137508989343
2023/02/12 05:35:12.521,-71.61137508989343
