時刻,CABLE Output (VB-Audio Virtual Cable)
2023/02/12 05:36:22.368,-70.27794068210656
2023/02/12 05:36:22.503,-73.51131982484992
2023/02/12 05:36:22.632,-73.48238677452356
2023/02/12 05:36:22.757,-73.48502073573754
2023/02/12 05:36:22.895,-73.48991823094369
2023/02/12 05:36:23.025,-73.48359074863919
2023/02/12 05:36:23.163,-73.50026838469638
2023/02/12 05:36:23.291,-73.49027774184727
2023/02/12 05:36:23.417,-73.50952245841873
2023/02/12 05:36:23.555,-73.48493394808985
2023/02/12 05:36:23.688,-73.51967995420904
2023/02/12 05:36:23.819,-73.47971719528195
2023/02/12 05:36:23.957,-73.502383862305
2023/02/12 05:36:24.092,-73.4912743146273
2023/02/12 05:36:24.226,-73.47456749558431
2023/02/12 05:36:24.366,-73.53527246179937
2023/02/12 05:36:24.492,-73.49628663539379
2023/02/12 05:36:24.628,-73.47829877120444
2023/02/12 05:36:24.756,-73.47690693224965
2023/02/12 05:36:24.882,-73.48429364682468
2023/02/12 05:36:25.009,-73.5070275196592
2023/02/12 05:36:25.135,-73.49323839750019
2023/02/12 05:36:25.269,-73.52044906429158
2023/02/12 05:36:25.395,-73.47288298603519
2023/02/12 05:36:25.527,-73.5139419881177
2023/02/12 05:36:25.661,-73.482845062527
2023/02/12 05:36:25.791,-73.48957133349661
2023/02/12 05:36:25.925,-73.45627237978447
2023/02/12 05:36:26.056,-73.51393096681176
2023/02/12 05:36:26.191,-73.48447197232213
2023/02/12 05:36:26.317,-73.49449487106406
2023/02/12 05:36:26.447,-73.48580035241964
2023/02/12 05:36:26.584,-73.49468239501167
2023/02/12 05:36:26.712,-73.49279238318377
2023/02/12 05:36:26.849,-73.47363316146524
2023/02/12 05:36:26.976,-73.49789610725986
2023/02/12 05:36:27.115,-73.50800936600683
2023/02/12 05:36:27.241,-73.4848602573755
2023/02/12 05:36:27.381,-73.52625875118704
2023/02/12 05:36:27.516,-73.46822614294241
2023/02/12 05:36:27.647,-73.51409887427961
2023/02/12 05:36:27.773,-73.4852101587045
2023/02/12 05:36:27.902,-73.51722040595072
2023/02/12 05:36:28.031,-73.50817146969567
2023/02/12 05:36:28.166,-73.50444911447595
2023/02/12 05:36:28.295,-73.50124561529904
2023/02/12 05:36:28.430,-73.49488790122477
2023/02/12 05:36:28.562,-73.50958715009793
2023/02/12 05:36:28.697,-73.46808168104184
2023/02/12 05:36:28.834,-73.50470332801768
2023/02/12 05:36:28.962,-73.49769438717001
2023/02/12 05:36:29.098,-73.49628035862587
2023/02/12 05:36:29.227,-73.47125755087814
2023/02/12 05:36:29.363,-73.48261935970719
2023/02/12 05:36:29.492,-73.50595346780116
2023/02/12 05:36:29.629,-73.46844909425735
2023/02/12 05:36:29.758,-73.49005910484864
2023/02/12 05:36:29.895,-73.48984256916492
2023/02/12 05:36:30.025,-73.50170805011925
2023/02/12 05:36:30.161,-73.50519141526574
2023/02/12 05:36:30.293,-73.49050218230092
2023/02/12 05:36:30.429,-73.46716861150249
2023/02/12 05:36:30.562,-73.48992174699772
2023/02/12 05:36:30.698,-73.4947681626787
2023/02/12 05:36:30.836,-73.47945187887825
2023/02/12 05:36:30.962,-73.51832865376808
2023/02/12 05:36:31.100,-73.46449923299282
2023/02/12 05:36:31.227,-73.51311856060293
2023/02/12 05:36:31.367,-73.49787201800156
2023/02/12 05:36:31.506,-73.45721900955637
2023/02/12 05:36:31.646,-74.11106934254592
2023/02/12 05:36:31.775,-73.64483081948399
2023/02/12 05:36:31.912,-73.51944656067175
2023/02/12 05:36:32.037,-73.75488508430182
2023/02/12 05:36:32.163,-73.46663135613707
2023/02/12 05:36:32.291,-73.53257411163491
2023/02/12 05:36:32.416,-73.47577860468024
2023/02/12 05:36:32.554,-73.49132476699893
2023/02/12 05:36:32.694,-73.49679442592938
2023/02/12 05:36:32.833,-73.51227347993623
2023/02/12 05:36:32.958,-73.46765880739342
2023/02/12 05:36:33.098,-73.54224268522836
2023/02/12 05:36:33.224,-73.48876268955253
2023/02/12 05:36:33.354,-73.50363420703546
2023/02/12 05:36:33.489,-73.4909005666127
2023/02/12 05:36:33.614,-73.5177929555652
2023/02/12 05:36:33.743,-73.5177929555652
2023/02/12 05:36:33.881,-73.51281868755842
2023/02/12 05:36:34.007,-73.47697902299737
2023/02/12 05:36:34.146,-73.49024258464675
2023/02/12 05:36:34.279,-73.51459128095549
2023/02/12 05:36:34.412,-73.50197332928627
2023/02/12 05:36:34.540,-73.49186302663469
2023/02/12 05:36:34.678,-73.51976192369725
2023/02/12 05:36:34.810,-73.47576001482024
2023/02/12 05:36:34.947,-73.49905493086564
2023/02/12 05:36:35.087,-73.48175713320865
2023/02/12 05:36:35.223,-73.51608544706691
2023/02/12 05:36:35.348,-73.50413528015787
