時刻,CABLE Output (VB-Audio Virtual Cable)
2023/02/12 05:36:52.515,-73.51039807422232
2023/02/12 05:36:52.648,-73.35695963153464
2023/02/12 05:36:52.775,-73.3821658177906
2023/02/12 05:36:52.912,-73.41805522470531
2023/02/12 05:36:53.038,-73.41513833939176
2023/02/12 05:36:53.176,-73.36786453112218
2023/02/12 05:36:53.301,-73.48470381762544
2023/02/12 05:36:53.430,-73.44173376259565
2023/02/12 05:36:53.566,-73.46561734914079
2023/02/12 05:36:53.692,-73.43754223777509
2023/02/12 05:36:53.818,-73.4456880804374
2023/02/12 05:36:53.958,-73.43968141379099
2023/02/12 05:36:54.084,-73.45647238759884
2023/02/12 05:36:54.209,-73.45960145917662
2023/02/12 05:36:54.348,-73.47446226294045
2023/02/12 05:36:54.478,-73.42751431751476
2023/02/12 05:36:54.613,-73.45732353557625
2023/02/12 05:36:54.742,-73.45732353557625
2023/02/12 05:36:54.883,-73.44704498222514
2023/02/12 05:36:55.013,-73.43350769428712
2023/02/12 05:36:55.148,-73.44544036014553
2023/02/12 05:36:55.277,-73.44351236839681
2023/02/12 05:36:55.411,-73.46133897953636
2023/02/12 05:36:55.544,-73.44566506510863
2023/02/12 05:36:55.677,-73.43293293551422
2023/02/12 05:36:55.817,-73.43724709543261
2023/02/12 05:36:55.946,-73.48785929195219
2023/02/12 05:36:56.084,-73.4247313258935
2023/02/12 05:36:56.210,-73.46789616141376
2023/02/12 05:36:56.336,-73.4134755744092
2023/02/12 05:36:56.463,-73.47407760686063
2023/02/12 05:36:56.600,-73.44947942941442
2023/02/12 05:36:56.729,-73.4378459694747
2023/02/12 05:36:56.863,-73.43519522550712
2023/02/12 05:36:56.992,-73.4151420186561
2023/02/12 05:36:57.130,-73.43946339083057
2023/02/12 05:36:57.263,-73.47928321622459
2023/02/12 05:36:57.395,-73.42528015145093
2023/02/12 05:36:57.530,-73.46816078075655
2023/02/12 05:36:57.663,-73.4301460284384
2023/02/12 05:36:57.798,-73.44436653972738
2023/02/12 05:36:57.939,-73.44667053498124
2023/02/12 05:36:58.064,-73.44314947068204
2023/02/12 05:36:58.200,-73.44513819144579
2023/02/12 05:36:58.326,-73.45464535738576
2023/02/12 05:36:58.459,-73.44831140722644
2023/02/12 05:36:58.598,-73.4627154158286
2023/02/12 05:36:58.732,-73.47181571759637
2023/02/12 05:36:58.864,-73.4459144202676
2023/02/12 05:36:58.990,-73.4459144202676
2023/02/12 05:36:59.116,-73.43748256693186
2023/02/12 05:36:59.241,-73.43748256693186
2023/02/12 05:36:59.382,-72.88758427998333
2023/02/12 05:36:59.512,-72.90838336843794
2023/02/12 05:36:59.645,-72.17410280156572
2023/02/12 05:36:59.776,-73.91064272304787
2023/02/12 05:36:59.912,-73.41294827284659
2023/02/12 05:37:00.049,-73.42447839561488
2023/02/12 05:37:00.185,-73.40925114827056
2023/02/12 05:37:00.322,-73.3489986585607
2023/02/12 05:37:00.457,-73.34621105663994
2023/02/12 05:37:00.582,-73.39445120732604
2023/02/12 05:37:00.708,-73.3988008601513
2023/02/12 05:37:00.833,-73.42944091164341
2023/02/12 05:37:00.973,-73.3601289759309
2023/02/12 05:37:01.099,-73.39795908837354
2023/02/12 05:37:01.238,-73.3799900465383
2023/02/12 05:37:01.363,-73.38427532865465
2023/02/12 05:37:01.495,-73.35128072698295
2023/02/12 05:37:01.633,-73.35843334026762
2023/02/12 05:37:01.769,-73.35804017074753
2023/02/12 05:37:01.898,-73.3649235361588
2023/02/12 05:37:02.031,-73.40043044435967
2023/02/12 05:37:02.162,-73.39688807951619
2023/02/12 05:37:02.295,-73.43536091563155
2023/02/12 05:37:02.430,-73.99517696553431
2023/02/12 05:37:02.567,-73.40218826872287
2023/02/12 05:37:02.717,-73.42022538024854
2023/02/12 05:37:02.850,-73.41525955915364
2023/02/12 05:37:02.978,-73.39989585778437
2023/02/12 05:37:03.109,-73.33432504030759
2023/02/12 05:37:03.239,-73.3825069843465
2023/02/12 05:37:03.380,-73.35549735293819
2023/02/12 05:37:03.513,-73.32670166351383
2023/02/12 05:37:03.649,-73.31831369822484
2023/02/12 05:37:03.776,-73.3598069868169
2023/02/12 05:37:03.913,-73.32753120916239
2023/02/12 05:37:04.040,-73.41139214013495
2023/02/12 05:37:04.175,-73.33956794433274
2023/02/12 05:37:04.301,-73.34990998801474
2023/02/12 05:37:04.427,-73.35635870024399
2023/02/12 05:37:04.566,-73.34778600252736
2023/02/12 05:37:04.697,-73.32455271975283
2023/02/12 05:37:04.823,-73.35112002203508
2023/02/12 05:37:04.949,-73.32507253211398
2023/02/12 05:37:05.087,-73.35695201251136
2023/02/12 05:37:05.224,-73.34190192817096
2023/02/12 05:37:05.349,-73.37626156920047
2023/02/12 05:37:05.484,-73.37044521556136
